Ytrue Nb T d Ypred RSE
1.9E11 1.36E15 340 3.8E-4 8.1252977E10 0.823474
2.2E11 1.36E15 340 3.8E-4 1.03190324E11 0.649361
2.6E11 1.36E15 340 3.8E-4 1.26782867E11 0.581966
3.7E11 1.36E15 340 3.8E-4 1.74084069E11 0.63784
7.1E11 1.36E15 340 3.8E-4 3.90558899E11 0.394307
1.3E12 1.36E15 340 3.8E-4 9.24851794E11 0.128585
3.7E12 1.36E15 340 3.8E-4 1.50918083E12 0.878083
6.6E12 1.36E15 340 3.8E-4 5.7809932E12 0.018943
7.2E12 1.36E15 340 3.8E-4 7.23251739E12 0
7.6E12 1.36E15 340 3.8E-4 4.54403175E12 0.274805
8.9E12 1.36E15 340 3.8E-4 7.12255773E12 0.051184
4.9E12 1.36E15 340 3.8E-4 7.4404193E12 0.170985
1.4E13 1.36E15 340 3.8E-4 2.25747184E13 0.232783
1.9E13 1.36E15 340 3.8E-4 2.59378257E13 0.099094
2.8E13 1.36E15 340 3.8E-4 3.68061207E13 0.077991
2.9E13 1.36E15 340 3.8E-4 3.48881329E13 0.03621
4.2E13 1.36E15 340 3.8E-4 4.49051369E13 0.005565
3.9E11 1.36E15 300 3.8E-4 2.21626302E11 0.35787
3.7E12 1.36E15 300 3.8E-4 4.46064133E12 0.031749
6.6E12 1.36E15 300 3.8E-4 8.02922508E12 0.036587
2.9E13 1.36E15 300 3.8E-4 4.15375565E13 0.134303
4.2E13 1.36E15 320 3.8E-4 5.00565561E13 0.03365
2.9E13 1.36E15 320 3.8E-4 2.83736281E13 2.78E-4
3.9E11 1.36E15 320 3.8E-4 2.63198819E11 0.177047
4.9E12 1.36E15 320 3.8E-4 6.49069324E12 0.075577
2.8E13 1.36E15 330 3.8E-4 3.02315387E13 0.006661
4.2E13 1.36E15 330 3.8E-4 4.00311619E13 0.001625
2.8E13 1.36E15 310 3.8E-4 2.73981155E13 2.83E-4
2.8E13 1.36E15 325 3.8E-4 2.88717161E13 0.001265
2.6E11 1.36E15 305 3.8E-4 1.23969314E11 0.619266
