Ytrue Nb T d Ypred RSE
2.6E11 1.36E15 340 3.8E-4 2.38077503E10 9.311921
3.7E11 1.36E15 340 3.8E-4 1.11158202E11 1.705399
6.6E12 1.36E15 340 3.8E-4 1.42164099E12 2.880257
2.8E13 1.36E15 340 3.8E-4 3.06087829E13 0.008841
4.2E13 1.36E15 340 3.8E-4 4.0186912E13 0.001327
3.9E11 1.36E15 300 3.8E-4 8.4615425E10 2.935069
3.7E12 1.36E15 300 3.8E-4 1.04483367E12 1.853146
6.6E12 1.36E15 300 3.8E-4 9.14811629E11 5.3889
2.9E13 1.36E15 300 3.8E-4 4.95028516E13 0.298626
4.2E13 1.36E15 320 3.8E-4 4.53726083E13 0.007219
3.9E11 1.36E15 320 3.8E-4 1.35850422E11 1.281884
2.8E13 1.36E15 330 3.8E-4 2.77202959E13 2.6E-5
2.6E11 1.36E15 305 3.8E-4 5.7588727E10 2.855158

