Ytrue Nb T d Ypred RSE
1.9E11 1.36E15 340 3.8E-4 9.56914401E10 0.182604
2.2E11 1.36E15 340 3.8E-4 1.47429966E11 0.106328
2.6E11 1.36E15 340 3.8E-4 1.65264556E11 0.128643
3.7E11 1.36E15 340 3.8E-4 1.95150217E11 0.120215
7.1E11 1.36E15 340 3.8E-4 3.26980305E11 0.267478
1.3E12 1.36E15 340 3.8E-4 6.14931759E11 0.070654
3.7E12 1.36E15 340 3.8E-4 9.98159352E11 0.75232
6.6E12 1.36E15 340 3.8E-4 3.68420087E12 0.022838
7.2E12 1.36E15 340 3.8E-4 5.41017768E12 0.001373
7.6E12 1.36E15 340 3.8E-4 2.31515541E12 0.438702
8.9E12 1.36E15 340 3.8E-4 5.41017768E12 0.061599
4.9E12 1.36E15 340 3.8E-4 5.41017768E12 0.120317
1.4E13 1.36E15 340 3.8E-4 1.14535202E13 0.020661
1.9E13 1.36E15 340 3.8E-4 1.20789014E13 0.035295
2.8E13 1.36E15 340 3.8E-4 1.56093949E13 0.020175
2.9E13 1.36E15 340 3.8E-4 1.56093949E13 0.031329
4.2E13 1.36E15 340 3.8E-4 1.9952063E13 0.068367
3.9E11 1.36E15 300 3.8E-4 4.01142055E11 0.047046
3.7E12 1.36E15 300 3.8E-4 5.21041399E12 0.044304
6.6E12 1.36E15 300 3.8E-4 7.75266501E12 0.026762
2.9E13 1.36E15 300 3.8E-4 1.52335213E13 0.008513
4.2E13 1.36E15 320 3.8E-4 6.59162682E13 0.008972
2.9E13 1.36E15 320 3.8E-4 3.90845212E13 0.13552
3.9E11 1.36E15 320 3.8E-4 5.97556003E11 0.032227
4.9E12 1.36E15 320 3.8E-4 6.75590124E12 0.119433
2.8E13 1.36E15 330 3.8E-4 2.13861437E13 0.013603
4.2E13 1.36E15 330 3.8E-4 3.26828116E13 0.027422
2.8E13 1.36E15 310 3.8E-4 1.43726383E13 0.190458
2.8E13 1.36E15 325 3.8E-4 3.32004453E13 0.039336
2.6E11 1.36E15 305 3.8E-4 2.5206145E11 0.044904

