Ytrue Nb T d Ypred RSE
1.9E11 1.36E15 340 3.8E-4 1.14166402E11 0.2974
2.2E11 1.36E15 340 3.8E-4 1.49199664E11 0.176226
2.6E11 1.36E15 340 3.8E-4 1.77875002E11 0.167847
3.7E11 1.36E15 340 3.8E-4 2.29090233E11 0.25969
7.1E11 1.36E15 340 3.8E-4 4.78630895E11 0.174458
1.3E12 1.36E15 340 3.8E-4 1.21464303E12 0.007081
3.7E12 1.36E15 340 3.8E-4 1.9458536E12 0.439881
6.6E12 1.36E15 340 3.8E-4 5.78737998E12 0.01864
7.2E12 1.36E15 340 3.8E-4 6.99168531E12 0.001142
7.6E12 1.36E15 340 3.8E-4 4.71167314E12 0.237023
8.9E12 1.36E15 340 3.8E-4 6.94590746E12 0.063268
4.9E12 1.36E15 340 3.8E-4 7.08560283E12 0.132296
1.4E13 1.36E15 340 3.8E-4 1.83339005E13 0.073255
1.9E13 1.36E15 340 3.8E-4 2.13456318E13 0.014095
2.8E13 1.36E15 340 3.8E-4 3.14368187E13 0.014583
2.9E13 1.36E15 340 3.8E-4 2.82461429E13 4.49E-4
4.2E13 1.36E15 340 3.8E-4 3.58536621E13 0.022701
3.9E11 1.36E15 300 3.8E-4 3.10800589E11 0.063578
3.7E12 1.36E15 300 3.8E-4 4.62643069E12 0.046161
6.6E12 1.36E15 300 3.8E-4 6.75296108E12 3.2E-4
2.9E13 1.36E15 300 3.8E-4 2.90499412E13 4.7E-5
4.2E13 1.36E15 320 3.8E-4 4.37561722E13 0.002368
2.9E13 1.36E15 320 3.8E-4 2.15181742E13 0.086612
3.9E11 1.36E15 320 3.8E-4 3.37567255E11 0.028585
4.9E12 1.36E15 320 3.8E-4 6.26010482E12 0.056855
2.8E13 1.36E15 330 3.8E-4 2.1383145E13 0.070472
4.2E13 1.36E15 330 3.8E-4 3.12394292E13 0.083688
2.8E13 1.36E15 310 3.8E-4 2.0595129E13 0.092046
2.8E13 1.36E15 325 3.8E-4 2.15090251E13 0.067364
2.6E11 1.36E15 305 3.8E-4 2.04054892E11 0.07311

