Ytrue Nb T d Ypred RSE
2.6E11 1.36E15 340 3.8E-4 8.77973586E10 1.371853
3.7E11 1.36E15 340 3.8E-4 1.38472374E11 1.104312
3.7E12 1.36E15 340 3.8E-4 3.3029777E12 0.01503
6.6E12 1.36E15 340 3.8E-4 4.81193361E12 0.10393
7.2E12 1.36E15 340 3.8E-4 6.97348076E12 0.001325
2.8E13 1.36E15 340 3.8E-4 2.91083041E13 0.001913
2.9E13 1.36E15 340 3.8E-4 3.85961532E13 0.085285
4.2E13 1.36E15 340 3.8E-4 3.33159103E13 0.050357
3.9E11 1.36E15 300 3.8E-4 3.16881895E11 0.054116
3.7E12 1.36E15 300 3.8E-4 3.71252789E12 3.2E-5
6.6E12 1.36E15 300 3.8E-4 5.08294857E12 0.071287
2.9E13 1.36E15 300 3.8E-4 2.98935407E13 0.00126
4.2E13 1.36E15 320 3.8E-4 4.42780761E13 0.003664
2.9E13 1.36E15 320 3.8E-4 2.30815024E13 0.049986
3.9E11 1.36E15 320 3.8E-4 6.49480045E11 0.240413
2.8E13 1.36E15 330 3.8E-4 1.97971736E13 0.117938
2.6E11 1.36E15 305 3.8E-4 1.97585207E11 0.091771

