name MSE R2 MAPE MedAPE p01 p10
ExFSv94I 28.61 0.89976 31.7 33.1 6.667 20
ExFSv94IE 81.79 0.55193 57.35 35.52 0 5.882
ExFSv94IEV 288.50 0.57071 124.2 63.09 0 0
ExFSv94A 724.70 -3.15430 84.31 55.43 0 0
ExFSv94Ip 25.88 0.91710 30.47 31.45 3.333 23.33
ExFSv94IEp 46.96 0.69456 36.72 33.32 0 11.76
ExFSv94IEVp 211.40 0.84741 54.76 70.33 7.692 30.77
ExFSv94Ap 303.20 0.90820 57.16 56.33 0 0
ExFRf94Ip 15.06 0.93428 24.15 22.62 3.333 20
ExFRf94IE 17.40 0.83307 25.13 20.12 0 23.53
ExFRf94IEV 24.88 0.93781 35.95 28.74 15.38 23.08
ExFRf94A 18.08 0.94642 30.12 23.43 0 12.5
ExFRf94I 12.06 0.93520 22.76 22.28 0 23.33
ExFRf94IEp 25.65 0.90660 26.21 15.97 5.882 17.65
ExFRf94IEVp 123.70 0.87750 49.47 52.38 0 0
ExFRf94Ap 286.10 0.56911 58.22 59.49 0 12.5
ExFGb94Ip 13.49 0.94194 23.1 20.25 0 26.67
ExFGb94IE 14.45 0.86159 24.96 19.61 0 23.53
ExFGb94IEV 22.79 0.90548 36.17 33.05 0 23.08
ExFGb94A 14.29 0.93732 25.79 12.51 0 12.5
ExFGb94I 11.24 0.93207 22.01 23.18 3.333 20
ExFGb94IEp 24.23 0.92500 26.87 16.16 0 23.53
ExFGb94IEVp 143.80 0.93115 48.79 60.39 0 15.38
ExFGb94Ap 269.60 0.58879 56.93 61.14 0 12.5
ExFXg94I 10.69 0.93777 21.61 20.92 0 23.33
ExFXg94IE 24.92 0.68321 31.23 29.39 0 11.76
ExFXg94IEV 11.44 0.91655 21.11 14.38 0 38.46
ExFXg94A 6.48 0.94628 13.22 7.213 0 75
ExFXg94Ip 41.29 0.64736 37.97 39.21 0 6.667
ExFXg94IEp 22.10 0.90499 26.72 18.7 5.882 17.65
ExFXg94IEVp 142.80 0.95080 48.1 60.79 0 23.08
ExFXg94Ap 324.10 0.39229 61.76 51.33 0 12.5
ExF94I 10.89 0.90998 21.3 21.5 3.333 26.67
ExF94IE 14.20 0.90861 22.69 13.83 0 17.65
ExF94IEV 150.90 -2.02900 188.3 15.83 0 23.08
ExF94A 422.30 0.27233 80.54 87.54 0 0
ExF94Ip 11.16 0.94269 22.5 20.49 3.333 23.33
ExF94IEp 23.18 0.92777 24.61 20.54 5.882 29.41
ExF94IEVp 128.50 0.86801 50.8 55.91 0 0
ExF94Ap 105.00 0.46021 67.28 45.42 0 0
