Ytrue Nb T d Ypred RSE
2.6E11 1.36E15 340 3.8E-4 1.76002604E11 0.17682
3.7E11 1.36E15 340 3.8E-4 1.87948747E11 0.513659
3.7E12 1.36E15 340 3.8E-4 1.73355736E12 0.617987
6.6E12 1.36E15 340 3.8E-4 4.28701449E12 0.193586
7.2E12 1.36E15 340 3.8E-4 6.11171291E12 0.028394
2.8E13 1.36E15 340 3.8E-4 2.20908926E13 0.054126
2.9E13 1.36E15 340 3.8E-4 3.93043042E13 0.096362
4.2E13 1.36E15 340 3.8E-4 2.25544469E13 0.38904
3.9E11 1.36E15 300 3.8E-4 3.15352714E11 0.056406
3.7E12 1.36E15 300 3.8E-4 4.71561183E12 0.054786
6.6E12 1.36E15 300 3.8E-4 6.90936014E12 0.001663
2.9E13 1.36E15 300 3.8E-4 3.04014489E13 0.002741
4.2E13 1.36E15 320 3.8E-4 4.79082907E13 0.019441
2.9E13 1.36E15 320 3.8E-4 2.619514E13 0.009333
3.9E11 1.36E15 320 3.8E-4 4.24963043E11 0.003767
2.8E13 1.36E15 330 3.8E-4 1.91523925E13 0.142178
2.6E11 1.36E15 305 3.8E-4 2.10638224E11 0.056824

