fname time Tem kT_1 n1 Rs tau_n Rsh n2 tau_g dev 
DARK1 41866 298.79 38.804 1.000000000E+00 1.398266425E+00 2.668792899E-03 1.000000000E+20 3.529675257E+00 6.977265072E-09 2.373978258E-02 
DARK10 43076 300.05 38.641 1.000000000E+00 6.450676797E-01 6.490432849E-03 1.000000000E+20 3.825433680E+00 5.111258952E-09 2.810876134E-02 
DARK11 43314 299.98 38.65 1.000000000E+00 1.216858311E+00 4.029525575E-03 1.000000000E+20 3.372745901E+00 8.981852341E-09 3.602082323E-02 
DARK12 43432 299.98 38.65 1.000000000E+00 1.445074073E+00 2.256690695E-03 1.000000000E+20 3.577846821E+00 7.027764354E-09 2.269470656E-02 
DARK13 43556 300.07 38.638 1.000000000E+00 8.363179790E-01 4.150847542E-03 1.000000000E+20 3.580969786E+00 6.568741714E-09 2.854054630E-02 
DARK14 43674 300.06 38.64 1.000000000E+00 1.552221668E+00 1.978996235E-03 1.000000000E+20 3.514319075E+00 7.554470114E-09 2.451934923E-02 
DARK15 43914 299.98 38.65 1.000000000E+00 1.477784970E+00 1.978554483E-03 1.000000000E+20 3.636011619E+00 6.485084281E-09 1.823080007E-02 
DARK16 44032 299.98 38.65 1.000000000E+00 1.538785651E+00 1.977609444E-03 1.000000000E+20 3.672287826E+00 6.291337877E-09 1.744798874E-02 
DARK17 44272 299.99 38.649 1.000000000E+00 1.510471963E+00 2.100556405E-03 1.000000000E+20 3.299030000E+00 9.498312870E-09 4.364792420E-02 
DARK18 44394 299.99 38.649 1.000000000E+00 1.264527177E+00 3.192811801E-03 1.000000000E+20 3.541818013E+00 7.214567758E-09 2.349924737E-02 
DARK19 44512 299.99 38.649 1.000000000E+00 1.779675199E+00 1.274495907E-03 1.000000000E+20 3.716150194E+00 6.037918002E-09 1.720475776E-02 
DARK2 41992 299.03 38.773 1.000000000E+00 1.511424592E+00 1.978938487E-03 1.000000000E+20 3.585683123E+00 6.637544839E-09 2.172642591E-02 
DARK20 44634 299.99 38.649 1.000000000E+00 1.506865137E+00 2.178593140E-03 1.000000000E+20 3.623508158E+00 6.585115776E-09 1.880523319E-02 
DARK21 44752 299.99 38.649 1.000000000E+00 6.493435229E-01 7.911833932E-03 1.000000000E+20 3.591264094E+00 6.350868464E-09 3.250740442E-02 
DARK22 44872 299.99 38.649 1.000000000E+00 7.673596254E-01 1.433177773E-02 1.000000000E+20 3.351360405E+00 7.857879502E-09 2.608133534E-02 
DARK23 44994 299.99 38.649 1.000000000E+00 1.265312322E+00 3.216227660E-03 1.000000000E+20 3.492080482E+00 7.782662347E-09 2.589290285E-02 
DARK24 45114 299.99 38.649 1.000000000E+00 1.230090825E+00 3.913344301E-03 1.000000000E+20 3.360674370E+00 9.194138608E-09 3.671491346E-02 
DARK25 45232 299.99 38.649 1.000000000E+00 1.411591631E+00 2.524189564E-03 1.000000000E+20 3.518756813E+00 7.425886863E-09 2.405170197E-02 
DARK26 45352 299.99 38.649 1.000000000E+00 1.403980858E+00 2.760507328E-03 1.000000000E+20 3.488958546E+00 7.702358732E-09 2.563921076E-02 
DARK27 45592 300 38.647 1.000000000E+00 1.519401874E+00 2.249434348E-03 1.000000000E+20 3.549261325E+00 7.314842428E-09 2.385439026E-02 
DARK28 46072 299.99 38.649 1.000000000E+00 1.480157985E+00 2.191350942E-03 1.000000000E+20 3.531419814E+00 7.497485919E-09 2.477132756E-02 
DARK29 46192 300 38.647 1.000000000E+00 1.451235226E+00 2.258512782E-03 1.000000000E+20 3.558211781E+00 7.190634037E-09 2.315555686E-02 
DARK3 42112 299.4 38.725 1.000000000E+00 1.433021712E+00 2.257332347E-03 1.000000000E+20 3.588466709E+00 6.682778324E-09 2.105105550E-02 
DARK30 46312 300 38.647 1.000000000E+00 1.621092895E+00 1.633041461E-03 1.000000000E+20 3.615233681E+00 6.771718672E-09 1.944686601E-02 
DARK31 46432 300 38.647 1.000000000E+00 1.511831941E+00 1.764203810E-03 1.000000000E+20 3.652545899E+00 6.395218886E-09 1.756133754E-02 
DARK32 46552 300 38.647 1.000000000E+00 1.509525215E+00 1.948616269E-03 1.000000000E+20 3.565393208E+00 7.060360284E-09 2.294138050E-02 
DARK33 46794 300 38.647 1.000000000E+00 1.455525459E+00 2.011507478E-03 1.000000000E+20 3.640332718E+00 6.507245254E-09 1.844824062E-02 
DARK34 47152 299.99 38.649 1.000000000E+00 1.425906660E+00 2.635464156E-03 1.000000000E+20 3.463012145E+00 8.007493803E-09 2.774370408E-02 
DARK4 42232 299.74 38.681 1.000000000E+00 1.369424493E+00 2.699034665E-03 1.000000000E+20 3.618467412E+00 6.554797645E-09 2.008251799E-02 
DARK5 42474 299.99 38.649 1.000000000E+00 1.472161525E+00 1.903956561E-03 1.000000000E+20 3.624715525E+00 6.623023314E-09 1.869767675E-02 
DARK6 42594 300 38.647 1.000000000E+00 1.549401359E+00 1.710880070E-03 1.000000000E+20 3.731391795E+00 6.014146254E-09 1.597850190E-02 
DARK7 42714 299.98 38.65 1.000000000E+00 1.371147281E+00 3.098930991E-03 1.000000000E+20 3.499213723E+00 7.621369552E-09 2.457124138E-02 
DARK8 42832 299.97 38.651 1.000000000E+00 1.417133451E+00 2.789582883E-03 1.000000000E+20 3.648766439E+00 6.382595508E-09 1.663747761E-02 
DARK9 42952 299.97 38.651 1.000000000E+00 1.407876981E+00 2.791273905E-03 1.000000000E+20 3.566968051E+00 6.964791750E-09 2.258740126E-02 
