N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.016599048E+00 1.015137230E+00 1.014069354E+00 1.013243595E+00
1.600000000E+01 1.234438339E+00 1.229190154E+00 1.224346039E+00 1.220370279E+00
1.700000000E+01 1.245635940E+00 1.240459870E+00 1.236306518E+00 1.233118089E+00
1.549996187E+01 1.200260525E+00 1.192840174E+00 1.186314133E+00 1.180033116E+00
1.649996187E+01 1.236776571E+00 1.230765930E+00 1.225407129E+00 1.220924841E+00
1.674996808E+01 1.238245659E+00 1.232300217E+00 1.227178934E+00 1.222942971E+00
1.624993176E+01 1.237621779E+00 1.231978155E+00 1.226938750E+00 1.222521480E+00
1.574996808E+01 1.224380802E+00 1.219159104E+00 1.214505622E+00 1.210294778E+00
1.524993176E+01 1.111490201E+00 1.094000836E+00 1.077906844E+00 1.063217600E+00
