N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.019682454E+00 1.018484817E+00 1.017597340E+00 1.016903105E+00
1.600000000E+01 1.234003231E+00 1.227854573E+00 1.222128692E+00 1.217403699E+00
1.700000000E+01 1.241573066E+00 1.235443386E+00 1.230556199E+00 1.226830124E+00
1.549996187E+01 1.174218327E+00 1.162607940E+00 1.152289172E+00 1.142659555E+00
1.649996187E+01 1.237065449E+00 1.230179385E+00 1.224052647E+00 1.218817724E+00
1.674996808E+01 1.237355425E+00 1.230466124E+00 1.224550183E+00 1.219718054E+00
1.624993176E+01 1.237513417E+00 1.230992278E+00 1.225141488E+00 1.219956730E+00
1.574996808E+01 1.220507475E+00 1.213638145E+00 1.208004168E+00 1.202668058E+00
1.524993176E+01 1.011899310E+00 1.010586120E+00 1.009630455E+00 1.008902568E+00
