fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
L1202ORW70S25 1455846297 0 555 1.380360400E+19 2.565414087E-04 5.150000000E-04 6.485313460E-01 5.732844864E+02 1.962762464E-03 
L1208ORW70S05 1455846297 0 555 1.213455024E+19 8.333928006E-06 5.150000000E-04 6.465114594E-01 5.351262719E+02 1.746909932E-03 
L1208ORW70S10 1455846297 0 555 1.324561807E+19 1.790754035E-05 5.150000000E-04 6.484320219E-01 5.713460508E+02 1.959184959E-03 
L1208ORW70S15 1455846297 0 555 1.349967788E+19 4.456848534E-05 5.150000000E-04 6.488710026E-01 5.799631525E+02 2.158271944E-03 
L1208ORW70S20 1455846297 0 555 1.360533850E+19 9.586310418E-05 5.150000000E-04 6.493441605E-01 5.893967402E+02 2.260138648E-03 
L1210ORW70S03 1455846297 0 555 1.019644653E+19 4.544065848E-06 5.150000000E-04 6.447392312E-01 5.037442517E+02 1.272618563E-03 
L1210ORW70S07 1455846297 0 555 1.257656330E+19 1.198012271E-05 5.150000000E-04 6.478159467E-01 5.594681145E+02 1.708125335E-03 
L1210ORW70S30 1455846297 0 555 1.425050439E+19 9.999999822E+01 5.150000000E-04 6.489379970E-01 5.812896208E+02 2.136705626E-03 
L1210ORW70S35 1455846297 0 555 1.436386797E+19 9.999999816E+01 5.150000000E-04 6.496853890E-01 5.962950728E+02 2.301716951E-03 
L1214ORW70S25 1455846297 0 555 1.409864925E+19 1.589060202E-04 5.150000000E-04 6.497363414E-01 5.973320415E+02 2.638813515E-03 
