Ew Nt
4.4427061E-1 6.2395412E+16
4.4156755E-1 6.3858673E+16
4.3886447E-1 6.5440189E+16
4.3616139E-1 6.7141107E+16
4.3345830E-1 6.8934450E+16
4.3075523E-1 7.0775114E+16
4.2805215E-1 7.2602494E+16
4.2534907E-1 7.4351041E+16
4.2264599E-1 7.5972988E+16
4.1994292E-1 7.7459221E+16
4.1723983E-1 7.8842093E+16
4.1453675E-1 8.0175850E+16
4.1183368E-1 8.1506109E+16
4.0913060E-1 8.2854162E+16
4.0642752E-1 8.4219884E+16
4.0372444E-1 8.5596816E+16
4.0102137E-1 8.6984290E+16
3.9831829E-1 8.8385598E+16
3.9561521E-1 8.9796656E+16
3.9291213E-1 9.1198710E+16
3.9020906E-1 9.2565239E+16
3.8750598E-1 9.3877452E+16
3.8480290E-1 9.5135065E+16
3.8209982E-1 9.6350821E+16
3.7939674E-1 9.7530305E+16
3.7669366E-1 9.8651339E+16
3.7399059E-1 9.9658492E+16
3.7128751E-1 1.0047431E+17
3.6858443E-1 1.0101702E+17
3.6588135E-1 1.0121186E+17
3.6317827E-1 1.0099442E+17
3.6047520E-1 1.0031241E+17
3.5777212E-1 9.9127982E+16
3.5506904E-1 9.7417996E+16
3.5236596E-1 9.5170803E+16
3.4966288E-1 9.2383321E+16
3.4695980E-1 8.9063486E+16
3.4425673E-1 8.5237370E+16
3.4155365E-1 8.0955206E+16
3.3885057E-1 7.6291814E+16
3.3614749E-1 7.1341135E+16
3.3344441E-1 6.6207337E+16
3.3074134E-1 6.0995491E+16
3.2803826E-1 5.5804016E+16
3.2533518E-1 5.0720364E+16
3.2263210E-1 4.5819516E+16
3.1992902E-1 4.1163816E+16
3.1722595E-1 3.6802675E+16
3.1452287E-1 3.2771355E+16
3.1181979E-1 2.9090409E+16
3.0911671E-1 2.5766049E+16
3.0641363E-1 2.2792233E+16
3.0371055E-1 2.0153708E+16
3.0100748E-1 1.7829369E+16
2.9830440E-1 1.5794831E+16
2.9560132E-1 1.4023519E+16
2.9289824E-1 1.2485853E+16
2.9019516E-1 1.1145593E+16
2.8749209E-1 9.9524533E+15
2.8478901E-1 8.8323438E+15
2.8208593E-1 7.6817720E+15
2.7938285E-1 6.3779755E+15
2.7667977E-1 4.8134293E+15
2.7397669E-1 2.9470615E+15
2.7127362E-1 1.9158434E+15
