fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 51056 319.67 36.269 1.000000000E+00 8.547205743E-01 1.987734856E-09 7.573024473E+02 1.835346278E+00 3.702317526E-07 1.629453562E-04 1.212882513E-01 1.583896552E-04 3.878484530E-01 7.450880728E-06 6.212637281E-02 8.088526782E-05 5.811566912E-02 
00L2 51174 319.73 36.262 1.000000000E+00 6.795995303E-01 9.274738707E-10 7.029653931E+02 1.258793091E+00 2.907102458E-08 1.693651699E-04 1.212028297E-01 1.583758621E-04 3.858093970E-01 7.405843882E-06 6.200184965E-02 8.094486461E-05 1.947072990E-01 
00L3 51264 319.76 36.259 1.000000000E+00 6.870329440E-01 9.559381232E-10 7.021738302E+02 1.260285196E+00 2.923394279E-08 1.697303974E-04 1.213754915E-01 1.585787129E-04 3.870253581E-01 7.449297370E-06 6.218648214E-02 8.097708820E-05 1.940039477E-01 
00L4 51352 319.79 36.256 1.000000000E+00 6.701824278E-01 7.392624272E-10 7.008668645E+02 1.227409818E+00 2.473834070E-08 1.700508931E-04 1.214449045E-01 1.587653465E-04 3.885482088E-01 7.491692179E-06 6.229140444E-02 8.101862725E-05 1.853181560E-01 
00L5 51444 319.78 36.257 1.000000000E+00 6.540564139E-01 6.045952573E-10 7.012982059E+02 1.213067084E+00 2.322957781E-08 1.696637040E-04 1.212906746E-01 1.584758621E-04 3.875038749E-01 7.448461615E-06 6.211507349E-02 8.091129936E-05 1.970243053E-01 
00L6 51530 319.82 36.252 1.000000000E+00 6.710393165E-01 7.096495035E-10 6.995290532E+02 1.221123849E+00 2.397134100E-08 1.698562667E-04 1.212338314E-01 1.583787129E-04 3.874159881E-01 7.438719443E-06 6.218371496E-02 8.082271875E-05 2.134540217E-01 
00L7 51622 319.82 36.252 1.000000000E+00 7.829705535E-01 1.727397162E-09 7.388355478E+02 1.539136080E+00 1.250570749E-07 1.635254951E-04 1.210977770E-01 1.580758621E-04 3.851569085E-01 7.372918306E-06 6.205012159E-02 8.086492166E-05 1.333547430E-01 
00L8 51712 319.87 36.247 1.000000000E+00 9.011966532E-01 2.325859168E-09 6.225989698E+19 8.203523904E+00 1.988110875E-04 1.588164179E-04 1.210568840E-01 1.578164179E-04 3.876594952E-01 7.406143090E-06 6.210529075E-02 8.071541048E-05 9.192489516E-01 
00L9 51802 319.87 36.247 1.000000000E+00 7.961952465E-01 1.800471454E-09 7.383053609E+02 1.562873283E+00 1.363492794E-07 1.637091236E-04 1.212148413E-01 1.581758621E-04 3.879936571E-01 7.439104047E-06 6.220366502E-02 8.071510766E-05 1.414479284E-01 
0L10 51912 319.96 36.236 1.000000000E+00 1.033701859E+00 2.598824588E-09 8.482847279E+02 2.889688610E+00 4.009848866E-06 1.329787129E-04 1.027148632E-01 1.319787129E-04 -1.555582543E-01 -2.108774987E-06 5.255093017E-02 6.899859473E-05 4.255039231E-02 
