T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
260 1.497954717E-05 1.448426794E-07 1.363522235E-03 6.368536608E+00 1.339060041E-02 2.989659021E-04 9.975364323E+03 1.897413246E+02 2.463567700E-03 8.960982725E-06 1.762529741E-10 3.527765022E-06 2.923059481E+00 1.031604346E-04 5.967167698E-06 1.417528825E+04 1.407743577E-01 2.017757573E-06 1.003391724E+01 2.243152106E-01 3.391724059E-03 9.600391240E-04 3.093870544E-07 4.075421569E-05 9.950371930E-02 1.680336102E-09
270 1.500413527E-05 7.117005316E-14 2.756848627E-04 6.134852441E+00 6.302256088E-09 5.763355202E-05 1.000716100E+04 9.658685006E-05 7.160999020E-04 1.734877350E-05 1.026553612E-20 4.265431281E-08 2.851853899E+00 4.485081168E-16 7.177792210E-07 8.356098103E+03 9.185446232E-12 5.528896728E-08 1.999472493E+01 1.224431040E-07 2.637533039E-04 9.699890910E-04 1.293422421E-13 1.124635537E-05 9.950371913E-02 0.000000000E+00
280 1.500504460E-05 6.793133787E-14 3.363068889E-04 5.915842014E+00 5.717945546E-09 7.309256947E-05 1.000563530E+04 8.357032977E-05 5.635300000E-04 3.203960867E-05 4.284031757E-15 1.249943391E-06 2.785724670E+00 1.960392280E-10 3.727575665E-06 5.115284681E+03 2.376354908E-07 1.436274260E-06 2.999046099E+01 1.243335173E-07 3.179669412E-04 9.799936647E-04 1.138626724E-13 6.464597840E-06 9.950371916E-02 0.000000000E+00
290 1.500069860E-05 4.683471136E-14 4.657300654E-05 5.711485643E+00 3.893382948E-09 9.742561985E-06 1.000118814E+04 5.261178576E-05 1.188140000E-04 5.671932772E-05 4.401427208E-15 3.711707746E-07 2.724138549E+00 3.475404059E-10 2.269111446E-07 3.239171836E+03 3.214906181E-12 4.732693416E-07 3.999906159E+01 1.002694410E-07 2.346025490E-05 9.899980950E-04 6.727181031E-14 1.924220637E-06 9.950371917E-02 0.000000000E+00
300 1.500474255E-05 3.800412780E-14 3.161701830E-04 5.521425607E+00 3.019673964E-09 6.821313111E-05 1.000565320E+04 3.803507141E-05 5.653196667E-04 9.665837317E-05 5.276657416E-15 1.377529819E-06 2.666687881E+00 5.017616442E-10 7.955360294E-06 2.114603511E+03 1.837089246E-12 3.551978722E-06 4.999064578E+01 9.574353049E-08 1.870844353E-04 9.999928235E-04 5.025418992E-14 7.176454903E-06 9.950371926E-02 1.401587865E-17
310 1.500784845E-05 3.224659893E-14 5.232300261E-04 5.343554789E+00 2.579253494E-09 1.130732042E-04 1.000887818E+04 2.972949951E-05 8.878180392E-04 1.591513813E-04 0.000000000E+00 1.019154426E-06 2.612948957E+00 6.006532889E-10 1.750191261E-05 1.418968470E+03 3.003266530E-07 6.714712935E-06 5.998400466E+01 9.209372923E-08 2.665889248E-04 1.009989418E-03 8.759924156E-19 1.047722772E-05 9.950371923E-02 1.401587865E-17
320 1.470694253E-05 2.100557267E-06 1.953716439E-02 5.662809353E+00 3.476045735E+00 9.405476701E-02 9.813583117E+03 1.337857864E+03 1.864168826E-02 2.490279690E-04 3.556829406E-05 1.960508868E-02 3.100510076E+00 3.842001508E+00 2.099551516E-01 9.586968745E+02 1.250653077E+02 1.793448498E-02 6.904158063E+01 6.823863531E+00 1.369170525E-02 1.027521734E-03 5.372305665E-05 7.374248654E-03 1.173044774E-01 1.271228303E-01
330 1.499774383E-05 2.264993611E-14 1.504112680E-04 5.018969415E+00 1.700519093E-09 3.308113666E-05 9.998080867E+03 1.953735477E-05 1.919133176E-04 3.940744182E-04 5.401524166E-14 3.846244249E-07 2.515095426E+00 1.058670955E-09 2.230036782E-05 6.869929476E+02 1.624324837E-07 8.688314642E-06 8.000634942E+01 7.701082159E-08 7.936779167E-05 1.030002026E-03 8.759924156E-19 1.966990291E-06 9.950371965E-02 4.204763595E-17
340 1.499762663E-05 2.360126277E-14 1.582243791E-04 4.871346004E+00 1.587450649E-09 3.444904522E-05 9.997747168E+03 1.954923393E-05 2.252831784E-04 5.957859586E-04 1.840076696E-13 1.520534563E-06 2.470501827E+00 2.306172439E-09 3.497481746E-05 4.935615617E+02 2.922260749E-07 1.266559773E-05 9.000666853E+01 9.859045783E-08 7.409475599E-05 1.040002350E-03 4.379962078E-19 2.259615385E-06 9.950372142E-02 2.803175730E-17
350 1.500319064E-05 2.227809980E-14 2.127095948E-04 4.732543960E+00 1.635153183E-09 4.569549944E-05 1.000363772E+04 2.008413672E-05 3.637722549E-04 8.797184174E-04 1.167803374E-12 8.179963687E-07 2.428739277E+00 6.680847672E-09 6.911377738E-05 3.613735240E+02 8.415438660E-07 2.873914773E-05 9.999148045E+01 1.401976189E-07 8.519550784E-05 1.049995774E-03 2.376354094E-13 4.024817927E-06 9.950371968E-02 4.204763595E-17
