T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
260 4.490318254E-04 4.902889819E-04 2.893545503E+01 1.441678704E+01 1.061725940E+01 1.263075145E+00 1.852949184E+05 3.683249079E+05 1.752949184E+01 2.747956437E-04 1.400602936E-03 2.966568509E+01 9.566996264E+00 9.906478994E+00 2.272919774E+00 2.606995787E+04 1.938579696E+04 8.391093581E-01 1.877290390E+02 2.428600290E+02 1.777290390E+01 2.087703869E-02 3.198446047E-02 2.074691531E+01 5.301288233E-01 2.445932749E-01
270 3.936962945E-04 4.770091963E-04 2.524641963E+01 1.559111707E+01 1.162981725E+01 1.541546972E+00 1.094813653E+05 2.880589192E+05 9.948136534E+00 6.654846188E-04 2.361249820E-03 3.735917549E+01 9.653363167E+00 9.536541419E+00 2.384945526E+00 2.688049785E+04 2.203738828E+04 2.216872158E+00 1.947850479E+02 2.580121646E+02 8.739252397E+00 2.856988206E-02 3.278652447E-02 2.845348666E+01 6.354342529E-01 2.980869858E-01
280 3.854492959E-04 4.743881482E-04 2.469661973E+01 1.393791549E+01 1.125260569E+01 1.356204613E+00 2.708382749E+05 4.198534818E+05 2.608382749E+01 8.463678092E-04 2.682089579E-03 2.541632973E+01 9.623259890E+00 9.677929626E+00 2.454503550E+00 1.745826287E+04 2.133369121E+04 2.412965072E+00 2.023662774E+02 2.373896471E+02 5.745542579E+00 2.147481893E-02 3.157575105E-02 2.091308054E+01 5.276275381E-01 3.136452440E-01
290 4.450030491E-04 4.835520222E-04 2.866686994E+01 1.310550557E+01 9.701824180E+00 1.294610207E+00 2.527821151E+05 4.115861043E+05 2.427821151E+01 8.639632105E-04 2.340595680E-03 1.423225972E+01 1.482598919E+01 1.028654606E+01 4.442451729E+00 2.253332579E+04 2.319478039E+04 5.956511600E+00 1.744055739E+02 2.282179292E+02 3.360139347E+00 2.757580147E-02 3.626266188E-02 2.685434492E+01 5.472796946E-01 3.430188366E-01
300 2.902049366E-04 4.297165655E-04 1.834699577E+01 1.413161957E+01 1.077495145E+01 1.559589594E+00 1.356686740E+05 2.922054389E+05 1.256686740E+01 7.801208519E-04 1.963191834E-03 7.070919269E+00 1.373968699E+01 9.940023873E+00 4.152382622E+00 1.929586121E+04 2.300734379E+04 8.125081674E+00 1.814835810E+02 2.371352720E+02 2.629671620E+00 2.364246119E-02 3.348282373E-02 2.264246119E+01 6.604147442E-01 2.922619788E-01
310 4.425489312E-04 4.855167555E-04 2.850326208E+01 1.235998994E+01 9.955079558E+00 1.313326618E+00 1.602250824E+05 3.362389082E+05 1.502250824E+01 1.291267471E-03 2.458807006E-03 7.113446105E+00 1.487032749E+01 1.154101952E+01 4.691112989E+00 1.639835651E+04 2.229171194E+04 1.055661099E+01 2.394297296E+02 2.256250546E+02 2.990495494E+00 3.454529097E-02 3.833597608E-02 3.320325839E+01 8.232179477E-01 2.240002625E-01
320 2.857448832E-04 4.257181291E-04 1.804965888E+01 1.194154947E+01 1.045605478E+01 1.307107357E+00 2.361281080E+05 4.087674544E+05 2.261281080E+01 1.706474382E-03 3.633021129E-03 5.718196384E+00 1.614982673E+01 1.072952685E+01 5.302371408E+00 4.554094910E+03 1.303810372E+04 3.665102893E+00 1.678860770E+02 2.042327767E+02 1.398372528E+00 1.631479997E-02 2.525957652E-02 1.499490193E+01 8.056191771E-01 3.832441939E-01
330 2.464260879E-04 4.076290445E-04 1.542840586E+01 1.196204084E+01 1.083934333E+01 1.383287111E+00 1.571584361E+05 3.625907793E+05 1.471584361E+01 2.529222175E-03 4.022300909E-03 5.418135842E+00 1.679766533E+01 1.024049858E+01 5.678589832E+00 8.381809942E+03 1.739966558E+04 1.120061596E+01 1.173845855E+02 1.636223269E+02 4.673073190E-01 1.087323829E-02 2.087069823E-02 9.556542032E+00 8.995872392E-01 5.500754341E-01
340 2.350262158E-04 3.844942162E-04 1.466841439E+01 9.961695283E+00 9.699828894E+00 1.044886999E+00 1.198855359E+05 3.225772579E+05 1.098855359E+01 2.124168369E-03 3.653369956E-03 2.565326722E+00 1.518716071E+01 9.896401448E+00 5.147184099E+00 4.687523514E+03 1.347713268E+04 8.497222855E+00 1.092682969E+02 1.473826676E+02 2.140921880E-01 1.631267196E-02 2.884133495E-02 1.468526150E+01 9.946500719E-01 6.491006966E-01
350 3.074055987E-04 4.193675083E-04 1.949370658E+01 1.167990774E+01 1.024794492E+01 1.468110503E+00 8.554177972E+04 2.703647180E+05 7.554177972E+00 2.305182917E-03 3.713536352E-03 1.620366650E+00 1.552855676E+01 1.051864061E+01 5.394111604E+00 3.577142366E+03 1.186799982E+04 8.899023953E+00 8.520637999E+01 1.228970230E+02 1.479362001E-01 1.139033211E-02 2.467652886E-02 9.847935344E+00 9.483779613E-01 7.486349768E-01
