T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
260 4.965454208E-04 4.917364381E-04 3.210302805E+01 1.912644957E+01 1.258579928E+01 2.002374421E+00 4.502936140E+05 5.014873132E+05 4.402936140E+01 6.730829052E-06 7.616506790E-06 2.488764330E-01 3.114620863E+00 5.715566700E+00 6.552818995E-02 1.443638190E+04 9.275662102E+03 1.841687602E-02 2.738955393E+02 2.510766670E+02 2.638955393E+01 4.283237527E-02 3.948645144E-02 4.361705757E+01 3.721439162E-01 2.227450510E-01
270 5.421208480E-04 4.730263805E-04 3.514138987E+01 1.730600307E+01 1.251125077E+01 1.821094825E+00 4.040419980E+05 4.906272352E+05 3.940419980E+01 2.215538696E-04 1.398324651E-03 1.177057880E+01 1.817354655E+00 1.846700783E+00 3.627457703E-01 1.159060057E+04 1.429938213E+04 3.870829510E-01 3.665247397E+02 2.485363802E+02 1.732623699E+01 5.550906283E-02 4.037591945E-02 5.622583797E+01 4.575773115E-01 1.566220174E-01
280 4.905800306E-04 4.725484742E-04 3.170533537E+01 1.766131787E+01 1.220300495E+01 1.985645787E+00 4.910856095E+05 5.039580268E+05 4.810856095E+01 4.205963522E-05 7.409766350E-05 3.127403718E-01 2.292124537E+00 4.491775223E+00 1.771860636E-01 9.419575885E+03 1.499058166E+04 8.414594694E-01 2.847191592E+02 2.640100877E+02 8.490638641E+00 3.412566311E-02 3.859890013E-02 3.382210522E+01 4.345372202E-01 2.109495897E-01
290 5.516864577E-04 4.752064260E-04 3.577909718E+01 1.672564373E+01 1.186950107E+01 1.928451146E+00 3.703266031E+05 4.851986607E+05 3.603266031E+01 1.202686544E-04 1.727846331E-04 1.120418274E+00 2.718246699E+00 6.044772990E+00 2.162604093E-03 9.839645254E+03 1.750854393E+04 2.037705441E+00 3.169963838E+02 2.611331218E+02 6.924909594E+00 4.332327286E-02 3.895627697E-02 4.276088168E+01 5.355180269E-01 2.636057024E-01
300 4.998408750E-04 4.856769365E-04 3.232272500E+01 1.655827713E+01 1.289352742E+01 1.999117946E+00 5.861746517E+05 4.949432687E+05 5.761746517E+01 1.335407337E-04 1.330732881E-04 3.815763005E-01 3.669791699E+00 8.007451870E+00 3.761718869E-01 1.001548995E+04 1.869781606E+04 3.736360967E+00 2.631000467E+02 2.559705068E+02 4.262000935E+00 3.705500284E-02 4.245421249E-02 3.605500284E+01 6.669222179E-01 2.291161689E-01
310 3.588166085E-04 4.500343273E-04 2.292110723E+01 1.304526592E+01 1.192600087E+01 1.441584583E+00 4.696167798E+05 4.993831029E+05 4.596167798E+01 4.519956000E-04 1.393816841E-03 1.840032777E+00 6.619306499E+00 1.114886809E+01 1.533314833E+00 5.845569701E+03 1.472412007E+04 3.119618636E+00 2.971356048E+02 2.616426755E+02 3.952260081E+00 4.170001540E-02 4.066144976E-02 4.028714396E+01 6.900103615E-01 3.523749801E-01
320 4.285725632E-04 4.759910112E-04 2.757150421E+01 1.305141181E+01 1.182024494E+01 1.521532762E+00 4.719164298E+05 5.026108255E+05 4.619164298E+01 9.600422944E-04 2.696502174E-03 2.779577788E+00 1.613763296E+01 1.436586382E+01 5.297612861E+00 7.211069321E+03 1.723949760E+04 6.386842175E+00 1.666218052E+02 2.313688162E+02 1.380311503E+00 3.068209159E-02 4.121683718E-02 2.908048195E+01 6.928800763E-01 4.051188403E-01
330 4.601273076E-04 4.955392168E-04 2.967515384E+01 1.702577959E+01 1.313144063E+01 2.392173760E+00 5.695383839E+05 4.991422653E+05 5.595383839E+01 1.513888967E-03 2.973629032E-03 2.841633660E+00 1.517097443E+01 1.433947465E+01 5.031833207E+00 1.003301892E+04 1.993598281E+04 1.360412627E+01 9.784575912E+01 1.642764029E+02 2.230719890E-01 1.057874313E-02 2.220180282E-02 9.270624400E+00 6.215802270E-01 4.474944793E-01
340 2.216540182E-04 4.127095662E-04 1.377693455E+01 7.605389472E+00 1.002431042E+01 5.611963239E-01 6.085214125E+05 4.922375375E+05 5.985214125E+01 2.637182082E-03 4.193537493E-03 3.426398531E+00 1.833906397E+01 1.414260723E+01 6.422954464E+00 8.994477062E+03 1.917230685E+04 1.722338659E+01 1.200090749E+02 1.473687265E+02 3.334341655E-01 8.555642347E-03 2.370141119E-02 7.226579180E+00 3.697850747E-01 4.720229495E-01
350 7.256751059E-05 2.415598604E-04 3.837834039E+00 5.025385638E+00 6.458783418E+00 6.192680253E-02 5.110247602E+05 5.036257956E+05 5.010247602E+01 3.334434472E-03 4.302175455E-03 2.790346017E+00 1.951085518E+01 1.290489567E+01 7.033881543E+00 1.394917376E+04 2.242230287E+04 3.760154031E+01 1.458211302E+02 1.405443379E+02 4.582113023E-01 1.283029685E-02 2.673006974E-02 1.121933034E+01 4.383733255E-01 6.334588322E-01
