T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
260 8.436963932E-05 1.721564725E-04 4.624642621E+00 1.143054807E+01 8.220537918E+00 7.943102834E-01 1.510251239E+04 6.940179700E+04 5.102512389E-01 6.887946546E-06 2.389622344E-06 2.313429834E-01 2.052960368E+00 6.316217718E-01 2.976714530E-01 1.308220805E+04 1.226833983E+03 7.711353524E-02 1.879918368E+02 1.717351926E+02 1.779918368E+01 8.736926599E-03 1.521813765E-02 8.100965208E+00 3.298201874E-01 1.092112284E-01
270 8.351596869E-05 1.777929778E-04 4.567731246E+00 1.133000056E+01 8.726404497E+00 8.469317162E-01 1.902301191E+03 6.861287672E+03 8.097698809E-01 1.524583701E-05 8.144697254E-06 1.212152454E-01 1.834368886E+00 8.540117947E-01 3.567797413E-01 8.144619423E+03 2.872508904E+03 2.530825114E-02 1.711077366E+02 1.632074843E+02 7.555386830E+00 6.468403769E-03 1.159452783E-02 5.668457494E+00 4.092732492E-01 1.199065462E-01
280 1.050790968E-04 2.379145769E-04 6.005273120E+00 9.480639028E+00 7.781502195E+00 6.027020277E-01 1.009178977E+04 4.304449802E+04 9.178977229E-03 3.743097767E-05 2.399746259E-05 1.682734595E-01 2.176077534E+00 1.769696025E+00 2.188439624E-01 7.211559283E+03 7.870995893E+03 4.098080734E-01 2.016271656E+02 1.936593741E+02 5.720905519E+00 9.756150007E-03 1.677649852E-02 8.955255109E+00 4.437721948E-01 1.983449718E-01
290 7.015807826E-05 1.566218906E-04 3.677205218E+00 1.073768607E+01 8.526243830E+00 8.800346106E-01 7.756706949E+03 2.916321487E+04 2.243293051E-01 7.089184583E-05 5.912628609E-05 2.498715163E-01 2.183110048E+00 2.998086271E+00 1.986051722E-01 4.677025497E+03 6.502523239E+03 4.438961399E-01 1.368320730E+02 1.595054641E+02 2.420801826E+00 3.573493829E-03 7.090463217E-03 2.609589727E+00 4.845753632E-01 2.250405737E-01
300 6.940904999E-05 1.500353032E-04 3.627270000E+00 8.713783621E+00 6.926684116E+00 5.782840585E-01 1.843426064E+03 4.640354965E+03 8.156573936E-01 1.447094564E-04 1.005400264E-04 4.971248838E-01 2.462630416E+00 3.261956526E+00 7.651359423E-02 5.112425118E+03 8.107589416E+03 1.417684096E+00 1.848344620E+02 1.827208977E+02 2.696689240E+00 8.413895666E-03 1.618446632E-02 7.413895666E+00 6.146802458E-01 2.766268059E-01
310 5.449727604E-05 1.255026720E-04 2.633151736E+00 7.781157588E+00 7.578859368E+00 4.563409072E-01 3.558519940E+03 1.576795004E+04 6.441480060E-01 2.380935284E-04 1.387347431E-04 4.960177146E-01 2.673442027E+00 3.145186275E+00 2.316917082E-02 3.251702934E+03 5.761718804E+03 1.291611715E+00 1.572672149E+02 1.580928878E+02 1.621120248E+00 5.895612314E-03 1.859828424E-02 4.837239915E+00 6.369397271E-01 3.377390889E-01
320 9.686746610E-05 2.070058687E-04 5.457831073E+00 1.230645133E+01 9.806584741E+00 1.377606396E+00 5.445481512E+04 1.892906507E+05 4.445481512E+00 2.342239961E-04 4.775135206E-04 7.788665321E-02 9.286529672E+00 8.764291497E+00 2.624011579E+00 1.457622734E+03 6.960572880E+03 4.931529029E-01 1.010778448E+02 1.364428765E+02 4.439692114E-01 2.262954160E-03 2.650475130E-03 1.218582509E+00 6.938161033E-01 3.588069848E-01
330 5.398226884E-05 1.017423768E-04 2.598817923E+00 5.673086429E+00 4.616361901E+00 1.302915573E-01 2.171549190E+04 5.532974706E+04 1.171549190E+00 7.606128128E-04 1.021152222E-03 9.301255557E-01 5.394192664E+00 7.179472841E+00 1.144679011E+00 3.769962689E+03 1.036826700E+04 4.487581710E+00 9.743609870E+01 1.048870088E+02 2.179512338E-01 1.159265616E-03 1.421248320E-04 1.255005980E-01 3.779687938E-01 3.374413060E-01
340 3.055808610E-05 7.522625923E-05 1.037205740E+00 4.980277217E+00 2.991075795E+00 2.232640578E-02 1.491615556E+04 5.444020322E+04 4.916155559E-01 8.479701509E-04 8.743952213E-04 4.232820160E-01 5.322647487E+00 6.760704786E+00 1.154404936E+00 1.735278865E+03 4.919416395E+03 2.515786118E+00 7.464224276E+01 7.944193791E+01 1.706417471E-01 1.136654144E-03 1.224840250E-04 9.293667711E-02 3.437339342E-01 2.880126156E-01
350 2.305926318E-05 5.841397625E-05 5.372842120E-01 4.206847357E+00 2.654678921E+00 1.110405680E-01 5.036367626E+04 1.569665612E+05 4.036367626E+00 9.306767666E-04 1.448261789E-03 5.792661549E-02 7.432167590E+00 8.282603769E+00 2.060304301E+00 9.342166934E+02 2.765049198E+03 1.585257303E+00 6.844130408E+01 7.662009622E+01 3.155869592E-01 1.155691252E-03 4.114316398E-04 1.006583357E-01 2.032320007E-01 2.550942810E-01
