T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
260 1.480031452E-05 5.313694821E-07 1.331236522E-02 6.351772842E+00 5.015350570E-02 2.930458147E-03 9.748872410E+03 6.449122928E+02 2.511275896E-02 8.960804780E-06 5.755128202E-10 2.338541939E-05 2.922945290E+00 3.568407797E-04 4.503242260E-05 1.417513499E+04 4.830779887E-01 1.282953651E-05 1.030858360E+01 8.287135135E-01 3.085835961E-02 9.604473002E-04 1.222812119E-06 4.659377492E-04 9.950372434E-02 1.833743972E-08
270 1.500377365E-05 2.581653537E-09 2.515766536E-04 6.134820607E+00 2.272689455E-04 5.244419611E-05 1.000669296E+04 3.340770912E+00 6.692955725E-04 1.734877279E-05 5.038267707E-12 2.011781597E-09 2.851853488E+00 2.938641966E-06 5.735248285E-07 8.356097770E+03 2.378664554E-03 1.543548268E-08 1.999533914E+01 4.385620959E-03 2.330429118E-04 9.699896938E-04 4.301771621E-09 1.062497271E-05 9.950371913E-02 2.800560400E-12
280 1.500504459E-05 4.687906849E-14 3.363060392E-04 5.915842013E+00 4.085939555E-09 7.309240042E-05 1.000563528E+04 5.841501289E-05 5.635283922E-04 3.203960867E-05 4.153900536E-15 1.249949511E-06 2.785724670E+00 1.960392280E-10 3.727575665E-06 5.115284681E+03 1.960392782E-07 1.436278093E-06 2.999046101E+01 9.174944577E-08 3.179663399E-04 9.799936647E-04 7.990189119E-14 6.464587836E-06 9.950371916E-02 0.000000000E+00
290 1.500069859E-05 3.399769313E-14 4.657264052E-05 5.711485643E+00 2.893806640E-09 9.742486456E-06 1.000118814E+04 3.795663169E-05 1.188135882E-04 5.671932772E-05 4.401427208E-15 3.711707750E-07 2.724138549E+00 3.253957137E-10 2.269039466E-07 3.239171836E+03 3.214906181E-12 4.732693416E-07 3.999906160E+01 7.174027242E-08 2.345991667E-05 9.899980950E-04 5.827593239E-14 1.924210734E-06 9.950371917E-02 0.000000000E+00
300 1.500474256E-05 3.967811665E-14 3.161705098E-04 5.521425607E+00 3.125229309E-09 6.821319859E-05 1.000565320E+04 4.230792803E-05 5.653203137E-04 9.665837317E-05 3.253953504E-15 1.377521704E-06 2.666687881E+00 4.153902360E-10 7.955330882E-06 2.114603511E+03 1.837089246E-12 3.551978722E-06 4.999064577E+01 8.873003776E-08 1.870845137E-04 9.999928235E-04 5.321058510E-14 7.176460785E-06 9.950371926E-02 1.401587865E-17
310 1.500784844E-05 2.188203697E-14 5.232294510E-04 5.343554788E+00 1.644956435E-09 1.130730794E-04 1.000887817E+04 2.047858747E-05 8.878172549E-04 1.591513813E-04 0.000000000E+00 1.019154426E-06 2.612948957E+00 4.760952680E-10 1.750186008E-05 1.418968470E+03 4.592723116E-13 6.714782028E-06 5.998400469E+01 6.107340550E-08 2.665885033E-04 1.009989418E-03 8.759924156E-19 1.047722772E-05 9.950371923E-02 1.401587865E-17
320 1.486208737E-05 4.412225396E-06 9.194175059E-03 5.614783776E+00 3.528378761E+00 8.477622548E-02 2.252417938E+04 8.996486362E+04 1.252417938E+00 2.518680268E-04 4.075130101E-05 8.424102617E-03 3.070642454E+00 3.842284180E+00 1.982994942E-01 9.560606979E+02 1.377791857E+02 2.063491950E-02 7.474705759E+01 5.041584951E+01 6.781510841E-02 1.023366049E-03 2.902719804E-05 3.300048151E-03 1.179849959E-01 1.271178838E-01
330 1.499774383E-05 2.584721333E-14 1.504114641E-04 5.018969415E+00 1.794326670E-09 3.308119136E-05 9.998080864E+03 2.145848691E-05 1.919136333E-04 3.940744182E-04 5.017615198E-14 3.846244249E-07 2.515095426E+00 1.222661781E-09 2.230038342E-05 6.869929476E+02 1.686160457E-07 8.688328913E-06 8.000634943E+01 8.637174557E-08 7.936789951E-05 1.030002026E-03 8.759924156E-19 1.966990291E-06 9.950371965E-02 4.204763595E-17
340 1.499762664E-05 1.757895345E-14 1.582242876E-04 4.871346004E+00 1.200326632E-09 3.444901705E-05 9.997747169E+03 1.441023602E-05 2.252830843E-04 5.957859587E-04 1.587697908E-13 1.520659625E-06 2.470501827E+00 1.886380495E-09 3.497451588E-05 4.935615618E+02 2.360458560E-07 1.266539115E-05 9.000666851E+01 7.019524562E-08 7.409456427E-05 1.040002350E-03 4.379962078E-19 2.259615385E-06 9.950372142E-02 2.803175730E-17
350 1.500319064E-05 1.763018822E-14 2.127094510E-04 4.732543960E+00 1.296450767E-09 4.569545387E-05 1.000363772E+04 1.548686991E-05 3.637723725E-04 8.797184171E-04 8.079215614E-13 8.176196877E-07 2.428739275E+00 4.860000822E-09 6.911305074E-05 3.613735237E+02 5.934611002E-07 2.873849118E-05 9.999148048E+01 1.079622289E-07 8.519519608E-05 1.049995774E-03 6.569943117E-19 4.024761905E-06 9.950371968E-02 4.204763595E-17
