T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
260 1.383426341E-04 2.622868577E-04 8.222842271E+00 1.006111575E+01 8.165999296E+00 5.793436447E-01 4.980930641E+04 1.341613359E+05 3.980930641E+00 1.179194933E-05 9.124500648E-06 3.159168016E-01 3.117513189E+00 1.714128804E+00 6.651766998E-02 1.736649808E+04 9.850013233E+03 2.251223914E-01 1.167591361E+02 1.619994518E+02 1.067591361E+01 1.625794524E-02 2.769552706E-02 1.593535962E+01 4.771761359E-01 2.656551672E-01
270 2.212969491E-04 3.297939575E-04 1.375312994E+01 1.023267411E+01 7.750642164E+00 6.680537883E-01 5.829291841E+04 1.717525297E+05 4.829291841E+00 2.634296162E-05 2.146806357E-05 5.184337237E-01 3.187037306E+00 2.494722170E+00 1.175325616E-01 1.506449457E+04 1.314662082E+04 8.028145693E-01 1.829955639E+02 2.045252588E+02 8.149778193E+00 1.796079521E-02 2.517044630E-02 1.751628373E+01 5.371305386E-01 2.564337671E-01
280 1.330143501E-04 2.773595376E-04 7.867623338E+00 9.910982410E+00 7.837037561E+00 6.754515765E-01 1.757965825E+04 5.051548493E+04 7.579658251E-01 6.130966102E-05 3.908461216E-05 9.135607519E-01 4.422508929E+00 3.182701089E+00 5.875673078E-01 1.284088303E+04 1.307974983E+04 1.510300458E+00 1.399065020E+02 1.772216496E+02 3.663550066E+00 1.961624953E-02 2.832193221E-02 1.901658116E+01 7.083226364E-01 2.649953662E-01
290 1.662510120E-04 2.690626522E-04 1.008340080E+01 1.093866238E+01 8.932961337E+00 9.152230498E-01 1.302153985E+04 3.445216323E+04 3.021539846E-01 1.264309678E-04 8.218151262E-05 1.229064056E+00 5.705962530E+00 4.620933310E+00 1.094593840E+00 1.156783472E+04 1.386549207E+04 2.571233878E+00 1.219930654E+02 1.784541482E+02 2.049826636E+00 1.804668483E-02 2.609077320E-02 1.722897457E+01 7.974206099E-01 2.699930124E-01
300 2.031771386E-04 2.836818101E-04 1.254514258E+01 1.127201245E+01 6.763135483E+00 1.041643256E+00 3.113529419E+04 1.026046427E+05 2.113529419E+00 2.202407036E-04 1.507414968E-04 1.278550733E+00 5.420386335E+00 5.710320883E+00 1.032644875E+00 9.198913490E+03 1.266591746E+04 3.350199041E+00 1.621615586E+02 1.937592690E+02 2.243231172E+00 1.679842087E-02 2.670722473E-02 1.579842087E+01 8.098073131E-01 2.253694683E-01
310 1.274364389E-04 2.487146373E-04 7.495762595E+00 1.076878062E+01 8.378630483E+00 1.015511904E+00 4.323458849E+04 1.698782740E+05 3.323458849E+00 4.763344811E-04 2.867648448E-04 1.992961743E+00 1.030701237E+01 7.880972714E+00 2.944659057E+00 5.241973558E+03 6.547362110E+03 2.694239067E+00 8.920253445E+01 1.401316183E+02 4.867089076E-01 1.165862782E-02 2.460656386E-02 1.054319586E+01 7.651224716E-01 3.381183602E-01
320 1.330139414E-04 2.049135306E-04 7.867596096E+00 1.117196192E+01 8.485346397E+00 1.158423044E+00 9.614394568E+04 1.993322120E+05 8.614394568E+00 4.866479466E-04 1.432435985E-03 9.158778525E-01 1.130305702E+01 8.324146348E+00 3.410949080E+00 2.343335692E+03 5.504499209E+03 1.400455487E+00 7.615481946E+01 1.307638685E+02 8.792599230E-02 1.977086452E-03 1.413060493E-03 9.383200505E-01 7.312742208E-01 3.094619038E-01
330 9.372568834E-05 1.769690094E-04 5.248379223E+00 7.104710585E+00 5.587951818E+00 4.155247751E-01 6.702230448E+04 1.690998004E+05 5.702230448E+00 5.293257726E-04 8.203836711E-04 3.432132404E-01 1.077079448E+01 9.116262638E+00 3.282364070E+00 3.569474955E+03 8.859321392E+03 4.195750487E+00 4.725977422E+01 7.572037896E+01 4.092528222E-01 1.150254023E-03 1.353934882E-04 1.167514783E-01 4.604789516E-01 2.910118857E-01
340 7.052908624E-05 1.205104847E-04 3.701939083E+00 6.291155017E+00 4.332856410E+00 2.914168462E-01 6.248388947E+04 1.669307894E+05 5.248388947E+00 1.214238812E-03 2.152180609E-03 1.038048464E+00 1.058485350E+01 7.879512507E+00 3.284345464E+00 1.635385474E+03 4.688052791E+03 2.313395710E+00 5.381587247E+01 8.009304426E+01 4.020458614E-01 1.147694983E-03 1.497920540E-04 1.035528679E-01 4.183505038E-01 2.638001788E-01
350 8.541542540E-05 1.205623959E-04 4.694361693E+00 6.754831917E+00 4.046327523E+00 4.273804194E-01 7.623908889E+04 2.037343832E+05 6.623908889E+00 9.601015533E-04 1.920088869E-03 9.137460313E-02 1.301002154E+01 9.043851999E+00 4.357067690E+00 8.508392041E+02 2.687402100E+03 1.354526826E+00 3.610713366E+01 5.879079449E+01 6.389286634E-01 1.124421001E-03 1.021633197E-04 7.087714349E-02 3.835673645E-01 2.632643142E-01
