T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
260 6.973282725E-05 1.735189653E-04 3.648855150E+00 1.119597957E+01 1.029699722E+01 7.574888932E-01 3.536516350E+04 1.470894533E+05 2.536516350E+00 3.244481719E-05 8.291884755E-05 2.620663462E+00 6.991583557E+00 7.836048289E+00 1.391857533E+00 1.395645032E+04 1.434884631E+04 1.543997479E-02 1.209029560E+02 2.042516568E+02 1.109029560E+01 2.021076099E-02 2.293916405E-02 2.005287603E+01 7.630296316E-01 3.277471447E-01
270 1.331634181E-04 2.675108720E-04 7.877561209E+00 1.181913211E+01 8.740111256E+00 9.266662730E-01 1.343102505E+05 2.825480246E+05 1.243102505E+01 3.426529821E-05 7.363579257E-05 9.750848483E-01 7.993232865E+00 8.150388296E+00 1.802821914E+00 8.490745578E+03 1.255005051E+04 1.611373429E-02 1.344740969E+02 2.140043252E+02 5.723704843E+00 2.182383325E-02 2.786843494E-02 2.149879716E+01 6.456834309E-01 3.642323845E-01
280 8.788950416E-05 2.212585691E-04 4.859300277E+00 1.149899566E+01 1.015445721E+01 9.439052163E-01 2.673578040E+04 9.735706281E+04 1.673578040E+00 9.986237012E-05 1.790681942E-04 2.116845027E+00 9.768509125E+00 9.599931837E+00 2.506644301E+00 7.620417464E+03 1.232484521E+04 4.897369129E-01 8.558758672E+01 1.379353259E+02 1.852919557E+00 1.721907593E-02 2.053630272E-02 1.657048564E+01 6.431795765E-01 4.442179503E-01
290 8.206546755E-05 1.583615997E-04 4.471031170E+00 1.467459411E+01 9.203285486E+00 1.569337997E+00 2.399112581E+04 9.427687903E+04 1.399112581E+00 2.057951067E-04 4.204449469E-04 2.628307868E+00 1.198409374E+01 9.728845973E+00 3.399224284E+00 5.042936253E+03 1.165264863E+04 5.568604861E-01 8.929723021E+01 1.576030703E+02 1.232430755E+00 1.941267964E-02 2.555432093E-02 1.860876731E+01 5.960717879E-01 4.304736315E-01
300 7.290413871E-05 2.015088798E-04 3.860275914E+00 1.031871669E+01 8.741789794E+00 8.689775610E-01 5.231720872E+04 1.684137849E+05 4.231720872E+00 2.476446338E-04 4.064857736E-04 1.562064380E+00 1.367730663E+01 9.474713783E+00 4.128989987E+00 5.699956377E+03 1.185833019E+04 1.695529726E+00 8.825617083E+01 1.461201211E+02 7.651234167E-01 1.957978484E-02 2.251992189E-02 1.857978484E+01 7.482320010E-01 3.213272220E-01
310 3.536727612E-05 9.433930536E-05 1.357818408E+00 1.145259004E+01 9.005250416E+00 1.143495383E+00 4.674560650E+04 1.446333303E+05 3.674560650E+00 2.486465206E-04 3.573397127E-04 5.623255363E-01 1.624273628E+01 8.884770847E+00 5.216355858E+00 3.653051754E+03 8.283848283E+03 1.574459095E+00 8.871104656E+01 1.502493151E+02 4.785174426E-01 1.538226685E-02 2.120762736E-02 1.422996718E+01 8.630154200E-01 2.760589638E-01
320 6.699801216E-05 1.384561991E-04 3.466534144E+00 1.576146344E+01 8.783962041E+00 2.045114737E+00 3.494720097E+04 1.207677807E+05 2.494720097E+00 4.159707054E-04 1.107183424E-03 6.376295583E-01 1.823908081E+01 8.394114658E+00 6.117690071E+00 9.563934996E+02 3.225742238E+03 2.029400565E-02 7.287406713E+01 1.154892120E+02 4.105810187E-02 6.169461614E-03 7.974229731E-03 5.048491779E+00 9.846406882E-01 1.497363364E-01
330 1.633585974E-04 2.620478043E-04 9.890573158E+00 1.208151229E+01 9.071362079E+00 1.407090305E+00 3.099793296E+04 7.598721774E+04 2.099793296E+00 5.551157227E-04 1.539473105E-03 4.086576306E-01 1.655687257E+01 8.815704957E+00 5.582852949E+00 1.526835022E+03 7.090365802E+03 1.222470786E+00 3.604429272E+01 7.036836580E+01 5.494463410E-01 2.938853781E-03 4.216905413E-03 1.853256098E+00 9.881363679E-01 3.192983625E-01
340 1.968231795E-04 2.851038035E-04 1.212154530E+01 1.258914015E+01 9.207252544E+00 1.584235744E+00 3.257990082E+04 1.349958631E+05 2.257990082E+00 1.248048783E-03 2.478208421E-03 1.094797070E+00 1.500601974E+01 9.647045362E+00 5.073865133E+00 8.162166914E+02 2.690994949E+03 6.537072919E-01 2.414743769E+01 5.583932447E+01 7.316951367E-01 1.561257972E-03 9.327733198E-04 5.012095881E-01 1.022497908E+00 4.159872934E-01
350 1.260540823E-04 1.964526286E-04 7.403605485E+00 9.986442751E+00 7.541298707E+00 1.110260184E+00 3.290758087E+04 1.042998355E+05 2.290758087E+00 7.013472889E-04 2.007960470E-03 2.027586911E-01 1.538889791E+01 8.352240333E+00 5.336605021E+00 3.755332828E+02 1.190073759E+03 3.921303138E-02 2.624884374E+01 5.347948624E+01 7.375115626E-01 1.828132667E-03 3.355042030E-03 7.410787306E-01 8.344110451E-01 4.651899750E-01
