T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
260 6.142886544E-05 1.834058444E-04 3.095257696E+00 8.485875835E+00 8.338156467E+00 3.320703592E-01 5.081836391E+04 1.971239292E+05 4.081836391E+00 7.646018591E-06 5.063705354E-06 1.467463053E-01 2.417678083E+00 1.069713822E+00 1.728996032E-01 1.407256328E+04 3.434202582E+03 7.248766863E-03 1.307580003E+02 1.434605139E+02 1.207580003E+01 5.011640195E-03 9.548319947E-03 4.220458536E+00 2.747112931E-01 2.629467192E-01
270 3.604647619E-05 1.377066251E-04 1.403098413E+00 7.526093963E+00 6.431939840E+00 2.268473921E-01 4.392455794E+04 1.861802415E+05 3.392455794E+00 1.729475087E-05 1.101725369E-05 3.113873887E-03 2.783079095E+00 1.248915700E+00 2.411512261E-02 8.802089238E+03 3.938628430E+03 5.337319121E-02 1.014594163E+02 1.231262870E+02 4.072970817E+00 4.817754796E-03 1.045076338E-02 3.966757522E+00 3.238714133E-01 3.195567936E-01
280 2.771169863E-05 8.068730792E-05 8.474465755E-01 8.695833616E+00 7.832185372E+00 4.700306727E-01 5.562847372E+04 1.965683101E+05 4.562847372E+00 5.337774462E-05 3.964239543E-05 6.659944851E-01 3.875033282E+00 2.471638860E+00 3.910375883E-01 1.315717537E+04 1.512913380E+04 1.572133340E+00 8.641573226E+01 9.270136677E+01 1.880524409E+00 3.213073799E-03 6.113665518E-03 2.278646733E+00 4.118284778E-01 3.619266591E-01
290 1.586933064E-05 5.460318829E-05 5.795537583E-02 5.935819720E+00 4.997823859E+00 3.928783525E-02 3.269669955E+04 1.434159307E+05 2.269669955E+00 9.197559770E-05 8.800241237E-05 6.215924189E-01 4.067912123E+00 3.937369696E+00 4.932841971E-01 9.838529207E+03 1.445686783E+04 2.037360894E+00 8.597737555E+01 1.060838746E+02 1.149434389E+00 4.752963802E-03 1.204668716E-02 3.800973538E+00 3.986662588E-01 3.666973029E-01
300 4.824974338E-05 1.309922975E-04 2.216649559E+00 6.599664600E+00 5.272935240E+00 1.953642507E-01 4.466118641E+04 1.842933306E+05 3.466118641E+00 1.475704400E-04 1.337668721E-04 5.267238469E-01 4.581824506E+00 4.800924807E+00 7.181841896E-01 6.255735138E+03 1.074783180E+04 1.958359487E+00 8.396601180E+01 9.345165501E+01 6.793202361E-01 2.546010634E-03 3.893669675E-03 1.546010634E+00 3.480547971E-01 4.564560294E-01
310 5.036236173E-05 1.467084259E-04 2.357490782E+00 6.976179172E+00 5.288277287E+00 3.056791344E-01 4.989059216E+04 1.948592888E+05 3.989059216E+00 2.362489387E-04 2.563221886E-04 4.844275686E-01 4.727041129E+00 5.526703908E+00 8.091145062E-01 3.493018083E+03 8.788482526E+03 1.461676641E+00 1.043500768E+02 9.934295765E+01 7.391679471E-01 4.710884784E-03 1.019179180E-02 3.664242360E+00 3.213547464E-01 3.583127762E-01
320 4.136729318E-05 1.605687326E-04 1.757819545E+00 1.079010205E+01 1.024411656E+01 1.084647716E+00 6.785332115E+04 2.265669762E+05 5.785332115E+00 2.047824201E-04 2.688353234E-04 1.937948039E-01 9.693676628E+00 9.991842812E+00 2.782898196E+00 1.172864235E+03 3.054910760E+03 2.014532956E-01 6.221020807E+01 6.521080763E+01 1.112827418E-01 3.466224972E-03 9.227880841E-03 2.398259776E+00 4.735814481E-01 4.417677578E-01
330 6.112270834E-05 1.851010913E-04 3.074847222E+00 5.764896916E+00 3.647505752E+00 1.485836493E-01 1.427787257E+04 1.709349237E+04 4.277872567E-01 3.853168536E-04 4.459752128E-04 2.222274767E-02 6.790094904E+00 8.489197559E+00 1.699676287E+00 5.420058117E+02 2.640548944E+02 2.110528872E-01 1.067366673E+02 7.602612717E+01 3.342083409E-01 1.355443797E-03 7.793985039E-04 3.159648514E-01 4.049871740E-01 4.478288911E-01
340 5.195663336E-05 1.139561562E-04 2.463775558E+00 6.327409423E+00 3.873627426E+00 2.988589693E-01 1.017765563E+05 2.627622206E+05 9.177655631E+00 7.498648676E-04 1.082698056E-03 2.586164493E-01 6.147373525E+00 6.812814028E+00 1.488222618E+00 3.194768469E+03 1.099330514E+04 5.472805530E+00 9.818324506E+01 6.388839354E+01 9.092494509E-02 1.442258287E-03 1.684116030E-03 3.867868140E-01 4.344042044E-01 5.324273756E-01
350 2.145121833E-05 3.709721055E-05 4.300812217E-01 4.816617194E+00 1.675444109E+00 1.781142078E-02 1.042847495E+04 6.547157535E+03 4.284749463E-02 1.148850492E-03 1.229913637E-03 3.059308622E-01 6.321585802E+00 6.914197388E+00 1.603005918E+00 1.369833810E+03 3.797872526E+03 2.790740293E+00 7.888128838E+01 3.394008955E+01 2.111871162E-01 1.104295524E-03 1.549477593E-04 5.171002265E-02 2.346041003E-01 3.510973358E-01
