fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im rmsre 
00L1 28498 296.92 39.048 1.519979265E-05 6.266367003E+00 3.000000000E+06 5.822501714E-05 2.777297206E+00 2.550117057E+03 0.000000000E+00 2.977285631E-04 4.835911583E-01 2.816892794E-04 3.427129490E-01 4.668519582E-05 2.646929217E-01 1.763774334E-04 1.250955587E-02 
00L2 29294 298.02 38.904 5.504403586E-06 4.849662784E+00 1.131090197E+04 6.329005435E-05 3.231449415E+00 2.498450403E+03 0.000000000E+00 3.033172610E-04 4.823141418E-01 2.822065584E-04 3.446206563E-01 4.690708052E-05 2.627241743E-01 1.785433745E-04 5.509835197E-03 
00L3 29936 299.03 38.773 1.045126032E-05 5.641263595E+00 2.032157384E+04 6.285402248E-05 2.779422780E+00 2.275620651E+03 0.000000000E+00 2.995180646E-04 4.811580208E-01 2.820705980E-04 3.464966357E-01 4.702670727E-05 2.647497796E-01 1.776258797E-04 7.398852969E-03 
00L4 30508 300.03 38.643 1.210973530E-06 3.522536795E+00 6.489121643E+03 8.544631076E-05 4.620418598E+00 2.555174039E+03 0.000000000E+00 3.113939862E-04 4.786110516E-01 2.824865943E-04 3.483698660E-01 4.710002601E-05 2.639318686E-01 1.784533831E-04 7.127547796E-03 
00L5 31072 301.04 38.514 1.825351259E-05 6.472928825E+00 3.000000000E+06 7.250764077E-05 2.614976253E+00 2.034406027E+03 0.000000000E+00 2.968420673E-04 4.772377743E-01 2.823765340E-04 3.511827240E-01 4.732564679E-05 2.636729447E-01 1.794838886E-04 5.748405507E-03 
00L6 31630 302.04 38.386 1.059766822E-05 5.561265672E+00 1.932201203E+04 7.403624995E-05 2.796672908E+00 1.972182568E+03 0.000000000E+00 2.986368284E-04 4.759040802E-01 2.823353356E-04 3.524767733E-01 4.736037887E-05 2.645528388E-01 1.790198344E-04 6.978494497E-03 
00L7 32174 303.03 38.261 1.654880075E-06 3.657551693E+00 7.048542536E+03 9.876810842E-05 4.644213173E+00 2.212363752E+03 0.000000000E+00 3.087032672E-04 4.753591858E-01 2.829619293E-04 3.535959125E-01 4.756167429E-05 2.660622211E-01 1.787511300E-04 1.042594731E-02 
00L8 32706 304.02 38.136 3.318140988E-06 4.180904991E+00 8.421419041E+03 9.634114544E-05 3.968057061E+00 2.010471429E+03 0.000000000E+00 3.049372936E-04 4.732603790E-01 2.832062721E-04 3.565071850E-01 4.778276771E-05 2.660375374E-01 1.796195319E-04 6.593639646E-03 
00L9 33234 305.03 38.01 2.102870376E-05 6.672147604E+00 1.125446460E+05 9.516490872E-05 2.500000000E+00 1.713318486E+03 0.000000000E+00 2.962207010E-04 4.722063171E-01 2.829875383E-04 3.577649966E-01 4.780760101E-05 2.650404376E-01 1.803803951E-04 1.883190001E-02 
0L10 33860 306.04 37.885 5.442067843E-06 4.601333393E+00 1.096611998E+04 1.058845253E-04 3.731124965E+00 1.805976500E+03 0.000000000E+00 3.012455922E-04 4.704587936E-01 2.829635520E-04 3.597987939E-01 4.789738378E-05 2.667096499E-01 1.795843435E-04 3.980680098E-03 
0L11 34500 307.03 37.762 6.019647806E-06 4.690346769E+00 1.093600833E+04 1.082996343E-04 3.565119443E+00 1.710660566E+03 0.000000000E+00 3.007371194E-04 4.689932281E-01 2.831024270E-04 3.609830302E-01 4.792884359E-05 2.668243647E-01 1.796210058E-04 4.828375359E-03 
0L12 35132 308.02 37.641 1.659736960E-06 3.539784956E+00 6.944964280E+03 1.520859085E-04 5.672387572E+00 1.969320738E+03 0.000000000E+00 3.078281718E-04 4.672585892E-01 2.834912857E-04 3.615241682E-01 4.788884276E-05 2.642479103E-01 1.812241713E-04 8.911747706E-03 
0L13 35768 309.03 37.518 1.382419844E-05 5.727447850E+00 2.733174265E+04 1.133250803E-04 2.856726753E+00 1.472994478E+03 0.000000000E+00 2.965251398E-04 4.656628494E-01 2.833875251E-04 3.635744349E-01 4.797838857E-05 2.652921152E-01 1.808484889E-04 9.535495655E-03 
0L14 36414 310.02 37.398 1.632770494E-05 5.953005502E+00 5.295577892E+04 1.219677370E-04 2.816987645E+00 1.417819717E+03 0.000000000E+00 2.951727094E-04 4.643728619E-01 2.831436364E-04 3.642724368E-01 4.789607749E-05 2.670814305E-01 1.793279090E-04 5.880259585E-03 
0L15 37054 311.04 37.276 1.335633147E-05 5.518350692E+00 3.000000000E+06 1.798944650E-04 4.577545747E+00 1.676904464E+03 0.000000000E+00 2.958606315E-04 4.627387772E-01 2.830523408E-04 3.672788114E-01 4.810591944E-05 2.664607863E-01 1.805436381E-04 1.676695046E-02 
0L16 37696 312.02 37.159 1.618340308E-05 5.878910643E+00 4.083718773E+04 1.362078486E-04 2.858840821E+00 1.312649703E+03 0.000000000E+00 2.950958128E-04 4.613954304E-01 2.833987547E-04 3.679337193E-01 4.811060486E-05 2.650747785E-01 1.815158622E-04 6.878558685E-03 
0L17 38370 313.02 37.04 1.858572290E-05 6.045675460E+00 3.000000000E+06 1.632121357E-04 3.315677552E+00 1.347108536E+03 0.000000000E+00 2.947577244E-04 4.602761360E-01 2.833690841E-04 3.683781009E-01 4.804682893E-05 2.658763772E-01 1.807124862E-04 1.956791800E-02 
0L18 39016 314.03 36.921 5.716553982E-06 4.415150149E+00 1.096832849E+04 1.898877698E-04 4.778261846E+00 1.466947413E+03 0.000000000E+00 2.999901864E-04 4.582646988E-01 2.837080407E-04 3.697048392E-01 4.806657568E-05 2.635934712E-01 1.823466764E-04 3.802977192E-03 
0L19 39666 315.03 36.803 2.011272944E-05 6.117172216E+00 3.000000000E+06 1.619569032E-04 2.882537137E+00 1.177729684E+03 0.000000000E+00 2.938570075E-04 4.561535851E-01 2.835948501E-04 3.711235603E-01 4.800958572E-05 2.651119411E-01 1.810899948E-04 1.076426413E-02 
