name time T kT_1 I
01RV 01rv.dat 295.9 39.18 1.563E-006
02RV 02rv.dat 295.9 39.18 1.432E-006
03RV 03rv.dat 298 38.91 1.180E-006
04RV 04rv.dat 298 38.91 1.180E-006
05RV 05rv.dat 300.1 38.63 1.126E-006
06RV 06rv.dat 300 38.65 1.192E-006
07RV 07rv.dat 300 38.65 1.170E-006
08RV 08rv.dat 302.1 38.38 1.220E-006
09RV 09rv.dat 302 38.39 1.255E-006
10RV 10rv.dat 302 38.39 1.293E-006
11RV 11rv.dat 302 38.39 1.240E-006
12RV 12rv.dat 305.1 38 1.378E-006
13RV 13rv.dat 305 38.01 1.365E-006
14RV 14rv.dat 305 38.01 1.386E-006
15RV 15rv.dat 305 38.01 1.331E-006
16RV 16rv.dat 307 37.77 1.955E-006
17RV 17rv.dat 307 37.77 1.791E-006
18RV 18rv.dat 307 37.77 2.050E-006
19RV 19rv.dat 307 37.77 1.833E-006
20RV 20rv.dat 310.1 37.39 1.912E-006
21RV 21rv.dat 310 37.4 1.841E-006
22RV 22rv.dat 310 37.4 1.900E-006
23RV 23rv.dat 310 37.4 1.896E-006
24RV 24rv.dat 312.1 37.15 2.066E-006
25RV 25rv.dat 312.1 37.15 1.580E-006
26RV 26rv.dat 312 37.16 2.024E-006
27RV 27rv.dat 312.1 37.15 1.635E-006
28RV 28rv.dat 315.1 36.8 2.001E-006
29RV 29rv.dat 315 36.81 1.941E-006
30RV 30rv.dat 315 36.81 1.787E-006
31RV 31rv.dat 317.1 36.56 1.899E-006
32RV 32rv.dat 317 36.57 1.880E-006
33RV 33rv.dat 317 36.57 1.999E-006
34RV 34rv.dat 320 36.23 1.996E-006
35RV 35rv.dat 320 36.23 2.094E-006
36RV 36rv.dat 320 36.23 1.896E-006
37RV 37rv.dat 322 36.01 2.121E-006
38RV 38rv.dat 322.1 36 2.178E-006
39RV 39rv.dat 322 36.01 2.043E-006
40RV 40rv.dat 325 35.67 2.128E-006
41RV 41rv.dat 325.1 35.66 2.252E-006
42RV 42rv.dat 325.1 35.66 2.333E-006
43RV 43rv.dat 327 35.46 2.296E-006
44RV 44rv.dat 327 35.46 2.243E-006
45RV 45rv.dat 330.1 35.12 2.539E-006
46RV 46rv.dat 330 35.13 2.432E-006
47RV 47rv.dat 330 35.13 2.606E-006
