N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.000E+17 315 2.400E-4 1.253430864E+00 1.317459156E+00
1.468000E+10 1.000E+17 315 2.400E-4 1.268621685E+00 1.317590110E+00
2.154000E+10 1.000E+17 315 2.400E-4 1.280412178E+00 1.317780235E+00
3.162000E+10 1.000E+17 315 2.400E-4 1.289537636E+00 1.318054983E+00
4.642000E+10 1.000E+17 315 2.400E-4 1.296694328E+00 1.318449329E+00
6.813000E+10 1.000E+17 315 2.400E-4 1.302453524E+00 1.319009985E+00
1.000000E+11 1.000E+17 315 2.400E-4 1.307251237E+00 1.319796864E+00
1.468000E+11 1.000E+17 315 2.400E-4 1.311419420E+00 1.320882438E+00
2.154000E+11 1.000E+17 315 2.400E-4 1.315226049E+00 1.322347438E+00
3.162000E+11 1.000E+17 315 2.400E-4 1.318900901E+00 1.324271856E+00
4.642000E+11 1.000E+17 315 2.400E-4 1.322639446E+00 1.326721626E+00
6.813000E+11 1.000E+17 315 2.400E-4 1.326582238E+00 1.329725616E+00
1.000000E+12 1.000E+17 315 2.400E-4 1.330965491E+00 1.333417514E+00
1.468000E+12 1.000E+17 315 2.400E-4 1.335594692E+00 1.337535584E+00
2.154000E+12 1.000E+17 315 2.400E-4 1.340529093E+00 1.342087641E+00
3.162000E+12 1.000E+17 315 2.400E-4 1.345736587E+00 1.346998593E+00
4.642000E+12 1.000E+17 315 2.400E-4 1.351270563E+00 1.352285501E+00
6.813000E+12 1.000E+17 315 2.400E-4 1.357024856E+00 1.357834591E+00
1.000000E+13 1.000E+17 315 2.400E-4 1.362984794E+00 1.363639672E+00
