N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 -9.484351700E-02 -1.103136440E-01 -1.250157560E-01 -1.398939360E-01
1.016672606E+01 -9.533318000E-02 -1.104603520E-01 -1.247788410E-01 -1.392186000E-01
1.033324570E+01 -9.538019800E-02 -1.100642870E-01 -1.238641230E-01 -1.376982300E-01
1.049996187E+01 -9.496208700E-02 -1.090558350E-01 -1.221452380E-01 -1.351424690E-01
1.066670514E+01 -9.401149800E-02 -1.073026010E-01 -1.194164350E-01 -1.312680610E-01
1.083333839E+01 -9.240620800E-02 -1.046010090E-01 -1.153894140E-01 -1.257069020E-01
1.100000000E+01 -8.996238100E-02 -1.006762840E-01 -1.097089420E-01 -1.180478790E-01
1.116672606E+01 -8.643585500E-02 -9.520285700E-02 -1.020073280E-01 -1.079412170E-01
1.133324570E+01 -8.154237500E-02 -8.786476900E-02 -9.204570500E-02 -9.528794900E-02
1.149996187E+01 -7.501419300E-02 -7.847803900E-02 -7.981694600E-02 -8.048974000E-02
1.166670514E+01 -6.671104200E-02 -6.717558800E-02 -6.592142400E-02 -6.462205200E-02
1.183333839E+01 -5.678197100E-02 -5.458787100E-02 -5.151094600E-02 -4.929167500E-02
1.200000000E+01 -4.581351400E-02 -4.185178400E-02 -3.810501400E-02 -3.606768200E-02
1.216672606E+01 -3.482158700E-02 -3.032157400E-02 -2.698508600E-02 -2.580744700E-02
1.233324570E+01 -2.496292500E-02 -2.099088300E-02 -1.861255900E-02 -1.843954100E-02
1.249996187E+01 -1.706764900E-02 -1.414024900E-02 -1.275085400E-02 -1.332888000E-02
1.266670514E+01 -1.134526800E-02 -9.431791000E-03 -8.759141000E-03 -9.790780000E-03
1.283333839E+01 -7.496043000E-03 -6.311517000E-03 -6.066779000E-03 -7.341977000E-03
1.300000000E+01 -5.056860000E-03 -4.317060000E-03 -4.305394000E-03 -5.705554000E-03
