N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 -1.697527320E-01 -5.146216500E-02 2.304350000E-03 2.071390600E-02 3.067539700E-02 4.260982600E-02 5.642712700E-02 7.049071900E-02 8.006353600E-02
1.016672606E+01 -1.697764670E-01 -5.117908500E-02 2.398186000E-03 2.074259900E-02 3.067430100E-02 4.257660000E-02 5.633273800E-02 7.025800700E-02 7.950890200E-02
1.033324570E+01 -1.698110740E-01 -5.076698200E-02 2.534687000E-03 2.078430800E-02 3.064761200E-02 4.252841700E-02 5.619688700E-02 6.992757500E-02 7.876762900E-02
1.049996187E+01 -1.698613840E-01 -5.016931200E-02 2.732472000E-03 2.084470900E-02 3.064242000E-02 4.245895200E-02 5.600306500E-02 6.946510600E-02 7.775315800E-02
1.066670514E+01 -1.699342000E-01 -4.930729200E-02 3.017309000E-03 2.093155900E-02 3.063659600E-02 4.235961700E-02 5.572999600E-02 6.883094000E-02 7.644412400E-02
1.083333839E+01 -1.700388780E-01 -4.807399900E-02 3.423992000E-03 2.105532500E-02 3.061173800E-02 4.221919900E-02 5.535214200E-02 6.798534100E-02 7.480796600E-02
1.100000000E+01 -1.701879640E-01 -4.633001300E-02 3.997402000E-03 2.122936000E-02 3.060496400E-02 4.202403600E-02 5.484224900E-02 6.689944200E-02 7.284433300E-02
1.116672606E+01 -1.703973100E-01 -4.390492300E-02 4.791562000E-03 2.146945100E-02 3.059885200E-02 4.175911900E-02 5.417755300E-02 6.557165000E-02 7.066445200E-02
1.133324570E+01 -1.626510130E-01 -4.061259600E-02 5.863933000E-03 2.179185200E-02 3.057971900E-02 4.140179700E-02 5.335028800E-02 6.404553700E-02 6.840512800E-02
1.149996187E+01 -1.515648280E-01 -3.629083500E-02 7.261866000E-03 2.220896100E-02 3.057004600E-02 4.096540700E-02 5.238145500E-02 6.242004200E-02 6.623395700E-02
1.166670514E+01 -1.372406390E-01 -3.087491700E-02 8.999023000E-03 2.272198900E-02 3.055626800E-02 4.045828700E-02 5.133215700E-02 6.084227600E-02 6.436804600E-02
1.183333839E+01 -1.197405270E-01 -2.449599300E-02 1.102596900E-02 2.331256000E-02 3.050498800E-02 3.990837000E-02 5.030430200E-02 5.948084900E-02 6.298058700E-02
1.200000000E+01 -9.992828500E-02 -1.755730800E-02 1.321063600E-02 2.393799100E-02 3.047413800E-02 3.936900800E-02 4.942420400E-02 5.848810900E-02 6.213258300E-02
1.216672606E+01 -7.959053800E-02 -1.070140700E-02 1.535289400E-02 2.453728100E-02 3.040936100E-02 3.892563300E-02 4.881177100E-02 5.796423600E-02 6.192573500E-02
1.233324570E+01 -6.099110300E-02 -4.615433000E-03 1.724330500E-02 2.504937500E-02 3.035125200E-02 3.863181500E-02 4.854621600E-02 5.793356600E-02 6.224813400E-02
1.249996187E+01 -4.590827000E-02 2.379830000E-04 1.873677200E-02 2.543391200E-02 3.034901300E-02 3.855766100E-02 4.864195200E-02 5.834051700E-02 6.301792000E-02
1.266670514E+01 -3.487769700E-02 3.761363000E-03 1.978876900E-02 2.567990200E-02 3.037732400E-02 3.868792800E-02 4.904583200E-02 5.906833500E-02 6.408305100E-02
1.283333839E+01 -2.731848700E-02 6.136981000E-03 2.043507800E-02 2.579881600E-02 3.045831100E-02 3.899113800E-02 4.965852000E-02 5.997479500E-02 6.524348800E-02
1.300000000E+01 -2.225577300E-02 7.636373000E-03 2.074719800E-02 2.581152900E-02 3.057592600E-02 3.939945100E-02 5.036960700E-02 6.092437600E-02 6.637871700E-02
