N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 -9.139861200E-02 -9.155900500E-02 -9.179347500E-02 -9.213563600E-02 -9.263357800E-02 -9.335534800E-02 -9.439552600E-02 -9.588205500E-02 -9.798083400E-02 -1.008928530E-01 -1.048343580E-01 -1.099868230E-01 -1.164059410E-01 -1.238987550E-01 -1.319230100E-01 -1.396139730E-01 -1.355071200E-01 -1.146811580E-01 -9.983270100E-02
1.600000000E+01 2.561377500E-02 2.563861700E-02 2.567465400E-02 2.572667200E-02 2.577234600E-02 2.588597800E-02 2.603246800E-02 2.625777700E-02 2.652147700E-02 2.688634000E-02 2.728731700E-02 2.771745000E-02 2.815407400E-02 2.853222700E-02 2.883482000E-02 2.906415800E-02 2.924542600E-02 2.940622800E-02 2.956061200E-02
1.700000000E+01 8.696399800E-02 8.629549800E-02 8.532776700E-02 8.403474500E-02 8.235251500E-02 8.019554100E-02 7.759554600E-02 7.460299100E-02 7.142637400E-02 6.826235700E-02 6.542556400E-02 6.310856300E-02 6.146129500E-02 6.052743700E-02 6.026736500E-02 6.057742800E-02 6.131578800E-02 6.231246400E-02 6.338377900E-02
1.549996187E+01 -5.738414600E-02 -5.704641000E-02 -5.655482200E-02 -5.584208300E-02 -5.481458500E-02 -5.334552500E-02 -5.127014200E-02 -4.838836100E-02 -4.448398500E-02 -3.937381700E-02 -3.299615300E-02 -2.552657600E-02 -1.746034500E-02 -9.559105000E-03 -2.606943000E-03 2.904122000E-03 6.918190000E-03 9.693188000E-03 1.156990600E-02
1.649996187E+01 5.810959500E-02 5.799658600E-02 5.783362500E-02 5.760045200E-02 5.727068800E-02 5.681185600E-02 5.618797400E-02 5.536622200E-02 5.432929300E-02 5.309255700E-02 5.171972600E-02 5.032581600E-02 4.905794700E-02 4.805693900E-02 4.741744000E-02 4.716570100E-02 4.726249100E-02 4.762611200E-02 4.816288300E-02
1.674996808E+01 7.442228100E-02 7.410043000E-02 7.369517100E-02 7.313401500E-02 7.235928100E-02 7.129698700E-02 6.989883800E-02 6.817950100E-02 6.614294500E-02 6.394324600E-02 6.171433900E-02 5.969214000E-02 5.806821000E-02 5.696687400E-02 5.642441400E-02 5.639544200E-02 5.677824900E-02 5.744779200E-02 5.828901900E-02
1.624993176E+01 4.209579200E-02 4.206427200E-02 4.201852300E-02 4.195244000E-02 4.185766400E-02 4.172319900E-02 4.153521700E-02 4.127805800E-02 4.093654600E-02 4.050118000E-02 3.997586400E-02 3.938610000E-02 3.878296200E-02 3.823716600E-02 3.782159500E-02 3.758882300E-02 3.755477300E-02 3.769684800E-02 3.796720400E-02
1.574996808E+01 2.320245000E-03 2.433598000E-03 2.598438000E-03 2.837031000E-03 3.180264000E-03 3.669428000E-03 4.357361000E-03 5.306611000E-03 6.581616000E-03 8.231296000E-03 1.026017500E-02 1.259462200E-02 1.506552400E-02 1.743585800E-02 1.947935200E-02 2.106677600E-02 2.219486900E-02 2.294434700E-02 2.341543200E-02
1.524993176E+01 -1.784287790E-01 -1.784682200E-01 -1.785257570E-01 -1.786094980E-01 -1.787308570E-01 -1.789057250E-01 -1.791555710E-01 -1.795081190E-01 -1.799967890E-01 -1.680570450E-01 -1.520531900E-01 -1.325030430E-01 -1.103843960E-01 -8.770520100E-02 -6.697882000E-02 -5.012994300E-02 -3.767817000E-02 -2.892990200E-02 -2.279266000E-02
