fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
UDT0 8:27 298.6 38.83 1.248E+000 1.780E-005 4.333E-010 3.184 1.111 2.187E+003 
UDT1 8:34 298.7 38.82 1.248E+000 1.938E-005 5.436E-010 3.261 1.115 2.187E+003 
UDT2 8:37 298.7 38.82 1.248E+000 1.875E-005 3.439E-010 3.221 1.086 2.187E+003 
UDT3 8:39 298.8 38.8 1.248E+000 1.923E-005 4.111E-010 3.238 1.096 2.187E+003 
UDT4 8:42 298.9 38.79 1.248E+000 1.979E-005 5.249E-010 3.26 1.111 2.187E+003 
UDT5 8:44 298.8 38.8 1.248E+000 1.869E-005 2.723E-010 3.204 1.071 2.187E+003 
UDT6 8:47 298.8 38.8 1.248E+000 2.003E-005 6.410E-010 3.276 1.125 2.187E+003 
UDT7 8:50 298.8 38.8 1.248E+000 1.992E-005 5.674E-010 3.269 1.116 2.187E+003 
UDT8 8:53 298.5 38.84 1.248E+000 1.985E-005 5.714E-010 3.278 1.12 2.187E+003 
UDT9 8:56 298.6 38.83 1.248E+000 1.946E-005 4.105E-010 3.253 1.097 2.187E+003 
