fname time Tem kT_1 Nfe tau_r Wph Em rmsre 
W65S03 1385668992 0 555 6.422468357E+18 6.822662975E-07 3.900000000E-04 6.660435136E-01 1.020979636E-03 
W65S05 1385668992 0 555 8.425348093E+18 7.459541729E-07 3.900000000E-04 6.647769819E-01 1.170460837E-03 
W65S10 1385668992 0 555 1.514355909E+19 1.044883505E-06 3.900000000E-04 6.667039366E-01 1.159757902E-03 
W65S20 1385668992 0 555 2.247321422E+19 1.689407096E-06 3.900000000E-04 6.684543534E-01 1.380570089E-03 
W65S25 1385668992 0 555 2.499552660E+19 1.997420094E-06 3.900000000E-04 6.692638360E-01 1.574464951E-03 
W65S30 1385668992 0 555 2.625495142E+19 2.574360038E-06 3.900000000E-04 6.694757101E-01 1.696103552E-03 
W75S01 1385668992 0 555 6.767972998E+18 7.092690322E-07 3.900000000E-04 6.665090588E-01 1.103455430E-03 
W75S03 1385668992 0 555 1.677179039E+19 1.153378296E-06 3.900000000E-04 6.680558751E-01 1.166104825E-03 
W75S05 1385668992 0 555 2.345132083E+19 1.621707775E-06 3.900000000E-04 6.692735162E-01 1.479148446E-03 
W75S07 1385672205 0 555 2.563076825E+19 2.315341140E-06 3.900000000E-04 6.702686501E-01 1.631765687E-03 
W75S10 1385668992 0 555 2.983559392E+19 3.819733103E-06 3.900000000E-04 6.711690062E-01 1.984812987E-03 
W75S20 1385668992 0 555 3.120660120E+19 7.393524311E-06 3.900000000E-04 6.722718230E-01 2.568236932E-03 
