fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
00T1 7:7 297.3 39 3.54E+00 3.87E-11 4.10E-06 1 2.772 6.80E+02 
00T2 7:23 300.6 38.57 3.55E+00 7.03E-11 6.01E-06 1 2.869 7.26E+02 
00T3 7:44 303.8 38.16 3.56E+00 1.14E-10 5.82E-06 1 2.749 7.30E+02 
00T4 8:6 307.2 37.74 3.57E+00 1.99E-10 6.87E-06 1 2.736 7.53E+02 
00T5 8:26 310.1 37.39 3.57E+00 3.48E-10 7.43E-06 1 2.713 7.42E+02 
00T6 8:42 313.5 36.98 3.58E+00 6.23E-10 1.07E-05 1 2.812 7.93E+02 
00T7 9:1 315.4 36.76 3.59E+00 9.15E-10 1.64E-05 1 3.029 8.71E+02 
00T8 9:20 318.8 36.37 3.60E+00 1.38E-09 1.11E-05 1 2.684 7.74E+02 
00T9 9:39 320.7 36.15 3.60E+00 1.71E-09 1.09E-05 1 2.602 7.65E+02 
0T10 9:58 323.5 35.84 3.61E+00 2.13E-09 1.09E-05 1 2.497 7.72E+02 
0T11 10:18 325.9 35.58 3.61E+00 2.74E-09 1.17E-05 1 2.45 7.77E+02 
0T12 10:40 328.2 35.33 3.62E+00 2.60E-09 1.08E-05 1 2.313 7.81E+02 
0T13 11:3 330.5 35.08 3.63E+00 4.22E-09 1.27E-05 1 2.343 7.76E+02 
0T14 11:23 333.5 34.77 3.63E+00 1.11E-08 2.29E-05 1 2.661 8.29E+02 
0T15 11:54 336 34.51 3.64E+00 1.97E-08 3.85E-05 1 3.02 9.29E+02 
