N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe
1.000000E+10 3.162E+16 295 3.800E-4 2.818982E-1 2.796850E+1 4.937950E-1 8.036970E+1
1.468000E+10 3.162E+16 295 3.800E-4 2.808805E-1 2.785360E+1 4.935820E-1 8.036390E+1
2.154000E+10 3.162E+16 295 3.800E-4 2.794254E-1 2.768940E+1 4.932780E-1 8.035570E+1
3.162000E+10 3.162E+16 295 3.800E-4 2.773684E-1 2.745760E+1 4.928480E-1 8.034390E+1
4.642000E+10 3.162E+16 295 3.800E-4 2.745062E-1 2.713560E+1 4.922500E-1 8.032720E+1
6.813000E+10 3.162E+16 295 3.800E-4 2.706074E-1 2.669810E+1 4.914340E-1 8.030390E+1
1.000000E+11 3.162E+16 295 3.800E-4 2.654423E-1 2.612040E+1 4.903510E-1 8.027180E+1
1.468000E+11 3.162E+16 295 3.800E-4 2.588323E-1 2.538360E+1 4.888890E-1 8.023900E+1
2.154000E+11 3.162E+16 295 3.800E-4 2.507065E-1 2.446750E+1 4.870610E-1 8.014980E+1
3.162000E+11 3.162E+16 295 3.800E-4 2.411353E-1 2.341150E+1 4.848930E-1 8.009090E+1
4.642000E+11 3.162E+16 295 3.800E-4 2.303093E-1 2.222550E+1 4.823980E-1 8.001960E+1
6.813000E+11 3.162E+16 295 3.800E-4 2.184635E-1 2.093620E+1 4.795510E-1 7.993670E+1
1.000000E+12 3.162E+16 295 3.800E-4 2.057985E-1 1.955370E+1 4.762280E-1 7.980560E+1
1.468000E+12 3.162E+16 295 3.800E-4 1.924566E-1 1.812140E+1 4.725990E-1 7.969430E+1
2.154000E+12 3.162E+16 295 3.800E-4 1.785602E-1 1.664290E+1 4.685270E-1 7.957380E+1
3.162000E+12 3.162E+16 295 3.800E-4 1.642646E-1 1.512480E+1 4.639560E-1 7.938340E+1
4.642000E+12 3.162E+16 295 3.800E-4 1.497800E-1 1.361450E+1 4.589820E-1 7.921620E+1
6.813000E+12 3.162E+16 295 3.800E-4 1.353548E-1 1.211830E+1 4.534480E-1 7.897740E+1
1.000000E+13 3.162E+16 295 3.800E-4 1.212452E-1 1.068260E+1 4.474740E-1 7.875970E+1
1.468000E+13 3.162E+16 295 3.800E-4 1.076888E-1 9.314000E+0 4.410680E-1 7.843730E+1
2.154000E+13 3.162E+16 295 3.800E-4 9.488597E-2 8.041200E+0 4.341040E-1 7.808870E+1
3.162000E+13 3.162E+16 295 3.800E-4 8.298981E-2 6.881600E+0 4.267360E-1 7.772550E+1
4.642000E+13 3.162E+16 295 3.800E-4 7.210164E-2 5.831600E+0 4.189520E-1 7.722190E+1
6.813000E+13 3.162E+16 295 3.800E-4 6.227275E-2 4.899000E+0 4.106760E-1 7.662500E+1
1.000000E+14 3.162E+16 295 3.800E-4 5.351000E-2 4.080900E+0 4.018550E-1 7.591290E+1
