Ew Nt
4.4297153E-1 7.9398711E+15
4.4027637E-1 7.7419504E+15
4.3758120E-1 7.5067800E+15
4.3488602E-1 7.2246085E+15
4.3219084E-1 6.9090907E+15
4.2949566E-1 6.5836598E+15
4.2680049E-1 6.2650544E+15
4.2410532E-1 5.9571835E+15
4.2141014E-1 5.6554674E+15
4.1871497E-1 5.3546745E+15
4.1601979E-1 5.0544886E+15
4.1332462E-1 4.7612503E+15
4.1062945E-1 4.4864527E+15
4.0793427E-1 4.2431674E+15
4.0523910E-1 4.0406720E+15
4.0254392E-1 3.8796573E+15
3.9984875E-1 3.7515563E+15
3.9715358E-1 3.6430464E+15
3.9445840E-1 3.5425491E+15
3.9176323E-1 3.4441545E+15
3.8906805E-1 3.3475582E+15
3.8637288E-1 3.2560921E+15
3.8367771E-1 3.1751390E+15
3.8098253E-1 3.1107728E+15
3.7828736E-1 3.0675062E+15
3.7559218E-1 3.0457197E+15
3.7289701E-1 3.0409363E+15
3.7020184E-1 3.0460070E+15
3.6750666E-1 3.0548507E+15
3.6481149E-1 3.0652129E+15
3.6211631E-1 3.0789496E+15
3.5942114E-1 3.1001684E+15
3.5672596E-1 3.1326852E+15
3.5403079E-1 3.1782206E+15
3.5133562E-1 3.2358871E+15
3.4864044E-1 3.3027364E+15
3.4594527E-1 3.3749229E+15
3.4325009E-1 3.4489554E+15
3.4055492E-1 3.5223491E+15
3.3785975E-1 3.5932833E+15
3.3516457E-1 3.6596988E+15
3.3246940E-1 3.7188344E+15
3.2977422E-1 3.7677604E+15
3.2707905E-1 3.8044221E+15
3.2438387E-1 3.8282380E+15
3.2168870E-1 3.8397955E+15
3.1899353E-1 3.8400767E+15
3.1629835E-1 3.8298582E+15
3.1360318E-1 3.8094936E+15
3.1090800E-1 3.7789865E+15
3.0821283E-1 3.7382025E+15
3.0551765E-1 3.6872114E+15
3.0282248E-1 3.6265211E+15
3.0012731E-1 3.5569555E+15
2.9743213E-1 3.4791908E+15
2.9473696E-1 3.3932496E+15
2.9204178E-1 3.2979593E+15
2.8934661E-1 3.1896420E+15
2.8665144E-1 3.0590902E+15
2.8395626E-1 2.8871130E+15
2.8126109E-1 2.6415931E+15
2.7856591E-1 2.2814068E+15
2.7587074E-1 1.7712622E+15
2.7317557E-1 1.1041896E+15
2.7048039E-1 7.2447333E+14
