f G/w
1.0000000E+6 1.2184690E-5
8.9779585E+5 1.2828064E-5
8.0603739E+5 1.3468570E-5
7.2365703E+5 1.4049764E-5
6.4969628E+5 1.4745144E-5
5.8329463E+5 1.5439345E-5
5.2367949E+5 1.6126955E-5
4.7015728E+5 1.6841310E-5
4.2210526E+5 1.7594477E-5
3.7896435E+5 1.8335422E-5
3.4023262E+5 1.9062552E-5
3.0545943E+5 1.9848259E-5
2.7424021E+5 2.0639482E-5
2.4621173E+5 2.1400774E-5
2.2104787E+5 2.2129554E-5
1.9845586E+5 2.2891438E-5
1.7817285E+5 2.3624027E-5
1.5996284E+5 2.4313846E-5
1.4361398E+5 2.4979574E-5
1.2893603E+5 2.5561856E-5
1.1575824E+5 2.6085529E-5
1.0392726E+5 2.6631271E-5
9.3305466E+4 2.7023711E-5
8.3769261E+4 2.7295652E-5
7.5207695E+4 2.7560615E-5
6.7521156E+4 2.7648612E-5
6.0620214E+4 2.7677425E-5
5.4424577E+4 2.7645948E-5
4.8862159E+4 2.7343083E-5
4.3868244E+4 2.7014976E-5
3.9384728E+4 2.6659684E-5
3.5359445E+4 2.6299957E-5
3.1745563E+4 2.5877181E-5
2.8501035E+4 2.5386693E-5
2.5588111E+4 2.4995080E-5
2.2972900E+4 2.4328996E-5
2.0624974E+4 2.3794228E-5
1.8517016E+4 2.3408027E-5
1.6624501E+4 2.3146084E-5
1.4925408E+4 2.2989912E-5
1.3399969E+4 2.2843459E-5
1.2030437E+4 2.2940234E-5
1.0800876E+4 2.4033394E-5
9.6969820E+3 2.4517052E-5
8.7059100E+3 2.5069692E-5
7.8161300E+3 2.5668534E-5
7.0172890E+3 2.6803852E-5
6.3000930E+3 2.8941857E-5
5.6561970E+3 3.0435916E-5
5.0781110E+3 3.1848889E-5
4.5591070E+3 3.3869174E-5
4.0931470E+3 3.6503615E-5
3.6748100E+3 3.9593156E-5
3.2992300E+3 4.2832320E-5
2.9620350E+3 4.6348897E-5
2.6593020E+3 5.0854773E-5
2.3875110E+3 5.6188047E-5
2.1434970E+3 6.2345364E-5
1.9244230E+3 6.9654955E-5
1.7277390E+3 7.5936114E-5
1.5511570E+3 8.3250165E-5
1.3926220E+3 1.0108758E-4
1.2502900E+3 1.0958862E-4
1.1225050E+3 1.2139297E-4
1.0077810E+3 1.3704092E-4
9.0478100E+2 1.5230271E-4
8.1230900E+2 1.6028173E-4
7.2928800E+2 1.7682282E-4
6.5475100E+2 1.9688107E-4
5.8783300E+2 2.2688369E-4
5.2775400E+2 2.4614572E-4
4.7381500E+2 2.7990856E-4
4.2539000E+2 3.0989675E-4
3.8191300E+2 3.3942731E-4
3.4288000E+2 3.7423320E-4
3.0783600E+2 4.1186909E-4
2.7637400E+2 4.6474467E-4
2.4812700E+2 5.1027096E-4
2.2276800E+2 5.6892491E-4
2.0000000E+2 6.3032254E-4
