f G/w
1.0000000E+6 1.5050953E-5
9.0826967E+5 1.5426195E-5
8.2495379E+5 1.5778280E-5
7.4928050E+5 1.6161182E-5
6.8054875E+5 1.6497820E-5
6.1812179E+5 1.6849688E-5
5.6142127E+5 1.7247274E-5
5.0992191E+5 1.7631185E-5
4.6314660E+5 1.7989923E-5
4.2066201E+5 1.8395870E-5
3.8207454E+5 1.8748341E-5
3.4702672E+5 1.9135846E-5
3.1519384E+5 1.9494613E-5
2.8628100E+5 1.9857743E-5
2.6002035E+5 2.0174486E-5
2.3616860E+5 2.0524189E-5
2.1450477E+5 2.0839755E-5
1.9482818E+5 2.1156528E-5
1.7695653E+5 2.1401934E-5
1.6072424E+5 2.1639835E-5
1.4598096E+5 2.1857551E-5
1.3259007E+5 2.1976093E-5
1.2042754E+5 2.2089007E-5
1.0938068E+5 2.2133588E-5
9.9347157E+4 2.2196275E-5
9.0234009E+4 2.2090791E-5
8.1956814E+4 2.1920984E-5
7.4438888E+4 2.1657356E-5
6.7610584E+4 2.1451930E-5
6.1408642E+4 2.1033228E-5
5.5775607E+4 2.0488195E-5
5.0659292E+4 1.9984717E-5
4.6012298E+4 1.9431782E-5
4.1791575E+4 1.8835287E-5
3.7958020E+4 1.8073701E-5
3.4476118E+4 1.7441781E-5
3.1313612E+4 1.7007427E-5
2.8441204E+4 1.5958163E-5
2.5832283E+4 1.5474674E-5
2.3462679E+4 1.4606991E-5
2.1310440E+4 1.4102739E-5
1.9355626E+4 1.3066445E-5
1.7580128E+4 1.2655573E-5
1.5967497E+4 1.2680925E-5
1.4502793E+4 1.2347507E-5
1.3172447E+4 1.2190813E-5
1.1964134E+4 1.0834700E-5
1.0866660E+4 1.1211339E-5
9.8698580E+3 1.1027262E-5
8.9644920E+3 1.1080226E-5
8.1421760E+3 1.1145097E-5
7.3952920E+3 1.1311804E-5
6.7169190E+3 1.1436528E-5
6.1007740E+3 1.1976748E-5
5.5411480E+3 1.1825138E-5
5.0328570E+3 1.2731343E-5
4.5711910E+3 1.3388235E-5
4.1518740E+3 1.4378921E-5
3.7710210E+3 1.4789216E-5
3.4251040E+3 1.5941576E-5
3.1109180E+3 1.6201349E-5
2.8255530E+3 1.8267699E-5
2.5663640E+3 1.9641085E-5
2.3309500E+3 2.0983941E-5
2.1171320E+3 2.3685660E-5
1.9229260E+3 2.3516700E-5
1.7465360E+3 2.7568384E-5
1.5863250E+3 2.8796603E-5
1.4408110E+3 3.0686567E-5
1.3086450E+3 3.4365265E-5
1.1886030E+3 3.8489923E-5
1.0795720E+3 3.9074065E-5
9.8054200E+2 4.5838329E-5
8.9059700E+2 4.9739248E-5
8.0890200E+2 5.2422769E-5
7.3470100E+2 5.9227649E-5
6.6730700E+2 6.6559305E-5
6.0609500E+2 7.0809083E-5
5.5049700E+2 8.2648213E-5
5.0000000E+2 9.1817087E-5
