Ew Nt
4.4699104E-1 -4.4059952E+15
4.4427143E-1 -3.7966688E+15
4.4155180E-1 -3.3305641E+15
4.3883216E-1 -2.9685777E+15
4.3611252E-1 -2.6623389E+15
4.3339290E-1 -2.3703338E+15
4.3067327E-1 -2.0717361E+15
4.2795364E-1 -1.7704869E+15
4.2523400E-1 -1.4848246E+15
4.2251438E-1 -1.2301934E+15
4.1979474E-1 -1.0093915E+15
4.1707511E-1 -8.1466862E+14
4.1435549E-1 -6.3476894E+14
4.1163586E-1 -4.5986921E+14
4.0891622E-1 -2.8405100E+14
4.0619659E-1 -1.0743867E+14
4.0347697E-1 6.3121619E+13
4.0075734E-1 2.1725726E+14
3.9803771E-1 3.4699897E+14
3.9531808E-1 4.5108217E+14
3.9259845E-1 5.3462333E+14
3.8987882E-1 6.0526329E+14
3.8715919E-1 6.6911518E+14
3.8443956E-1 7.2884306E+14
3.8171993E-1 7.8401725E+14
3.7900030E-1 8.3266418E+14
3.7628067E-1 8.7285177E+14
3.7356104E-1 9.0360289E+14
3.7084141E-1 9.2506946E+14
3.6812178E-1 9.3834154E+14
3.6540215E-1 9.4519436E+14
3.6268252E-1 9.4767562E+14
3.5996289E-1 9.4741410E+14
3.5724326E-1 9.4505444E+14
3.5452362E-1 9.4044658E+14
3.5180400E-1 9.3355206E+14
3.4908437E-1 9.2521033E+14
3.4636473E-1 9.1705621E+14
3.4364511E-1 9.1087098E+14
3.4092548E-1 9.0821599E+14
3.3820584E-1 9.1067191E+14
3.3548621E-1 9.2017363E+14
3.3276658E-1 9.3884156E+14
3.3004696E-1 9.6834874E+14
3.2732732E-1 1.0093946E+15
3.2460769E-1 1.0617113E+15
3.2188806E-1 1.1245015E+15
3.1916843E-1 1.1968403E+15
3.1644880E-1 1.2776915E+15
3.1372917E-1 1.3655914E+15
3.1100954E-1 1.4583214E+15
3.0828991E-1 1.5528616E+15
3.0557028E-1 1.6456331E+15
3.0285065E-1 1.7328483E+15
3.0013102E-1 1.8107536E+15
2.9741139E-1 1.8756262E+15
2.9469176E-1 1.9234149E+15
2.9197213E-1 1.9487926E+15
2.8925250E-1 1.9432794E+15
2.8653287E-1 1.8924968E+15
2.8381324E-1 1.7741126E+15
2.8109361E-1 1.5600859E+15
2.7837398E-1 1.2267087E+15
2.7565435E-1 7.7091464E+14
2.7293472E-1 5.0792243E+14
