N_Fe N_B T n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+10 1.000e+16 290 1.233587123E+00 1.242451138E+00 1.201304372E+00 1.212953907E+00
1.468000E+10 1.000e+16 290 1.236967099E+00 1.242463506E+00 1.204649964E+00 1.212809389E+00
2.154000E+10 1.000e+16 290 1.238702343E+00 1.242481459E+00 1.206899263E+00 1.212603859E+00
3.162000E+10 1.000e+16 290 1.239916056E+00 1.242507540E+00 1.208321754E+00 1.212315779E+00
4.642000E+10 1.000e+16 290 1.240771717E+00 1.242545413E+00 1.209541486E+00 1.211959571E+00
6.813000E+10 1.000e+16 290 1.241387848E+00 1.242600150E+00 1.210694291E+00 1.212353067E+00
1.000000E+11 1.000e+16 290 1.241851024E+00 1.242678799E+00 1.211761303E+00 1.212899443E+00
1.468000E+11 1.000e+16 290 1.242225939E+00 1.242790878E+00 1.212863763E+00 1.213623566E+00
2.154000E+11 1.000e+16 290 1.242562882E+00 1.243936649E+00 1.213987875E+00 1.214567022E+00
3.162000E+11 1.000e+16 290 1.244461863E+00 1.245609703E+00 1.215363516E+00 1.215758916E+00
4.642000E+11 1.000e+16 290 1.245799781E+00 1.245967498E+00 1.216956524E+00 1.217228445E+00
6.813000E+11 1.000e+16 290 1.246739780E+00 1.248057987E+00 1.218750647E+00 1.218938375E+00
1.000000E+12 1.000e+16 290 1.252890936E+00 1.253739972E+00 1.220925972E+00 1.221006064E+00
1.468000E+12 1.000e+16 290 1.258027644E+00 1.258872169E+00 1.222858013E+00 1.222913429E+00
2.154000E+12 1.000e+16 290 1.266968497E+00 1.267010407E+00 1.224613192E+00 1.224651507E+00
3.162000E+12 1.000e+16 290 1.267884726E+00 1.267913355E+00 1.228815197E+00 1.229022321E+00
4.642000E+12 1.000e+16 290 1.268698980E+00 1.268718427E+00 1.239510255E+00 1.239530104E+00
6.813000E+12 1.000e+16 290 1.276376914E+00 1.276808036E+00 1.248662412E+00 1.248675059E+00
1.000000E+13 1.000e+16 290 1.282432046E+00 1.282442123E+00 1.249729095E+00 1.249737781E+00
1.000000E+10 1.000e+16 295 1.227644387E+00 1.247746783E+00 1.205533866E+00 1.214405924E+00
1.468000E+10 1.000e+16 295 1.233903285E+00 1.247763506E+00 1.208366920E+00 1.214505187E+00
2.154000E+10 1.000e+16 295 1.239617951E+00 1.247787878E+00 1.210419705E+00 1.214649148E+00
3.162000E+10 1.000e+16 295 1.244064643E+00 1.247823353E+00 1.211950208E+00 1.214856903E+00
4.642000E+10 1.000e+16 295 1.245589759E+00 1.247874882E+00 1.213159657E+00 1.215154503E+00
6.813000E+10 1.000e+16 295 1.246385010E+00 1.247949378E+00 1.214207948E+00 1.215576429E+00
1.000000E+11 1.000e+16 295 1.246987230E+00 1.248056406E+00 1.215226378E+00 1.216165572E+00
1.468000E+11 1.000e+16 295 1.247478944E+00 1.248208715E+00 1.216268981E+00 1.216912523E+00
2.154000E+11 1.000e+16 295 1.247924981E+00 1.248422594E+00 1.217501037E+00 1.217944142E+00
3.162000E+11 1.000e+16 295 1.248378571E+00 1.248717352E+00 1.218850324E+00 1.219280101E+00
4.642000E+11 1.000e+16 295 1.248882645E+00 1.249113388E+00 1.220731212E+00 1.220942448E+00
6.813000E+11 1.000e+16 295 1.249470644E+00 1.249627826E+00 1.222891851E+00 1.223038327E+00
1.000000E+12 1.000e+16 295 1.250160690E+00 1.250267798E+00 1.225400760E+00 1.225502383E+00
1.468000E+12 1.000e+16 295 1.250949933E+00 1.251022998E+00 1.227630883E+00 1.227701414E+00
2.154000E+12 1.000e+16 295 1.255703290E+00 1.256243243E+00 1.229805370E+00 1.229854249E+00
3.162000E+12 1.000e+16 295 1.262278095E+00 1.262703416E+00 1.231691570E+00 1.231724612E+00
4.642000E+12 1.000e+16 295 1.272800010E+00 1.273053467E+00 1.233379277E+00 1.233402088E+00
6.813000E+12 1.000e+16 295 1.276065269E+00 1.276082434E+00 1.243567941E+00 1.243733641E+00
1.000000E+13 1.000e+16 295 1.276930536E+00 1.276942278E+00 1.254968791E+00 1.255110319E+00
1.000000E+10 1.000e+16 300 1.225924138E+00 1.245435168E+00 1.207172461E+00 1.216919418E+00
1.468000E+10 1.000e+16 300 1.231495515E+00 1.245529764E+00 1.210267538E+00 1.217024311E+00
2.154000E+10 1.000e+16 300 1.236423744E+00 1.245672254E+00 1.212514148E+00 1.217176535E+00
3.162000E+10 1.000e+16 300 1.238301227E+00 1.245881345E+00 1.214189263E+00 1.217396859E+00
4.642000E+10 1.000e+16 300 1.239599938E+00 1.246179091E+00 1.215509881E+00 1.217713138E+00
6.813000E+10 1.000e+16 300 1.241833389E+00 1.246622583E+00 1.216650519E+00 1.218163073E+00
1.000000E+11 1.000e+16 300 1.243798572E+00 1.247263613E+00 1.217685016E+00 1.218723863E+00
1.468000E+11 1.000e+16 300 1.245681147E+00 1.248189675E+00 1.218837783E+00 1.219551421E+00
2.154000E+11 1.000e+16 300 1.247689917E+00 1.249523945E+00 1.220183140E+00 1.220675053E+00
3.162000E+11 1.000e+16 300 1.250063169E+00 1.251421628E+00 1.221469854E+00 1.221701346E+00
4.642000E+11 1.000e+16 300 1.253070811E+00 1.253967071E+00 1.222452392E+00 1.222649862E+00
6.813000E+11 1.000e+16 300 1.254506412E+00 1.254665133E+00 1.224352627E+00 1.224529128E+00
1.000000E+12 1.000e+16 300 1.255436212E+00 1.255560151E+00 1.227137806E+00 1.227260187E+00
1.468000E+12 1.000e+16 300 1.256464931E+00 1.256549068E+00 1.229680004E+00 1.229765168E+00
2.154000E+12 1.000e+16 300 1.257544403E+00 1.257601622E+00 1.232024904E+00 1.232084079E+00
3.162000E+12 1.000e+16 300 1.258733332E+00 1.258772122E+00 1.234869393E+00 1.234980170E+00
4.642000E+12 1.000e+16 300 1.265444949E+00 1.265793999E+00 1.238680981E+00 1.238707540E+00
6.813000E+12 1.000e+16 300 1.272777105E+00 1.273095184E+00 1.240246092E+00 1.240266187E+00
1.000000E+13 1.000e+16 300 1.280748105E+00 1.280762428E+00 1.246615298E+00 1.246750648E+00
1.000000E+10 1.000e+16 305 1.213838449E+00 1.245876360E+00 1.204520570E+00 1.218729973E+00
1.468000E+10 1.000e+16 305 1.219887381E+00 1.245900915E+00 1.209687986E+00 1.218840110E+00
