fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
0DL0 7:20 297.4 38.99 1.147E+000 5.356E-006 1.947E-010 2.979 1.093 6.728E+002 1.817E-004 0.1105 1.813E-004 5.155E-006 0.2573 
0DL1 7:23 297.4 38.99 1.147E+000 6.309E-006 3.366E-010 3.107 1.126 6.728E+002 1.806E-004 0.1091 1.803E-004 5.050E-006 0.2569 
0DL2 7:26 297.5 38.97 1.147E+000 6.552E-006 3.786E-010 3.139 1.133 6.728E+002 1.834E-004 0.1104 1.831E-004 5.208E-006 0.2576 
0DL3 7:29 297.5 38.97 1.147E+000 6.306E-006 3.175E-010 3.104 1.121 6.728E+002 1.825E-004 0.1101 1.821E-004 5.162E-006 0.2574 
0DL4 7:31 297.5 38.97 1.147E+000 7.188E-006 4.499E-010 3.208 1.143 6.728E+002 1.820E-004 0.1091 1.817E-004 5.097E-006 0.2572 
0DL5 7:33 297.5 38.97 1.147E+000 6.259E-006 3.406E-010 3.1 1.126 6.728E+002 1.826E-004 0.1102 1.822E-004 5.170E-006 0.2574 
0DL6 7:36 297.6 38.96 1.147E+000 6.261E-006 3.464E-010 3.099 1.126 6.728E+002 1.828E-004 0.1103 1.824E-004 5.181E-006 0.2575 
0DL7 7:38 297.6 38.96 1.147E+000 6.417E-006 4.644E-010 3.126 1.146 6.728E+002 1.826E-004 0.1101 1.822E-004 5.164E-006 0.2574 
0DL8 7:42 297.6 38.96 1.147E+000 5.916E-006 2.837E-010 3.056 1.114 6.728E+002 1.829E-004 0.1107 1.826E-004 5.208E-006 0.2576 
0DL9 7:45 297.6 38.96 1.147E+000 6.183E-006 3.298E-010 3.084 1.124 6.728E+002 1.827E-004 0.1103 1.824E-004 5.180E-006 0.2575 
