DL0.DAT T=297.4 Voc=0.1105 Isc=0.0001813
DL1.DAT T=297.4 Voc=0.109 Isc=0.0001808
DL2.DAT T=297.5 Voc=0.1103 Isc=0.0001835
DL3.DAT T=297.5 Voc=0.11 Isc=0.0001827
DL4.DAT T=297.5 Voc=0.1091 Isc=0.0001817
DL5.DAT T=297.5 Voc=0.1102 Isc=0.0001822
DL6.DAT T=297.6 Voc=0.1103 Isc=0.0001824
DL7.DAT T=297.6 Voc=0.1101 Isc=0.0001822
DL8.DAT T=297.6 Voc=0.1107 Isc=0.0001826
DL9.DAT T=297.6 Voc=0.1103 Isc=0.0001824
DL3.DAT T=297.5 Voc=0.11 Isc=0.0001827
DL1.DAT T=297.4 Voc=0.109 Isc=0.0001808
DL9.DAT T=297.6 Voc=0.1103 Isc=0.0001824
DL3.DAT T=297.5 Voc=0.11 Isc=0.0001827
DL2.DAT T=297.5 Voc=0.1103 Isc=0.0001835
DL1.DAT T=297.4 Voc=0.109 Isc=0.0001808
