fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
00S1 9:20 309.1 37.51 1.000E+000 5.788E+000 5.175E-010 7.728E+002 2.709E+000 8.498E-006 1.511E-005 1.063E-002 1.498E-005 3.996E-008 2.508E-001 5.300E-003 7.398E-006 1.070E-003 
00S2 9:39 313.6 36.97 1.000E+000 6.840E+000 1.104E-009 7.953E+002 2.704E+000 1.067E-005 1.411E-005 9.985E-003 1.398E-005 3.503E-008 2.509E-001 5.000E-003 6.865E-006 3.860E-004 
00S3 10:15 316.8 36.6 1.000E+000 3.426E+000 1.652E-009 8.101E+002 2.722E+000 1.298E-005 1.591E-005 1.118E-002 1.584E-005 4.450E-008 2.512E-001 5.600E-003 7.804E-006 5.471E-004 
00S4 10:32 319.5 36.29 1.000E+000 3.807E+000 2.324E-009 8.216E+002 2.688E+000 1.407E-005 1.315E-005 9.261E-003 1.308E-005 3.041E-008 2.511E-001 4.600E-003 6.470E-006 6.069E-004 
00S5 10:50 322.2 35.98 1.000E+000 4.348E+000 3.395E-009 8.319E+002 2.675E+000 1.587E-005 1.413E-005 9.879E-003 1.405E-005 3.487E-008 2.513E-001 5.000E-003 6.831E-006 3.059E-003 
00S6 11:7 324.5 35.73 1.000E+000 4.960E+000 4.692E-009 8.396E+002 2.659E+000 1.758E-005 1.358E-005 9.407E-003 1.348E-005 3.187E-008 2.513E-001 4.700E-003 6.638E-006 6.875E-004 
00S7 11:31 327.5 35.4 1.000E+000 4.634E+000 6.820E-009 8.480E+002 2.651E+000 2.023E-005 1.259E-005 8.589E-003 1.251E-005 2.701E-008 2.514E-001 4.300E-003 6.135E-006 1.237E-002 
00S8 11:54 330.7 35.06 1.000E+000 5.828E+000 1.101E-008 8.547E+002 2.689E+000 2.500E-005 1.580E-005 1.040E-002 1.567E-005 4.105E-008 2.519E-001 5.200E-003 7.743E-006 5.582E-003 
00S9 12:15 334.4 34.67 1.000E+000 6.389E+000 1.683E-008 8.591E+002 2.609E+000 2.664E-005 1.220E-005 7.933E-003 1.208E-005 2.411E-008 2.516E-001 4.000E-003 5.875E-006 5.559E-004 
0S10 12:33 337.8 34.32 1.000E+000 6.639E+000 2.289E-008 8.595E+002 2.550E+000 2.913E-005 1.158E-005 7.347E-003 1.146E-005 2.119E-008 2.516E-001 3.700E-003 5.570E-006 3.633E-002 
0S11 12:59 341.5 33.95 1.000E+000 4.561E+000 4.115E-008 8.556E+002 2.576E+000 3.584E-005 1.259E-005 7.549E-003 1.249E-005 2.375E-008 2.519E-001 3.800E-003 6.086E-006 1.034E-003 
