T d154 d184 d214 d244
d 150 180 210 240
290 2.110640000E-04 1.738400000E-04 1.497020000E-04 1.332730000E-04
295 1.873060000E-04 1.576160000E-04 1.385750000E-04 1.255700000E-04
300 1.668450000E-04 1.435800000E-04 1.284640000E-04 1.180070000E-04
305 1.405420000E-04 1.221880000E-04 1.097920000E-04 1.011300000E-04
310 8.991900000E-05 7.487500000E-05 6.408700000E-05 5.632000000E-05
315 -1.584000000E-05 -2.712900000E-05 -3.593400000E-05 -4.247800000E-05
320 1.432800000E-04 1.095260000E-04 8.806100000E-05 7.307000000E-05
325 1.490170000E-04 1.161860000E-04 9.462900000E-05 7.929700000E-05
330 1.768690000E-04 1.406430000E-04 1.163590000E-04 9.851000000E-05
335 2.378270000E-04 1.922020000E-04 1.609270000E-04 1.374400000E-04
340 3.508440000E-04 2.868430000E-04 2.422250000E-04 2.082370000E-04
