d T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 290 1.264182612E+00 1.216890396E+00 4.729221600E-02 1.256349417E+00 1.214174599E+00 4.217481800E-02 7.833195000E-03 2.715797000E-03
150 295 1.264830610E+00 1.219703518E+00 4.512709200E-02 1.257904629E+00 1.216983285E+00 4.092134400E-02 6.925981000E-03 2.720233000E-03
150 300 1.266408796E+00 1.222861871E+00 4.354692500E-02 1.260194430E+00 1.220044189E+00 4.015024100E-02 6.214366000E-03 2.817682000E-03
150 305 1.268741924E+00 1.225712239E+00 4.302968500E-02 1.263012461E+00 1.222755060E+00 4.025740100E-02 5.729463000E-03 2.957179000E-03
150 310 1.271349378E+00 1.228989761E+00 4.235961700E-02 1.265856872E+00 1.225697529E+00 4.015934300E-02 5.492506000E-03 3.292232000E-03
150 315 1.273951025E+00 1.232060020E+00 4.189100500E-02 1.268443085E+00 1.228297611E+00 4.014547400E-02 5.507940000E-03 3.762409000E-03
150 320 1.275950379E+00 1.234092715E+00 4.185766400E-02 1.270189829E+00 1.229772208E+00 4.041762100E-02 5.760550000E-03 4.320507000E-03
150 325 1.276666800E+00 1.236148456E+00 4.051834400E-02 1.270441146E+00 1.231071832E+00 3.936931400E-02 6.225654000E-03 5.076624000E-03
150 330 1.275201395E+00 1.237621779E+00 3.757961600E-02 1.268349149E+00 1.231642218E+00 3.670693100E-02 6.852246000E-03 5.979561000E-03
150 335 1.269912790E+00 1.237513417E+00 3.239937300E-02 1.262397376E+00 1.230575086E+00 3.182229000E-02 7.515414000E-03 6.938331000E-03
150 340 1.258137294E+00 1.237244673E+00 2.089262100E-02 1.250107295E+00 1.229184337E+00 2.092295800E-02 8.029999000E-03 8.060336000E-03
180 290 1.260722319E+00 1.214208252E+00 4.651406700E-02 1.254089697E+00 1.211869944E+00 4.221975300E-02 6.632622000E-03 2.338308000E-03
180 295 1.261817461E+00 1.217154146E+00 4.466331500E-02 1.255926269E+00 1.214763436E+00 4.116283300E-02 5.891192000E-03 2.390710000E-03
180 300 1.263537165E+00 1.220183296E+00 4.335386900E-02 1.258192256E+00 1.217649115E+00 4.054314100E-02 5.344909000E-03 2.534181000E-03
180 305 1.265800025E+00 1.222757887E+00 4.304213800E-02 1.260777126E+00 1.220027282E+00 4.074984400E-02 5.022899000E-03 2.730605000E-03
180 310 1.268302960E+00 1.225565152E+00 4.273780800E-02 1.263371701E+00 1.222463504E+00 4.090819700E-02 4.931259000E-03 3.101648000E-03
180 315 1.270679527E+00 1.228165942E+00 4.251358500E-02 1.265603160E+00 1.224564514E+00 4.103864600E-02 5.076367000E-03 3.601428000E-03
180 320 1.272444631E+00 1.229711652E+00 4.273297900E-02 1.267005485E+00 1.225525240E+00 4.148024500E-02 5.439146000E-03 4.186412000E-03
180 325 1.272589831E+00 1.231194974E+00 4.139485700E-02 1.266602892E+00 1.226246727E+00 4.035616500E-02 5.986939000E-03 4.948247000E-03
180 330 1.270127278E+00 1.231978155E+00 3.814912300E-02 1.263465365E+00 1.226136531E+00 3.732883400E-02 6.661913000E-03 5.841624000E-03
180 335 1.263293428E+00 1.230992278E+00 3.230115000E-02 1.255960442E+00 1.224215416E+00 3.174502600E-02 7.332986000E-03 6.776862000E-03
180 340 1.249191916E+00 1.229812772E+00 1.937914400E-02 1.241420065E+00 1.221971621E+00 1.944844400E-02 7.771851000E-03 7.841151000E-03
210 290 1.257730303E+00 1.212129397E+00 4.560090600E-02 1.251944176E+00 1.210038364E+00 4.190581200E-02 5.786127000E-03 2.091033000E-03
210 295 1.259051749E+00 1.214994055E+00 4.405769400E-02 1.253883990E+00 1.212818132E+00 4.106585800E-02 5.167759000E-03 2.175923000E-03
210 300 1.261025643E+00 1.217955945E+00 4.306969800E-02 1.256275023E+00 1.215602662E+00 4.067236100E-02 4.750620000E-03 2.353283000E-03
210 305 1.263465578E+00 1.220330052E+00 4.313552600E-02 1.258914223E+00 1.217741143E+00 4.117308000E-02 4.551355000E-03 2.588909000E-03
210 310 1.266048677E+00 1.222977815E+00 4.307086200E-02 1.261475188E+00 1.219988968E+00 4.148622000E-02 4.573489000E-03 2.988847000E-03
210 315 1.268053647E+00 1.225059828E+00 4.299381900E-02 1.263239645E+00 1.221550903E+00 4.168874200E-02 4.814002000E-03 3.508925000E-03
210 320 1.269277423E+00 1.226052520E+00 4.322490300E-02 1.264020802E+00 1.221940846E+00 4.207995600E-02 5.256621000E-03 4.111674000E-03
210 325 1.268675974E+00 1.226817944E+00 4.185803000E-02 1.262814911E+00 1.221942204E+00 4.087270700E-02 5.861063000E-03 4.875740000E-03
210 330 1.265269237E+00 1.226938750E+00 3.833048700E-02 1.258706881E+00 1.221180365E+00 3.752651600E-02 6.562356000E-03 5.758385000E-03
210 335 1.257037517E+00 1.225141488E+00 3.189602900E-02 1.249830592E+00 1.218487156E+00 3.134343600E-02 7.206925000E-03 6.654332000E-03
210 340 1.240907118E+00 1.223129934E+00 1.777718400E-02 1.233353831E+00 1.215471861E+00 1.788197000E-02 7.553287000E-03 7.658073000E-03
240 290 1.254878849E+00 1.210066623E+00 4.481222600E-02 1.249710293E+00 1.208146936E+00 4.156335700E-02 5.168556000E-03 1.919687000E-03
240 295 1.256681925E+00 1.213141350E+00 4.354057500E-02 1.252028963E+00 1.211110035E+00 4.091892800E-02 4.652962000E-03 2.031315000E-03
240 300 1.258973417E+00 1.216091894E+00 4.288152300E-02 1.254641138E+00 1.213858411E+00 4.078272700E-02 4.332279000E-03 2.233483000E-03
240 305 1.261519336E+00 1.218309960E+00 4.320937600E-02 1.257294130E+00 1.215812964E+00 4.148116600E-02 4.225206000E-03 2.496996000E-03
240 310 1.263925564E+00 1.220576706E+00 4.334885800E-02 1.259595267E+00 1.217662218E+00 4.193304900E-02 4.330297000E-03 2.914488000E-03
240 315 1.265347920E+00 1.222389318E+00 4.295860200E-02 1.260704373E+00 1.218936457E+00 4.176791600E-02 4.643547000E-03 3.452861000E-03
240 320 1.266171296E+00 1.222826317E+00 4.334497900E-02 1.261026109E+00 1.218761257E+00 4.226485200E-02 5.145187000E-03 4.065060000E-03
240 325 1.265065394E+00 1.223158922E+00 4.190647200E-02 1.259270955E+00 1.218324619E+00 4.094633600E-02 5.794439000E-03 4.834303000E-03
240 330 1.260609351E+00 1.222521480E+00 3.808787100E-02 1.254112598E+00 1.216826380E+00 3.728621800E-02 6.496753000E-03 5.695100000E-03
