T file kT1 Voc Jsc FF eta Vmpp Jmpp
280 1_280 41.408 5.997E-1 1.805E+2 8.330E-1 3.273E-1 5.233E-1 1.723E+2 
285 2_285 40.681 5.885E-1 1.805E+2 8.286E-1 3.193E-1 5.117E-1 1.720E+2 
290 3_290 39.98 5.772E-1 1.804E+2 8.241E-1 3.114E-1 5.001E-1 1.716E+2 
295 4_295 39.302 5.660E-1 1.804E+2 8.194E-1 3.036E-1 4.886E-1 1.712E+2 
300 5_300 38.647 5.547E-1 1.803E+2 8.147E-1 2.957E-1 4.770E-1 1.708E+2 
305 6_305 38.014 5.434E-1 1.803E+2 8.097E-1 2.878E-1 4.654E-1 1.704E+2 
310 7_310 37.401 5.320E-1 1.802E+2 8.046E-1 2.800E-1 4.538E-1 1.700E+2 
315 8_315 36.807 5.206E-1 1.802E+2 7.994E-1 2.721E-1 4.423E-1 1.695E+2 
320 9_320 36.232 5.092E-1 1.801E+2 7.940E-1 2.643E-1 4.308E-1 1.691E+2 
325 10_325 35.674 4.977E-1 1.801E+2 7.885E-1 2.565E-1 4.192E-1 1.686E+2 
330 11_330 35.134 4.862E-1 1.801E+2 7.828E-1 2.487E-1 4.077E-1 1.681E+2 
335 12_335 34.61 4.747E-1 1.800E+2 7.770E-1 2.410E-1 3.962E-1 1.676E+2 
340 13_340 34.101 4.632E-1 1.800E+2 7.709E-1 2.332E-1 3.847E-1 1.671E+2 
