f U
11.058352841354822 6.246401486960199
12.96782011894598 4.955958810952971
15.991482744841171 3.555730769523567
19.06983823160947 2.73727026498059
22.740776198321555 2.171778217588108
28.04316584006658 1.688783370755031
33.16228483733168 1.4376705127855205
37.92262304741231 1.1995143954784748
42.64523899092366 1.0738390464927872
55.76714360618671 0.8266620511692073
65.39656467896324 0.7326424312301278
74.78402899803295 0.6237025056234025
89.17993147074145 0.5203835839560531
104.5788035635531 0.46119825336432674
120.59754393803344 0.40874430989788646
140.24071832520247 0.3514850054361829
170.0646866653056 0.29622558288803746
199.43008664122195 0.2521784575960337
239.822443361115 0.22575725266133842
290.82372917499947 0.19026437181243866
349.72685662827735 0.16862483495399438
417.0491684582535 0.16035157566116742
514.2911082955853 0.14069142766975115
623.6616385850596 0.12469002233187766
743.7163112916644 0.11389502447388022
857.6342190979775 0.10403460002099459
997.3274332052351 0.09407650834417179
1209.421767488775 0.08337680639558892
1503.9742730572825 0.07389402484300628
1901.8872815170132 0.06418507691634626
