f U
10.905037372946126 14.256682647862599
12.78233754525801 12.084198937602247
15.873700342197797 10.587108732438477
18.8769790657443 8.539581201451226
22.77497997792238 7.7331458796098085
27.877556619582762 6.554741767834339
32.67667284961161 6.034694353571182
37.75285157081212 5.375202715707319
43.61759253420173 5.2003757479739505
55.75347906836924 4.556110320396688
65.35143020622573 4.264557603227084
75.50349008513747 3.9262113749412255
89.78862968320558 3.439799936071501
105.24572572160183 3.166889251608703
121.59519054820996 2.915631059464693
140.48447348414012 2.6843074700502862
169.49380828717375 2.3131921269706055
198.67213612057463 2.0947458362933102
239.69692960713934 1.8969285203363995
289.19313591222783 1.6078678453008275
348.91005903088217 1.4803010325960402
420.9582254050532 1.3405088095955846
515.2710024151244 1.2139178647007964
621.6718640380467 1.0812568492593149
728.6925607644421 0.9791483623609774
854.1368506922545 0.8866824900771137
1001.1763519928621 0.8029486321292584
1207.9142161250134 0.7034727348341678
1521.8616785893287 0.5962750721809523
1917.4068305849196 0.4889741656984587
