T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 TDD11 TDD111 d N_B
342 001_342 33.901 5.176170E-1 3.716304E+1 7.873570E+1 1.514580E+1 4.350760E-1 3.481187E+1 1.000000E+2 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 2.300E-4 1.000E+16
342 002_342 33.901 5.172070E-1 3.713782E+1 7.869370E+1 1.511540E+1 4.346560E-1 3.477559E+1 1.000000E+2 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 2.300E-4 1.000E+16
342 003_342 33.901 5.166200E-1 3.710119E+1 7.867780E+1 1.508040E+1 4.340200E-1 3.474577E+1 1.000000E+2 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 2.300E-4 1.000E+16
342 004_342 33.901 5.157910E-1 3.704826E+1 7.865540E+1 1.503040E+1 4.331390E-1 3.470112E+1 1.000000E+2 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 2.300E-4 1.000E+16
342 005_342 33.901 5.146390E-1 3.697231E+1 7.862420E+1 1.496010E+1 4.319480E-1 3.463408E+1 1.000000E+2 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 2.300E-4 1.000E+16
342 006_342 33.901 5.130680E-1 3.686442E+1 7.858120E+1 1.486280E+1 4.303910E-1 3.453336E+1 1.000000E+2 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 2.300E-4 1.000E+16
342 007_342 33.901 5.109840E-1 3.671330E+1 7.852290E+1 1.473080E+1 4.284360E-1 3.438275E+1 1.000000E+2 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 2.300E-4 1.000E+16
342 008_342 33.901 5.082390E-1 3.650569E+1 7.845410E+1 1.455610E+1 4.261090E-1 3.416044E+1 1.000000E+2 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 2.300E-4 1.000E+16
342 009_342 33.901 5.048390E-1 3.622780E+1 7.832950E+1 1.432580E+1 4.228590E-1 3.387852E+1 1.000000E+2 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 2.300E-4 1.000E+16
342 010_342 33.901 5.008660E-1 3.586809E+1 7.821510E+1 1.405140E+1 4.189540E-1 3.353927E+1 1.000000E+2 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 2.300E-4 1.000E+16
