fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
UL01 10:12:14 301.3 38.48 1.000E+000 8.516E-001 1.597E-010 1.122E+004 2.824E+000 1.156E-005 1.903E-004 2.028E-001 1.903E-004 1.590E-005 4.119E-001 1.272E-001 1.249E-004 5.311E-002 
UL02 10:43:50 304.5 38.08 1.000E+000 8.923E-001 2.534E-010 1.008E+004 2.789E+000 1.295E-005 1.892E-004 1.938E-001 1.891E-004 1.482E-005 4.042E-001 1.207E-001 1.227E-004 3.185E-003 
UL03 11:05:12 307.4 37.72 1.000E+000 9.182E-001 4.001E-010 9.124E+003 2.762E+000 1.462E-005 1.732E-004 1.787E-001 1.731E-004 1.209E-005 3.909E-001 1.098E-001 1.100E-004 1.635E-002 
UL04 11:24:22 309.5 37.46 1.000E+000 8.161E-001 5.294E-010 8.474E+003 2.766E+000 1.628E-005 1.801E-004 1.755E-001 1.801E-004 1.223E-005 3.871E-001 1.073E-001 1.139E-004 3.115E-003 
UL05 11:44:38 312.1 37.15 1.000E+000 9.768E-001 8.732E-010 7.718E+003 2.810E+000 1.957E-005 1.786E-004 1.662E-001 1.785E-004 1.116E-005 3.762E-001 1.004E-001 1.111E-004 2.188E-002 
UL06 12:02:06 315 36.81 1.000E+000 1.009E+000 1.454E-009 6.935E+003 2.837E+000 2.382E-005 1.725E-004 1.532E-001 1.724E-004 9.597E-006 3.634E-001 9.120E-002 1.051E-004 7.462E-003 
UL07 12:21:24 317.8 36.48 1.000E+000 9.351E-001 2.216E-009 6.237E+003 2.813E+000 2.661E-005 1.810E-004 1.487E-001 1.809E-004 9.679E-006 3.597E-001 8.810E-002 1.097E-004 2.471E-001 
UL08 12:37:46 321.1 36.11 1.000E+000 8.483E-001 3.336E-009 5.483E+003 2.786E+000 3.007E-005 1.754E-004 1.380E-001 1.753E-004 8.477E-006 3.503E-001 8.090E-002 1.047E-004 1.759E-003 
UL09 12:56:54 324.7 35.71 1.000E+000 8.794E-001 5.459E-009 4.739E+003 2.767E+000 3.512E-005 1.902E-004 1.334E-001 1.901E-004 8.777E-006 3.461E-001 7.780E-002 1.127E-004 2.104E-003 
UL10 13:15:16 327.2 35.43 1.000E+000 9.427E-001 8.116E-009 4.267E+003 2.807E+000 4.071E-005 1.889E-004 1.259E-001 1.888E-004 8.025E-006 3.378E-001 7.260E-002 1.104E-004 1.866E-003 
UL11 13:34:30 330.9 35.04 1.000E+000 9.534E-001 1.351E-008 3.631E+003 2.775E+000 4.740E-005 1.758E-004 1.108E-001 1.756E-004 6.337E-006 3.255E-001 6.290E-002 1.006E-004 1.137E-003 
UL12 13:52:54 333.7 34.74 1.000E+000 9.081E-001 1.908E-008 3.196E+003 2.777E+000 5.387E-005 1.797E-004 1.049E-001 1.795E-004 6.024E-006 3.200E-001 5.910E-002 1.018E-004 2.040E-003 
UL13 14:08:20 337.4 34.36 1.000E+000 8.843E-001 2.980E-008 2.676E+003 2.736E+000 6.092E-005 1.834E-004 9.743E-002 1.832E-004 5.605E-006 3.140E-001 5.440E-002 1.028E-004 1.966E-003 
UL14 14:26:52 340.8 34.02 1.000E+000 9.661E-001 4.650E-008 2.248E+003 2.759E+000 7.276E-005 1.894E-004 9.012E-002 1.891E-004 5.234E-006 3.071E-001 4.980E-002 1.049E-004 3.764E-003 
