fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 58778 319.35 36.306 1.000000000E+00 8.341649936E-01 1.181276932E-09 7.859360334E+19 4.790984746E+00 3.635265971E-05 1.573076997E-04 2.153972771E-01 1.554073260E-04 3.718924664E-01 1.244884551E-05 1.240654712E-01 1.007410453E-04 1.310958119E-01 
00L2 58906 319.56 36.282 1.000000000E+00 8.301616567E-01 1.202033612E-09 2.438187774E+03 3.220343018E+00 6.908631949E-06 1.657418944E-04 2.149218521E-01 1.550011494E-04 3.721710377E-01 1.239818369E-05 1.245850144E-01 9.993577497E-05 1.128525024E-01 
00L3 59008 319.65 36.272 1.000000000E+00 8.198167322E-01 1.196268079E-09 2.114379953E+03 2.827346285E+00 3.919246360E-06 1.673115055E-04 2.151302139E-01 1.554856424E-04 3.714949328E-01 1.242637901E-05 1.247311880E-01 1.000540052E-04 1.403019782E-01 
00L4 59114 319.7 36.266 1.000000000E+00 8.433507462E-01 1.266092212E-09 1.262865481E+04 4.619455858E+00 3.104255088E-05 1.603044079E-04 2.148138592E-01 1.550409543E-04 3.715795371E-01 1.237543632E-05 1.248741982E-01 9.952180224E-05 9.347990123E-02 
00L5 59206 319.74 36.261 1.000000000E+00 8.129401834E-01 1.199126167E-09 1.958568272E+03 2.606706379E+00 2.667078318E-06 1.681459165E-04 2.146537758E-01 1.558980374E-04 3.731217359E-01 1.248618397E-05 1.249962563E-01 9.979499653E-05 1.517032806E-01 
00L6 59308 319.78 36.257 1.000000000E+00 8.272122285E-01 1.243226118E-09 2.199881345E+03 2.959722397E+00 4.811765914E-06 1.666002376E-04 2.143864609E-01 1.551307730E-04 3.722068448E-01 1.237883194E-05 1.247392218E-01 9.966788618E-05 1.168498843E-01 
00L7 59412 319.8 36.255 1.000000000E+00 8.446057508E-01 1.290874305E-09 9.261082862E+03 4.476581689E+00 2.782942549E-05 1.606402359E-04 2.147681286E-01 1.552757367E-04 3.711574113E-01 1.237746105E-05 1.243859657E-01 9.992298352E-05 9.500742183E-02 
00L8 59508 319.83 36.251 1.000000000E+00 8.289652590E-01 1.272600992E-09 2.387528753E+18 4.441514566E+00 3.058896347E-05 1.558626379E-04 2.144236042E-01 1.548626379E-04 3.715874846E-01 1.233901018E-05 1.239563779E-01 9.994250692E-05 1.772328408E-01 
00L9 59608 319.85 36.249 1.000000000E+00 7.890668007E-01 1.175895715E-09 1.852042079E+03 2.381257482E+00 1.725575315E-06 1.683036685E-04 2.147145603E-01 1.551991367E-04 3.708398888E-01 1.235768837E-05 1.242447730E-01 9.987267013E-05 1.745582370E-01 
0L10 59712 319.87 36.247 1.000000000E+00 8.603058134E-01 1.320481288E-09 1.087364383E+04 4.590796107E+00 3.015518411E-05 1.602537569E-04 2.143821457E-01 1.548856424E-04 3.718911154E-01 1.234853900E-05 1.244307099E-01 9.966482577E-05 8.957054569E-02 
0L11 59814 320.08 36.223 1.000000000E+00 1.082189152E+00 1.244758871E-09 1.356660038E+03 1.563442481E+00 1.284473093E-07 1.443106895E-04 1.857745781E-01 1.171823894E-04 3.633399716E-01 7.909732767E-06 1.071709903E-01 7.423231639E-05 1.599699075E-01 
0L12 59942 319.7 36.266 1.000000000E+00 1.083793035E+00 1.213248847E-09 1.350638462E+03 1.602568439E+00 1.452605408E-07 1.452353810E-04 1.862893631E-01 1.171409543E-04 3.779068123E-01 8.246725453E-06 1.075437900E-01 7.472712408E-05 1.685985410E-01 
0L13 60044 319.76 36.259 1.000000000E+00 1.086689235E+00 1.252311036E-09 1.357589570E+03 1.639220241E+00 1.701217226E-07 1.455877695E-04 1.866555374E-01 1.178626379E-04 3.778401662E-01 8.312375602E-06 1.074805586E-01 7.536715264E-05 1.625187512E-01 
0L14 60144 319.84 36.25 1.000000000E+00 1.169590713E+00 1.553905492E-09 2.570668203E+03 3.013451490E+00 5.948944330E-06 1.280303690E-04 1.869490414E-01 1.188242825E-04 3.650324819E-01 8.108862840E-06 1.079008399E-01 7.557134870E-05 9.762279100E-02 
0L15 60242 319.89 36.244 1.000000000E+00 1.074414359E+00 1.239996524E-09 1.374313950E+03 1.625833896E+00 1.650114116E-07 1.465284610E-04 1.883932629E-01 1.193350575E-04 3.765123529E-01 8.464720918E-06 1.080485200E-01 7.642179539E-05 1.270458998E-01 
0L16 60346 319.95 36.238 1.000000000E+00 1.119096094E+00 1.440510900E-09 1.585817507E+03 2.071256822E+00 8.234098690E-07 1.421903487E-04 1.878250294E-01 1.196372788E-04 3.774868707E-01 8.482460438E-06 1.081244271E-01 7.653233933E-05 8.729280350E-02 
0L17 60444 319.95 36.238 1.000000000E+00 1.060587567E+00 1.206114581E-09 1.341951608E+03 1.582352898E+00 1.361927998E-07 1.487002568E-04 1.885530663E-01 1.204856424E-04 3.769299073E-01 8.563070006E-06 1.086612755E-01 7.692882611E-05 1.409979637E-01 
0L18 60544 319.95 36.238 1.000000000E+00 1.073157582E+00 1.266987190E-09 1.357890809E+03 1.663424248E+00 1.899339771E-07 1.485921355E-04 1.886450901E-01 1.216081645E-04 3.645340110E-01 8.362695696E-06 1.090964928E-01 7.703535861E-05 1.365093039E-01 
0L19 60646 319.98 36.234 1.000000000E+00 1.067435279E+00 1.252218513E-09 1.343665401E+03 1.641592313E+00 1.711861648E-07 1.500128839E-04 1.891459637E-01 1.217459770E-04 3.780997475E-01 8.706790296E-06 1.094550056E-01 7.776145056E-05 1.390436301E-01 
0L20 60744 319.95 36.238 1.000000000E+00 1.069203682E+00 1.264518610E-09 1.360680641E+03 1.680922657E+00 2.030163506E-07 1.502285408E-04 1.899008274E-01 1.223011494E-04 3.768515239E-01 8.752410358E-06 1.097861519E-01 7.797675189E-05 1.257048983E-01 
0L21 60846 319.96 36.236 1.000000000E+00 1.039784165E+00 1.175279509E-09 1.329772485E+03 1.588071794E+00 1.381669287E-07 1.517041931E-04 1.899184399E-01 1.234684881E-04 3.666882348E-01 8.598451385E-06 1.095119439E-01 7.891802834E-05 1.338025438E-01 
0L22 60948 319.96 36.236 1.000000000E+00 1.054756254E+00 1.229922482E-09 1.344195192E+03 1.644745401E+00 1.729089482E-07 1.519981802E-04 1.907111954E-01 1.243864275E-04 3.658999667E-01 8.679836664E-06 1.099834175E-01 7.931381426E-05 1.256642259E-01 
0L23 61044 319.95 36.238 1.000000000E+00 1.154361697E+00 1.534564749E-09 2.664607356E+03 3.122436302E+00 6.856779131E-06 1.336103418E-04 1.914757519E-01 1.249169013E-04 3.650877867E-01 8.732373256E-06 1.105235863E-01 7.934836929E-05 9.874905900E-02 
0L24 61146 319.96 36.236 1.000000000E+00 1.140940879E+00 1.511642175E-09 2.595443315E+03 3.053289359E+00 6.275577484E-06 1.346676632E-04 1.921935368E-01 1.256458529E-04 3.658061221E-01 8.833603603E-06 1.110103843E-01 7.990823355E-05 1.056185485E-01 
0L25 61248 319.97 36.235 1.000000000E+00 1.056413715E+00 1.241872932E-09 1.365988849E+03 1.687284972E+00 2.054382885E-07 1.529631149E-04 1.925981644E-01 1.254188283E-04 3.763335353E-01 9.090500664E-06 1.111964862E-01 8.021499286E-05 1.152177456E-01 
0L26 61342 319.96 36.236 1.000000000E+00 1.060287822E+00 1.256552660E-09 1.376445953E+03 1.723343679E+00 2.375649774E-07 1.534957189E-04 1.931693287E-01 1.263192707E-04 3.764724802E-01 9.186308274E-06 1.106633641E-01 8.142444590E-05 1.095446707E-01 
