Ew Nt
4.4405665E-1 2.2325810E+16
4.4135489E-1 1.9371390E+16
4.3865311E-1 1.6889309E+16
4.3595132E-1 1.4810953E+16
4.3324954E-1 1.3060542E+16
4.3054777E-1 1.1568736E+16
4.2784599E-1 1.0285203E+16
4.2514422E-1 9.1813477E+15
4.2244244E-1 8.2417276E+15
4.1974067E-1 7.4513851E+15
4.1703889E-1 6.7884701E+15
4.1433711E-1 6.2261622E+15
4.1163534E-1 5.7394714E+15
4.0893356E-1 5.3106621E+15
4.0623178E-1 4.9294554E+15
4.0353000E-1 4.5899020E+15
4.0082823E-1 4.2873963E+15
3.9812645E-1 4.0173144E+15
3.9542468E-1 3.7748504E+15
3.9272290E-1 3.5551746E+15
3.9002113E-1 3.3537782E+15
3.8731935E-1 3.1670833E+15
3.8461757E-1 2.9931236E+15
3.8191580E-1 2.8315739E+15
3.7921402E-1 2.6828096E+15
3.7651224E-1 2.5467534E+15
3.7381047E-1 2.4227267E+15
3.7110869E-1 2.3104427E+15
3.6840692E-1 2.2109883E+15
3.6570514E-1 2.1266033E+15
3.6300336E-1 2.0594148E+15
3.6030159E-1 2.0103340E+15
3.5759981E-1 1.9790623E+15
3.5489803E-1 1.9651399E+15
3.5219626E-1 1.9691487E+15
3.4949448E-1 1.9931474E+15
3.4679270E-1 2.0401312E+15
3.4409093E-1 2.1131581E+15
3.4138915E-1 2.2149781E+15
3.3868738E-1 2.3483901E+15
3.3598560E-1 2.5167578E+15
3.3328382E-1 2.7239576E+15
3.3058205E-1 2.9736004E+15
3.2788027E-1 3.2680453E+15
3.2517849E-1 3.6079002E+15
3.2247672E-1 3.9921597E+15
3.1977494E-1 4.4185007E+15
3.1707317E-1 4.8830543E+15
3.1437139E-1 5.3795353E+15
3.1166961E-1 5.8983061E+15
3.0896784E-1 6.4260709E+15
3.0626606E-1 6.9465706E+15
3.0356428E-1 7.4420022E+15
3.0086251E-1 7.8945736E+15
2.9816073E-1 8.2875233E+15
2.9545895E-1 8.6051144E+15
2.9275718E-1 8.8309885E+15
2.9005540E-1 8.9434645E+15
2.8735363E-1 8.9061524E+15
2.8465185E-1 8.6550881E+15
2.8195007E-1 8.0907814E+15
2.7924830E-1 7.0910130E+15
2.7654652E-1 5.5569165E+15
2.7384474E-1 3.4825578E+15
2.7114297E-1 2.2906857E+15
