T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 3.603570E-1 2.833870E+1 4.938100E-1 7.962620E+1 3.676503E-1 2.943050E+1 4.963500E-1 8.063890E+1 1.9837601E+00 3.7097569E+00 5.1173567E-01 1.2558455E+00
295 3.609453E-1 2.740680E+1 4.806290E-1 7.899080E+1 3.683815E-1 2.852650E+1 4.837620E-1 8.003650E+1 2.0186139E+00 3.9251223E+00 6.4763251E-01 1.3065289E+00
300 3.615032E-1 2.647160E+1 4.673620E-1 7.834000E+1 3.689449E-1 2.759750E+1 4.710440E-1 7.939940E+1 2.0170221E+00 4.0797174E+00 7.8166795E-01 1.3342670E+00
305 3.620408E-1 2.553470E+1 4.540920E-1 7.766020E+1 3.695306E-1 2.667590E+1 4.583340E-1 7.875090E+1 2.0268416E+00 4.2780187E+00 9.2552593E-01 1.3850000E+00
310 3.625575E-1 2.459710E+1 4.408220E-1 7.695070E+1 3.700389E-1 2.574490E+1 4.455640E-1 7.807340E+1 2.0217874E+00 4.4583587E+00 1.0642691E+00 1.4380058E+00
315 3.630534E-1 2.365890E+1 4.274860E-1 7.622020E+1 3.704077E-1 2.479320E+1 4.326740E-1 7.735020E+1 1.9854609E+00 4.5750448E+00 1.1990552E+00 1.4608883E+00
320 3.635390E-1 2.272120E+1 4.141510E-1 7.545530E+1 3.707779E-1 2.384530E+1 4.198480E-1 7.658880E+1 1.9523548E+00 4.7141365E+00 1.3569196E+00 1.4799814E+00
325 3.640110E-1 2.178480E+1 4.008230E-1 7.465450E+1 3.710719E-1 2.288790E+1 4.068400E-1 7.580410E+1 1.9028388E+00 4.8195772E+00 1.4789598E+00 1.5165407E+00
330 3.644683E-1 2.085070E+1 3.874450E-1 7.382790E+1 3.712432E-1 2.191190E+1 3.937030E-1 7.495850E+1 1.8249223E+00 4.8430305E+00 1.5895231E+00 1.5083013E+00
335 3.649253E-1 1.991940E+1 3.740760E-1 7.295960E+1 3.713965E-1 2.093590E+1 3.805920E-1 7.405680E+1 1.7423966E+00 4.8552964E+00 1.7120696E+00 1.4815655E+00
340 3.653732E-1 1.899160E+1 3.607220E-1 7.204770E+1 3.714752E-1 1.995030E+1 3.672660E-1 7.311540E+1 1.6426399E+00 4.8054415E+00 1.7818148E+00 1.4602943E+00
