T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 1.075188E-1 5.976700E+0 3.708120E-1 7.495400E+1 1.331295E-1 7.773300E+0 3.853720E-1 7.575630E+1 1.9237434E+01 2.3112449E+01 3.7781676E+00 1.0590538E+00
295 1.099968E-1 5.797600E+0 3.559010E-1 7.404720E+1 1.372028E-1 7.628900E+0 3.712310E-1 7.489040E+1 1.9829041E+01 2.4004771E+01 4.1295043E+00 1.1259120E+00
300 1.124648E-1 5.605800E+0 3.410890E-1 7.306730E+1 1.406688E-1 7.424500E+0 3.566890E-1 7.398620E+1 2.0049933E+01 2.4495926E+01 4.3735579E+00 1.2419884E+00
305 1.149505E-1 5.402700E+0 3.261610E-1 7.205110E+1 1.444445E-1 7.222300E+0 3.423470E-1 7.302580E+1 2.0418915E+01 2.5194190E+01 4.7279515E+00 1.3347338E+00
310 1.174350E-1 5.188700E+0 3.113260E-1 7.095950E+1 1.479818E-1 6.988100E+0 3.278570E-1 7.201720E+1 2.0642268E+01 2.5749488E+01 5.0421373E+00 1.4686769E+00
315 1.199034E-1 4.962700E+0 2.963950E-1 6.982050E+1 1.508633E-1 6.700200E+0 3.130590E-1 7.093330E+1 2.0521823E+01 2.5932062E+01 5.3229583E+00 1.5687977E+00
320 1.224104E-1 4.728200E+0 2.815500E-1 6.859500E+1 1.538575E-1 6.406000E+0 2.983090E-1 6.978660E+1 2.0439108E+01 2.6191071E+01 5.6180001E+00 1.7074911E+00
325 1.249167E-1 4.483400E+0 2.666340E-1 6.730400E+1 1.564599E-1 6.078800E+0 2.833430E-1 6.856040E+1 2.0160565E+01 2.6245312E+01 5.8970929E+00 1.8325447E+00
330 1.274122E-1 4.228700E+0 2.517860E-1 6.590770E+1 1.583429E-1 5.706600E+0 2.680520E-1 6.722470E+1 1.9533999E+01 2.5898083E+01 6.0682256E+00 1.9591013E+00
335 1.299888E-1 3.967800E+0 2.369000E-1 6.442430E+1 1.601597E-1 5.324800E+0 2.526830E-1 6.578770E+1 1.8838010E+01 2.5484525E+01 6.2461661E+00 2.0724239E+00
340 1.325546E-1 3.699100E+0 2.220860E-1 6.282770E+1 1.614980E-1 4.918900E+0 2.370750E-1 6.423710E+1 1.7921832E+01 2.4798227E+01 6.3224718E+00 2.1940592E+00
