T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 1.550766E-1 9.411700E+0 3.959080E-1 7.664750E+1 1.847636E-1 1.166940E+1 4.087630E-1 7.725580E+1 1.6067559E+01 1.9347182E+01 3.1448541E+00 7.8738425E-01
295 1.580230E-1 9.137400E+0 3.814500E-1 7.579350E+1 1.892374E-1 1.142640E+1 3.947920E-1 7.647220E+1 1.6494837E+01 2.0032556E+01 3.3795011E+00 8.8751206E-01
300 1.609346E-1 8.846400E+0 3.668820E-1 7.491330E+1 1.929948E-1 1.111000E+1 3.806450E-1 7.561640E+1 1.6611950E+01 2.0374437E+01 3.6157049E+00 9.2982475E-01
305 1.638424E-1 8.541000E+0 3.523600E-1 7.397190E+1 1.970436E-1 1.079580E+1 3.664880E-1 7.474850E+1 1.6849672E+01 2.0885900E+01 3.8549693E+00 1.0389506E+00
310 1.667273E-1 8.221300E+0 3.377950E-1 7.298730E+1 2.007945E-1 1.044340E+1 3.523030E-1 7.381460E+1 1.6966202E+01 2.1277553E+01 4.1180461E+00 1.1207810E+00
315 1.695722E-1 7.886600E+0 3.232210E-1 7.194550E+1 2.038147E-1 1.002730E+1 3.377930E-1 7.282240E+1 1.6800800E+01 2.1348718E+01 4.3138845E+00 1.2041625E+00
320 1.724408E-1 7.540900E+0 3.086650E-1 7.083820E+1 2.069257E-1 9.604000E+0 3.233140E-1 7.177690E+1 1.6665354E+01 2.1481674E+01 4.5308895E+00 1.3078024E+00
325 1.752851E-1 7.182500E+0 2.940560E-1 6.967410E+1 2.096046E-1 9.142800E+0 3.086850E-1 7.065320E+1 1.6373448E+01 2.1440915E+01 4.7391354E+00 1.3857830E+00
330 1.780954E-1 6.811900E+0 2.795160E-1 6.841920E+1 2.115230E-1 8.629000E+0 2.936900E-1 6.945220E+1 1.5803293E+01 2.1058060E+01 4.8261773E+00 1.4873539E+00
335 1.809695E-1 6.433500E+0 2.648860E-1 6.710420E+1 2.133514E-1 8.104700E+0 2.786750E-1 6.815750E+1 1.5177730E+01 2.0620134E+01 4.9480578E+00 1.5453912E+00
340 1.838137E-1 6.045300E+0 2.503680E-1 6.567920E+1 2.147044E-1 7.552200E+0 2.634030E-1 6.676990E+1 1.4387549E+01 1.9953126E+01 4.9486908E+00 1.6335205E+00
