T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 1.382259E-1 8.167100E+0 3.879010E-1 7.615970E+1 1.669857E-1 1.029590E+1 4.013120E-1 7.681990E+1 1.7222912E+01 2.0676191E+01 3.3417889E+00 8.5941273E-01
295 1.410511E-1 7.928700E+0 3.732820E-1 7.529370E+1 1.713974E-1 1.009140E+1 3.872630E-1 7.601680E+1 1.7705228E+01 2.1431120E+01 3.6102080E+00 9.5123709E-01
300 1.438507E-1 7.674900E+0 3.586740E-1 7.437510E+1 1.751190E-1 9.816900E+0 3.729720E-1 7.515080E+1 1.7855458E+01 2.1819515E+01 3.8335317E+00 1.0321913E+00
305 1.466548E-1 7.407600E+0 3.439970E-1 7.341690E+1 1.791441E-1 9.544600E+0 3.588160E-1 7.424210E+1 1.8135847E+01 2.2389623E+01 4.1299719E+00 1.1114987E+00
310 1.494437E-1 7.126800E+0 3.293890E-1 7.238980E+1 1.828874E-1 9.235600E+0 3.444840E-1 7.329600E+1 1.8286498E+01 2.2833384E+01 4.3819161E+00 1.2363567E+00
315 1.522015E-1 6.832000E+0 3.146680E-1 7.132570E+1 1.859128E-1 8.865200E+0 3.299600E-1 7.225810E+1 1.8132856E+01 2.2934621E+01 4.6345012E+00 1.2903744E+00
320 1.549900E-1 6.527000E+0 3.000630E-1 7.017190E+1 1.890383E-1 8.487900E+0 3.153250E-1 7.119650E+1 1.8011324E+01 2.3102299E+01 4.8400856E+00 1.4391157E+00
325 1.577623E-1 6.209600E+0 2.853200E-1 6.897650E+1 1.917379E-1 8.073600E+0 3.006360E-1 7.003020E+1 1.7719814E+01 2.3087594E+01 5.0945329E+00 1.5046366E+00
330 1.605086E-1 5.880800E+0 2.706930E-1 6.767490E+1 1.936771E-1 7.608300E+0 2.855050E-1 6.879600E+1 1.7125669E+01 2.2705466E+01 5.1880002E+00 1.6296006E+00
335 1.633263E-1 5.544500E+0 2.559730E-1 6.631030E+1 1.955385E-1 7.132600E+0 2.704180E-1 6.744540E+1 1.6473584E+01 2.2265373E+01 5.3417302E+00 1.6829910E+00
340 1.661210E-1 5.198900E+0 2.413540E-1 6.483340E+1 1.969030E-1 6.629500E+0 2.549990E-1 6.601780E+1 1.5633078E+01 2.1579305E+01 5.3510014E+00 1.7940616E+00
