Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.022042904E+00 1.121607070E+00 -9.956416600E-02 1.020744767E+00 1.118649512E+00 -9.790474500E-02
1.468000E+10 1.022557956E+00 1.121623764E+00 -9.906580800E-02 1.021660603E+00 1.119587839E+00 -9.792723600E-02
2.154000E+10 1.023302882E+00 1.121654083E+00 -9.835120100E-02 1.022666568E+00 1.120221569E+00 -9.755500100E-02
3.162000E+10 1.024362530E+00 1.121727494E+00 -9.736496400E-02 1.023915664E+00 1.120743557E+00 -9.682789300E-02
4.642000E+10 1.025893749E+00 1.121867162E+00 -9.597341300E-02 1.025576663E+00 1.121184807E+00 -9.560814400E-02
6.813000E+10 1.028090680E+00 1.122070438E+00 -9.397975800E-02 1.027862336E+00 1.121594560E+00 -9.373222400E-02
1.000000E+11 1.032531004E+00 1.122351451E+00 -8.982044700E-02 1.032364426E+00 1.122019050E+00 -8.965462400E-02
1.468000E+11 1.036772511E+00 1.122742072E+00 -8.596956100E-02 1.036647356E+00 1.122505593E+00 -8.585823700E-02
2.154000E+11 1.042569465E+00 1.123284493E+00 -8.071502800E-02 1.042472786E+00 1.123113622E+00 -8.064083600E-02
3.162000E+11 1.050245892E+00 1.124019494E+00 -7.377360200E-02 1.050168760E+00 1.123893626E+00 -7.372486600E-02
4.642000E+11 1.059972670E+00 1.124982935E+00 -6.501026500E-02 1.059909397E+00 1.124888107E+00 -6.497871000E-02
6.813000E+11 1.071588855E+00 1.126140046E+00 -5.455119100E-02 1.071535682E+00 1.126084780E+00 -5.454909800E-02
1.000000E+12 1.082623900E+00 1.126828826E+00 -4.420492600E-02 1.082578873E+00 1.126789817E+00 -4.421094400E-02
1.468000E+12 1.092418554E+00 1.127671622E+00 -3.525306800E-02 1.092391941E+00 1.127643853E+00 -3.525191200E-02
2.154000E+12 1.096218370E+00 1.128653491E+00 -3.243512100E-02 1.096209839E+00 1.128633503E+00 -3.242366400E-02
3.162000E+12 1.098336362E+00 1.130270640E+00 -3.193427800E-02 1.098323091E+00 1.130256172E+00 -3.193308100E-02
4.642000E+12 1.106721177E+00 1.130826238E+00 -2.410506100E-02 1.106695865E+00 1.130815616E+00 -2.411975100E-02
6.813000E+12 1.111919705E+00 1.131799097E+00 -1.987939200E-02 1.111898889E+00 1.131791226E+00 -1.989233700E-02
1.000000E+13 1.118840017E+00 1.132573789E+00 -1.373377200E-02 1.118829025E+00 1.132567945E+00 -1.373892000E-02
