N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 1.197473710E+00 1.197485346E+00 1.197502385E+00 1.197527338E+00 1.197563852E+00 1.197617215E+00 1.197695064E+00 1.197808325E+00 1.197972454E+00 1.198209001E+00 1.198547320E+00 1.199026244E+00 1.199695153E+00 1.200613700E+00 1.201849516E+00 1.203473026E+00 1.205548514E+00 1.208109641E+00 1.211188800E+00
1.600000000E+01 1.221006803E+00 1.221050456E+00 1.221114229E+00 1.221207295E+00 1.221342786E+00 1.221539344E+00 1.221823060E+00 1.222229592E+00 1.222806257E+00 1.223621288E+00 1.224730464E+00 1.226218305E+00 1.228160018E+00 1.230613750E+00 1.233607831E+00 1.237133194E+00 1.241146832E+00 1.245593648E+00 1.250390625E+00
1.700000000E+01 1.239381314E+00 1.239895328E+00 1.240612055E+00 1.241591641E+00 1.242896314E+00 1.244579639E+00 1.246673699E+00 1.249189185E+00 1.252080979E+00 1.255312219E+00 1.258837829E+00 1.262629216E+00 1.266677934E+00 1.270993079E+00 1.275592154E+00 1.280500931E+00 1.285689288E+00 1.291229887E+00 1.297080169E+00
1.549996187E+01 1.208005312E+00 1.208024049E+00 1.208051482E+00 1.208091647E+00 1.208150411E+00 1.208236275E+00 1.208361495E+00 1.208543565E+00 1.208807193E+00 1.209186606E+00 1.209727996E+00 1.210491398E+00 1.211550629E+00 1.212989504E+00 1.214892428E+00 1.217329304E+00 1.220337996E+00 1.223911726E+00 1.227999605E+00
1.649996187E+01 1.222146601E+00 1.222287338E+00 1.222490901E+00 1.222783536E+00 1.223200560E+00 1.223787679E+00 1.224600816E+00 1.225703335E+00 1.227159431E+00 1.229024403E+00 1.231334391E+00 1.234100033E+00 1.237306938E+00 1.240923382E+00 1.244912609E+00 1.249238064E+00 1.253895719E+00 1.258864022E+00 1.264146682E+00
1.674996808E+01 1.227238047E+00 1.227512459E+00 1.227903950E+00 1.228455998E+00 1.229222043E+00 1.230262804E+00 1.231639672E+00 1.233404455E+00 1.235588545E+00 1.238196649E+00 1.241209178E+00 1.244592442E+00 1.248312013E+00 1.252343915E+00 1.256679434E+00 1.261321654E+00 1.266276827E+00 1.271546198E+00 1.277123900E+00
1.624993176E+01 1.222292302E+00 1.222366949E+00 1.222475664E+00 1.222633563E+00 1.222861871E+00 1.223189868E+00 1.223656797E+00 1.224313274E+00 1.225220992E+00 1.226449536E+00 1.228078231E+00 1.230148721E+00 1.232709165E+00 1.235769126E+00 1.239309902E+00 1.243282831E+00 1.247656231E+00 1.252371717E+00 1.257406915E+00
1.574996808E+01 1.214987394E+00 1.215015278E+00 1.215056076E+00 1.215115740E+00 1.215202888E+00 1.215329913E+00 1.215514508E+00 1.215781547E+00 1.216165414E+00 1.216712299E+00 1.217488750E+00 1.218557044E+00 1.219992506E+00 1.221885151E+00 1.224309123E+00 1.227297564E+00 1.230843800E+00 1.234917327E+00 1.239423119E+00
1.524993176E+01 1.203798143E+00 1.203811522E+00 1.203831114E+00 1.203859808E+00 1.203901825E+00 1.203963284E+00 1.204053053E+00 1.204183879E+00 1.204373938E+00 1.204648775E+00 1.205043622E+00 1.205605716E+00 1.206395893E+00 1.207488105E+00 1.208964935E+00 1.210907406E+00 1.213379086E+00 1.216408370E+00 1.219976957E+00
