N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 1.015793753E+00 1.015797594E+00 1.015803245E+00 1.015811566E+00 1.015823840E+00 1.015841980E+00 1.015868872E+00 1.017928806E+00 1.021331311E+00 1.026137798E+00 1.032807904E+00 1.041828454E+00 1.053584167E+00 1.068126534E+00 1.084889109E+00 1.102521710E+00 1.119170828E+00 1.133215059E+00 1.143981371E+00
1.600000000E+01 1.232859711E+00 1.232903003E+00 1.232966271E+00 1.233058544E+00 1.233192719E+00 1.233387023E+00 1.233666674E+00 1.234065742E+00 1.234628275E+00 1.235408122E+00 1.236465179E+00 1.237856948E+00 1.239624931E+00 1.241779817E+00 1.244293191E+00 1.247103632E+00 1.250137030E+00 1.253331144E+00 1.256652272E+00
1.700000000E+01 1.241899607E+00 1.242680076E+00 1.243777386E+00 1.245292398E+00 1.247332951E+00 1.249993147E+00 1.253312142E+00 1.257267627E+00 1.261713284E+00 1.266456823E+00 1.271276218E+00 1.275973444E+00 1.280448932E+00 1.284687454E+00 1.288731766E+00 1.292652674E+00 1.296528236E+00 1.300467822E+00 1.304509568E+00
1.549996187E+01 1.210627692E+00 1.210660399E+00 1.210708217E+00 1.210777974E+00 1.210879509E+00 1.211026694E+00 1.211238857E+00 1.211542232E+00 1.211971085E+00 1.212567786E+00 1.213380346E+00 1.214456107E+00 1.215831332E+00 1.217519704E+00 1.219506648E+00 1.221755520E+00 1.224222654E+00 1.226869187E+00 1.229663463E+00
1.649996187E+01 1.235359262E+00 1.235526406E+00 1.235768526E+00 1.236117200E+00 1.236615045E+00 1.237317333E+00 1.238291556E+00 1.239612531E+00 1.241350683E+00 1.243552598E+00 1.246218962E+00 1.249290745E+00 1.252657538E+00 1.256189381E+00 1.259777299E+00 1.263360934E+00 1.266932663E+00 1.270523849E+00 1.274185239E+00
1.674996808E+01 1.236690939E+00 1.237051331E+00 1.237567746E+00 1.238322240E+00 1.239332794E+00 1.240732850E+00 1.242579491E+00 1.244974546E+00 1.247920150E+00 1.251364375E+00 1.255181299E+00 1.259200605E+00 1.263258660E+00 1.267244038E+00 1.271115069E+00 1.274889206E+00 1.278619144E+00 1.282370648E+00 1.286208582E+00
1.624993176E+01 1.235520413E+00 1.235602727E+00 1.235722670E+00 1.235896824E+00 1.236148456E+00 1.236509542E+00 1.237022477E+00 1.237740987E+00 1.238728294E+00 1.240050570E+00 1.241764031E+00 1.243897101E+00 1.246434212E+00 1.249312474E+00 1.252438087E+00 1.255716863E+00 1.259082867E+00 1.262511450E+00 1.266015072E+00
1.574996808E+01 1.224991363E+00 1.225018851E+00 1.225059070E+00 1.225117831E+00 1.225203465E+00 1.225327880E+00 1.225507816E+00 1.225766367E+00 1.226134435E+00 1.226651776E+00 1.227366511E+00 1.228331922E+00 1.229599503E+00 1.231208539E+00 1.233174926E+00 1.235484527E+00 1.238095717E+00 1.240952160E+00 1.244000839E+00
1.524993176E+01 1.166834277E+00 1.166926634E+00 1.167098321E+00 1.167290938E+00 1.167571444E+00 1.167977157E+00 1.168561638E+00 1.169416185E+00 1.170602887E+00 1.172273749E+00 1.174508247E+00 1.177459509E+00 1.181141333E+00 1.185469641E+00 1.190205584E+00 1.194996550E+00 1.199504514E+00 1.203540496E+00 1.207106033E+00
