Nt Ew
4.5015469E-1 3.5771244E+13
4.4741583E-1 2.1737078E+12
4.4467694E-1 2.7267901E+13
4.4193806E-1 8.6328099E+13
4.3919918E-1 1.3635506E+14
4.3646030E-1 1.5117348E+14
4.3372142E-1 1.3431897E+14
4.3098254E-1 1.0615103E+14
4.2824366E-1 8.2576882E+13
4.2550479E-1 6.4756896E+13
4.2276590E-1 4.5073731E+13
4.2002702E-1 1.9704022E+13
4.1728815E-1 -5.3399297E+12
4.1454927E-1 -1.9170936E+13
4.1181039E-1 -1.5414070E+13
4.0907151E-1 3.3741030E+12
4.0633264E-1 2.9011919E+13
4.0359376E-1 5.3883964E+13
4.0085488E-1 7.4212232E+13
3.9811600E-1 8.9264525E+13
3.9537712E-1 9.9416499E+13
3.9263824E-1 1.0569726E+14
3.8989936E-1 1.1046074E+14
3.8716048E-1 1.1712638E+14
3.8442161E-1 1.2825956E+14
3.8168273E-1 1.4364881E+14
3.7894385E-1 1.6049412E+14
3.7620497E-1 1.7578603E+14
3.7346609E-1 1.8872517E+14
3.7072721E-1 2.0103629E+14
3.6798833E-1 2.1518369E+14
3.6524945E-1 2.3240600E+14
3.6251058E-1 2.5225984E+14
3.5977170E-1 2.7361633E+14
3.5703282E-1 2.9584266E+14
3.5429394E-1 3.1919526E+14
3.5155506E-1 3.4444374E+14
3.4881618E-1 3.7230881E+14
3.4607730E-1 4.0320878E+14
3.4333843E-1 4.3743336E+14
3.4059955E-1 4.7549885E+14
3.3786067E-1 5.1828106E+14
3.3512179E-1 5.6670692E+14
3.3238291E-1 6.2117461E+14
3.2964403E-1 6.8110607E+14
3.2690515E-1 7.4490278E+14
3.2416627E-1 8.1026995E+14
3.2142740E-1 8.7464457E+14
3.1868852E-1 9.3547453E+14
3.1594964E-1 9.9029189E+14
3.1321076E-1 1.0367132E+15
3.1047188E-1 1.0725515E+15
3.0773300E-1 1.0960624E+15
3.0499412E-1 1.1061836E+15
3.0225525E-1 1.1025824E+15
2.9951637E-1 1.0854343E+15
2.9677749E-1 1.0549945E+15
2.9403861E-1 1.0110970E+15
2.9129973E-1 9.5265386E+14
2.8856085E-1 8.7711651E+14
2.8582197E-1 7.7999349E+14
2.8308309E-1 6.5513810E+14
2.8034422E-1 4.9698205E+14
2.7760534E-1 3.0488976E+14
2.7486646E-1 1.9834097E+14
