T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 d N_B
342 001_342 33.901 5.182300E-1 3.715585E+1 7.868650E+1 1.515130E+1 4.353130E-1 3.480546E+1 1.000000E+2 1.000000E+10 1.000000E+10 2.300E-4 1.000E+16
342 002_342 33.901 5.180860E-1 3.713310E+1 7.865370E+1 1.513150E+1 4.350930E-1 3.477761E+1 1.000000E+2 1.468000E+10 1.468000E+10 2.300E-4 1.000E+16
342 003_342 33.901 5.178750E-1 3.709999E+1 7.857590E+1 1.509690E+1 4.346830E-1 3.473085E+1 1.000000E+2 2.154000E+10 2.154000E+10 2.300E-4 1.000E+16
342 004_342 33.901 5.175660E-1 3.705199E+1 7.850900E+1 1.505560E+1 4.340440E-1 3.468667E+1 1.000000E+2 3.162000E+10 3.162000E+10 2.300E-4 1.000E+16
342 005_342 33.901 5.171130E-1 3.698281E+1 7.841600E+1 1.499650E+1 4.331500E-1 3.462194E+1 1.000000E+2 4.642000E+10 4.642000E+10 2.300E-4 1.000E+16
342 006_342 33.901 5.164490E-1 3.688392E+1 7.828980E+1 1.491320E+1 4.319240E-1 3.452726E+1 1.000000E+2 6.813000E+10 6.813000E+10 2.300E-4 1.000E+16
342 007_342 33.901 5.154790E-1 3.674421E+1 7.812460E+1 1.479750E+1 4.302920E-1 3.438935E+1 1.000000E+2 1.000000E+11 1.000000E+11 2.300E-4 1.000E+16
342 008_342 33.901 5.140650E-1 3.655007E+1 7.791850E+1 1.464020E+1 4.282020E-1 3.418992E+1 1.000000E+2 1.468000E+11 1.468000E+11 2.300E-4 1.000E+16
342 009_342 33.901 5.120180E-1 3.628643E+1 7.767920E+1 1.443230E+1 4.256630E-1 3.390536E+1 1.000000E+2 2.154000E+11 2.154000E+11 2.300E-4 1.000E+16
342 010_342 33.901 5.090640E-1 3.593923E+1 7.740840E+1 1.416220E+1 4.218960E-1 3.356786E+1 1.000000E+2 3.162000E+11 3.162000E+11 2.300E-4 1.000E+16
342 011_342 33.901 5.049420E-1 3.549971E+1 7.722330E+1 1.384250E+1 4.176770E-1 3.314166E+1 1.000000E+2 4.642000E+11 4.642000E+11 2.300E-4 1.000E+16
342 012_342 33.901 4.996730E-1 3.496913E+1 7.707890E+1 1.346810E+1 4.130300E-1 3.260798E+1 1.000000E+2 6.813000E+11 6.813000E+11 2.300E-4 1.000E+16
342 013_342 33.901 4.935140E-1 3.436092E+1 7.704830E+1 1.306550E+1 4.078790E-1 3.203286E+1 1.000000E+2 1.000000E+12 1.000000E+12 2.300E-4 1.000E+16
342 014_342 33.901 4.871540E-1 3.369722E+1 7.698900E+1 1.263830E+1 4.028340E-1 3.137349E+1 1.000000E+2 1.468000E+12 1.468000E+12 2.300E-4 1.000E+16
342 015_342 33.901 4.810100E-1 3.299981E+1 7.692820E+1 1.221100E+1 3.976220E-1 3.071009E+1 1.000000E+2 2.154000E+12 2.154000E+12 2.300E-4 1.000E+16
342 016_342 33.901 4.750390E-1 3.228163E+1 7.679480E+1 1.177650E+1 3.925370E-1 3.000099E+1 1.000000E+2 3.162000E+12 3.162000E+12 2.300E-4 1.000E+16
342 017_342 33.901 4.691830E-1 3.154436E+1 7.666550E+1 1.134660E+1 3.873270E-1 2.929451E+1 1.000000E+2 4.642000E+12 4.642000E+12 2.300E-4 1.000E+16
342 018_342 33.901 4.632220E-1 3.078250E+1 7.648190E+1 1.090570E+1 3.820120E-1 2.854793E+1 1.000000E+2 6.813000E+12 6.813000E+12 2.300E-4 1.000E+16
342 019_342 33.901 4.571380E-1 2.998922E+1 7.632240E+1 1.046320E+1 3.766580E-1 2.777899E+1 1.000000E+2 1.000000E+13 1.000000E+13 2.300E-4 1.000E+16
342 020_342 33.901 4.509320E-1 2.915997E+1 7.609720E+1 1.000610E+1 3.709050E-1 2.697767E+1 1.000000E+2 1.468000E+13 1.468000E+13 2.300E-4 1.000E+16
342 021_342 33.901 4.445200E-1 2.829314E+1 7.590480E+1 9.546400E+0 3.654730E-1 2.612079E+1 1.000000E+2 2.154000E+13 2.154000E+13 2.300E-4 1.000E+16
342 022_342 33.901 4.380030E-1 2.738938E+1 7.564250E+1 9.074500E+0 3.592080E-1 2.526266E+1 1.000000E+2 3.162000E+13 3.162000E+13 2.300E-4 1.000E+16
342 023_342 33.901 4.313490E-1 2.645088E+1 7.535400E+1 8.597600E+0 3.533440E-1 2.433196E+1 1.000000E+2 4.642000E+13 4.642000E+13 2.300E-4 1.000E+16
342 024_342 33.901 4.245040E-1 2.548107E+1 7.508830E+1 8.122200E+0 3.470250E-1 2.340512E+1 1.000000E+2 6.813000E+13 6.813000E+13 2.300E-4 1.000E+16
342 025_342 33.901 4.175350E-1 2.448446E+1 7.473970E+1 7.640700E+0 3.404850E-1 2.244077E+1 1.000000E+2 1.000000E+14 1.000000E+14 2.300E-4 1.000E+16
