X Y Yfit
-1.516E-10 -2.246E-4 3.708E-3 -2.246E-4
8.592E-3 -2.237E-4 9.662E-3 -2.237E-4
1.861E-2 -2.223E-4 1.879E-2 -2.223E-4
2.843E-2 -2.209E-4 2.776E-2 -2.209E-4
3.824E-2 -2.193E-4 3.780E-2 -2.193E-4
4.804E-2 -2.177E-4 4.761E-2 -2.177E-4
5.896E-2 -2.158E-4 5.894E-2 -2.158E-4
6.890E-2 -2.139E-4 6.993E-2 -2.139E-4
7.905E-2 -2.123E-4 7.891E-2 -2.123E-4
8.843E-2 -2.103E-4 8.978E-2 -2.103E-4
9.842E-2 -2.085E-4 9.922E-2 -2.085E-4
1.094E-1 -2.062E-4 1.108E-1 -2.062E-4
1.195E-1 -2.043E-4 1.200E-1 -2.043E-4
1.290E-1 -2.021E-4 1.302E-1 -2.021E-4
1.389E-1 -1.998E-4 1.405E-1 -1.998E-4
1.490E-1 -1.977E-4 1.494E-1 -1.977E-4
1.600E-1 -1.947E-4 1.615E-1 -1.947E-4
1.696E-1 -1.925E-4 1.700E-1 -1.925E-4
1.795E-1 -1.895E-4 1.809E-1 -1.895E-4
1.896E-1 -1.868E-4 1.903E-1 -1.868E-4
1.992E-1 -1.838E-4 2.001E-1 -1.838E-4
2.091E-1 -1.807E-4 2.097E-1 -1.807E-4
2.203E-1 -1.768E-4 2.211E-1 -1.768E-4
2.301E-1 -1.732E-4 2.310E-1 -1.732E-4
2.401E-1 -1.696E-4 2.404E-1 -1.696E-4
2.500E-1 -1.654E-4 2.507E-1 -1.654E-4
2.598E-1 -1.611E-4 2.607E-1 -1.611E-4
2.707E-1 -1.560E-4 2.719E-1 -1.560E-4
2.807E-1 -1.513E-4 2.816E-1 -1.513E-4
2.905E-1 -1.459E-4 2.921E-1 -1.459E-4
3.004E-1 -1.407E-4 3.018E-1 -1.407E-4
3.105E-1 -1.348E-4 3.122E-1 -1.348E-4
3.211E-1 -1.283E-4 3.231E-1 -1.283E-4
3.310E-1 -1.225E-4 3.324E-1 -1.225E-4
3.410E-1 -1.160E-4 3.425E-1 -1.160E-4
3.510E-1 -1.094E-4 3.523E-1 -1.094E-4
3.605E-1 -1.024E-4 3.623E-1 -1.024E-4
3.719E-1 -9.463E-5 3.731E-1 -9.463E-5
3.816E-1 -8.698E-5 3.835E-1 -8.698E-5
3.916E-1 -7.954E-5 3.933E-1 -7.954E-5
4.015E-1 -7.239E-5 4.026E-1 -7.239E-5
4.209E-1 -5.675E-5 4.225E-1 -5.675E-5
4.421E-1 -4.045E-5 4.429E-1 -4.045E-5
4.620E-1 -2.405E-5 4.634E-1 -2.405E-5
4.829E-1 -7.546E-6 4.844E-1 -7.546E-6
5.024E-1 7.999E-6 5.047E-1 7.999E-6
5.529E-1 4.372E-5 5.544E-1 4.372E-5
6.035E-1 7.430E-5 6.021E-1 7.430E-5
6.539E-1 1.020E-4 6.509E-1 1.020E-4
7.045E-1 1.275E-4 7.010E-1 1.275E-4
7.547E-1 1.516E-4 7.529E-1 1.516E-4
8.052E-1 1.746E-4 8.060E-1 1.746E-4
8.559E-1 1.962E-4 8.582E-1 1.962E-4
9.063E-1 2.171E-4 9.102E-1 2.171E-4
9.565E-1 2.368E-4 9.601E-1 2.368E-4
1.006E+0 2.550E-4 1.007E+0 2.550E-4
