N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -1.100129200E-02 -8.018045000E-03 -5.991257000E-03 -5.732173000E-03
1.600000000E+01 3.098555500E-02 3.072288300E-02 3.050600600E-02 2.961066700E-02
1.700000000E+01 6.522503700E-02 6.430386400E-02 6.282386100E-02 6.311325300E-02
1.549996187E+01 2.191040700E-02 2.148313700E-02 2.268721000E-02 2.310891400E-02
1.649996187E+01 5.246945600E-02 5.133692800E-02 5.111959600E-02 5.083062400E-02
1.674996808E+01 6.115323000E-02 5.897845900E-02 5.919790500E-02 5.920084200E-02
1.624993176E+01 4.028665600E-02 3.984405900E-02 3.943781000E-02 3.924320200E-02
1.574996808E+01 2.633316700E-02 2.644166200E-02 2.582538600E-02 2.643838000E-02
1.524993176E+01 1.106714600E-02 1.206754900E-02 1.327715700E-02 1.393354800E-02
