fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0DT0 7:11 296.2 39.14 1.000E+000 1.971E+000 4.045E-006 7.592E+004 2.312E+000 9.839E-008 7.046E-004 
0DT1 7:14 296.2 39.14 1.000E+000 1.939E+000 4.301E-006 7.592E+004 2.313E+000 9.759E-008 7.166E-004 
0DT2 7:18 296.3 39.13 1.000E+000 1.997E+000 3.961E-006 7.565E+004 2.314E+000 9.779E-008 2.211E-003 
0DT3 7:20 296.3 39.13 1.000E+000 1.915E+000 4.555E-006 7.565E+004 2.303E+000 9.857E-008 1.491E-003 
0DT4 7:23 296.3 39.13 1.000E+000 1.953E+000 4.205E-006 7.565E+004 2.312E+000 9.679E-008 8.269E-004 
0DT5 7:25 296.4 39.12 1.000E+000 1.980E+000 4.283E-006 7.537E+004 2.307E+000 9.735E-008 9.710E-004 
0DT6 7:28 296.4 39.12 1.000E+000 2.009E+000 4.156E-006 7.537E+004 2.307E+000 9.706E-008 1.013E-003 
0DT7 7:30 296.4 39.12 1.000E+000 1.992E+000 4.223E-006 7.537E+004 2.304E+000 9.729E-008 1.997E-003 
0DT8 7:33 296.4 39.12 1.000E+000 1.944E+000 4.278E-006 7.537E+004 2.306E+000 9.660E-008 1.349E-003 
0DT9 7:35 296.5 39.1 1.000E+000 1.958E+000 4.312E-006 7.510E+004 2.303E+000 9.736E-008 1.500E-003 
