N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.032811304E+00 1.032163050E+00 1.031631380E+00 1.031163002E+00
1.600000000E+01 1.232625734E+00 1.224370145E+00 1.215013237E+00 1.209032404E+00
1.700000000E+01 1.285456594E+00 1.280315868E+00 1.275336459E+00 1.271576670E+00
1.549996187E+01 1.010572379E+00 1.009577895E+00 1.008862117E+00 1.008298586E+00
1.649996187E+01 1.273884804E+00 1.270313686E+00 1.266153972E+00 1.262246935E+00
1.674996808E+01 1.282505416E+00 1.277199322E+00 1.273509124E+00 1.269552405E+00
1.624993176E+01 1.260770059E+00 1.255692091E+00 1.250621614E+00 1.245633150E+00
1.574996808E+01 1.161763630E+00 1.144900533E+00 1.129662201E+00 1.116617834E+00
1.524993176E+01 1.015512004E+00 1.014697704E+00 1.014068256E+00 1.013561179E+00
