V d42 d61c d64b V1 d61a V2 d64a
-1.200000e+00 9.384709e-09 7.676240e-09 6.407546e-09 -1.200000e+00 6.211061e-09 -1.200000e+00 6.434631e-09
-1.000000e+00 1.045000e-08 8.054050e-09 6.703397e-09 -1.000000e+00 6.570162e-09 -1.000000e+00 6.678107e-09
-8.000000e-01 1.124861e-08 8.512195e-09 7.044622e-09 -8.000000e-01 6.888146e-09 -8.000000e-01 7.021654e-09
-6.000000e-01 1.311802e-08 9.063897e-09 7.484621e-09 -6.000000e-01 7.369494e-09 -6.000000e-01 6.950742e-09
-4.000000e-01 1.699144e-08 9.613378e-09 8.018076e-09 -4.000000e-01 7.857555e-09 -6.000000e-01 6.950742e-09
-2.000000e-01 1.858336e-08 1.036467e-08 8.494454e-09 -4.000000e-01 7.857555e-09 -4.000000e-01 7.470999e-09
0.000000e+00 2.081941e-08 1.232672e-08 1.159687e-08 -2.000000e-01 8.404916e-09 -2.000000e-01 7.898756e-09
2.000000e-01 2.517829e-08 1.182469e-08 1.065210e-08 0.000000e+00 8.802372e-09 0.000000e+00 9.955261e-09
4.000000e-01 3.420189e-08 3.025423e-08 1.023652e-07 2.000000e-01 9.793230e-09 2.000000e-01 1.216829e-08
NaN NaN NaN NaN 4.000000e-01 5.728415e-08 4.000000e-01 7.041131e-08
