T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
260 2.013877960E-05 4.863700818E-05 3.425853065E-01 5.490382222E+00 2.639408786E+00 1.381472507E-01 7.766433100E+03 1.041786655E+04 2.233566900E-01 8.166108770E-06 1.112676427E-06 8.870709685E-02 2.677873438E+00 3.260141280E-01 8.388540269E-02 1.377651650E+04 5.461212934E+02 2.813343461E-02 6.748978638E+01 6.897510144E+01 5.748978638E+00 1.080039215E-03 1.752378697E-04 1.250408486E-01 1.194513102E-01 4.155601949E-02
270 1.201383419E-05 1.604695960E-05 1.990777204E-01 4.980706979E+00 1.928401838E+00 1.880825036E-01 3.381250878E+04 1.123910046E+05 2.381250878E+00 1.570115859E-05 2.604456716E-06 9.497007021E-02 2.473073418E+00 4.993552285E-01 1.328184120E-01 8.038481241E+03 4.760231658E+02 3.801013503E-02 1.041695224E+02 1.055445291E+02 4.208476122E+00 1.739335707E-03 4.741302702E-03 7.931295944E-01 1.369766973E-01 7.595950599E-02
280 1.185448118E-05 1.205033077E-05 2.097012549E-01 5.140361639E+00 1.576758537E+00 1.310218650E-01 8.001834238E+03 1.066270437E+04 1.998165762E-01 3.040403549E-05 3.893278276E-06 5.104728929E-02 2.560089262E+00 4.695379018E-01 8.099359832E-02 4.984074013E+03 2.803402066E+02 2.564930735E-02 7.105611318E+01 7.514826723E+01 1.368537106E+00 1.033078601E-03 1.066306674E-04 5.416183767E-02 1.221614597E-01 5.987349927E-02
290 1.308256355E-05 2.411078603E-05 1.278290965E-01 4.850364919E+00 2.187687784E+00 1.507617322E-01 1.480212404E+04 4.264342009E+04 4.802124042E-01 5.336028265E-05 6.941631664E-06 5.922188075E-02 2.401268238E+00 5.831613899E-01 1.185217862E-01 3.101715122E+03 2.399240853E+02 4.243530529E-02 8.618057818E+01 8.033028988E+01 1.154514455E+00 1.054950284E-03 8.839410540E-05 6.560634733E-02 1.383951129E-01 9.929450456E-02
300 2.898033425E-05 8.059503122E-05 9.320222835E-01 5.580477796E+00 3.254345605E+00 1.076404094E-02 3.600372035E+04 1.492867427E+05 2.600372035E+00 9.671981297E-05 2.307218110E-05 6.370171164E-04 2.425090074E+00 8.568906310E-01 9.059122250E-02 2.169597760E+03 1.070315811E+03 2.601052867E-02 8.191110196E+01 7.946350799E+01 6.382220391E-01 1.063905933E-03 2.064693985E-04 6.390593302E-02 1.512614015E-01 1.451478599E-01
310 2.036695278E-05 4.213037832E-05 3.577968517E-01 4.788617350E+00 2.603729118E+00 1.037504052E-01 5.793702522E+03 5.982901581E+03 4.206297478E-01 1.874132323E-04 8.137210100E-05 1.775772207E-01 2.542984778E+00 1.480315679E+00 2.675891222E-02 3.702104125E+03 8.539033232E+03 1.609028362E+00 1.177239121E+02 9.621140235E+01 9.620652018E-01 1.214277167E-03 8.944156925E-04 2.022546208E-01 1.941716913E-01 1.908245980E-01
320 1.715027252E-05 3.455352149E-05 1.433515016E-01 5.837296108E+00 6.332748436E+00 1.277656080E-01 9.283270974E+03 1.429502874E+04 7.167290255E-02 2.857331298E-04 1.864345176E-04 1.248989727E-01 4.987077481E+00 7.071152294E+00 9.461765779E-01 2.729506969E+03 8.279879756E+03 1.796039852E+00 1.015063614E+02 9.652072515E+01 4.500908765E-01 1.305184380E-03 1.306719894E-03 2.795925295E-01 2.452675542E-01 2.723327391E-01
330 1.750780179E-05 1.495726279E-05 1.671867857E-01 4.968607639E+00 1.048153827E+00 1.006703546E-02 4.179184551E+04 1.593510175E+05 3.179184551E+00 3.868676579E-04 1.195184344E-04 1.828743802E-02 2.483242632E+00 1.420773632E+00 1.268666416E-02 9.250313037E+02 1.939353121E+03 3.464814595E-01 8.419837883E+01 5.144986328E+01 5.247973539E-02 1.037663180E-03 2.229864911E-05 7.439980963E-03 1.072558902E-01 1.680428765E-02
340 1.561916246E-05 6.601230363E-06 4.127749728E-02 4.835153904E+00 5.819291435E-01 7.463782320E-03 3.917461840E+04 1.468780406E+05 2.917461840E+00 6.654248066E-04 2.339125653E-04 1.168873801E-01 3.092048833E+00 2.047915904E+00 2.515435755E-01 1.158497333E+03 2.771621163E+03 1.347189794E+00 8.346122192E+01 4.251420569E+01 7.265308982E-02 1.042871904E-03 1.411862438E-05 2.761446154E-03 1.011609271E-01 4.909406110E-03
350 1.766051750E-05 6.787093578E-06 1.773678334E-01 4.880259931E+00 3.726929727E-01 3.125992660E-02 3.825280590E+04 1.431011238E+05 2.825280590E+00 8.622608532E-04 2.078707005E-04 1.984368918E-02 2.664692532E+00 1.031678808E+00 9.722633662E-02 4.138127611E+02 3.406822967E+02 1.451438091E-01 8.965912304E+01 2.825305855E+01 1.034087696E-01 1.049106559E-03 3.189811197E-06 8.508962652E-04 1.001689400E-01 1.905297748E-03
