T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
260 1.413541898E-05 3.642714124E-06 5.763873458E-02 6.254336475E+00 4.069282555E-01 1.822553188E-02 3.615359099E+04 1.313529628E+05 2.615359099E+00 8.959279697E-06 5.980031826E-09 1.935763154E-04 2.922009839E+00 3.644046353E-03 3.650550862E-04 1.417390751E+04 4.821822091E+00 9.942221309E-05 1.217220675E+01 7.405804442E+00 2.172206753E-01 9.636742828E-04 1.247845369E-05 3.827377874E-03 9.950423846E-02 2.200014081E-06
270 3.429200975E-05 1.379017938E-04 1.286133983E+00 6.141357094E+00 1.082429991E-01 1.117973299E-03 1.031017722E+04 5.079837456E+03 3.101772192E-02 1.725072293E-05 6.991039507E-07 5.651686642E-03 2.822322727E+00 2.103294440E-01 1.035436849E-02 8.333126048E+03 1.636551688E+02 2.749081471E-03 2.885158828E+01 6.267915762E+01 4.425794138E-01 2.911441142E-03 1.386407512E-02 2.001485714E+00 1.066831334E-01 5.127101177E-02
280 1.574914747E-05 2.733667512E-06 4.994316456E-02 5.968506137E+00 2.039313952E-01 8.975962407E-03 5.393602693E+04 1.901431295E+05 4.393602693E+00 3.204208408E-05 1.229298511E-08 7.851099561E-05 2.786719176E+00 4.461769074E-03 3.607297928E-04 5.115865178E+03 2.555000175E+00 1.149192210E-04 2.895714936E+01 4.177134484E+00 3.476168805E-02 9.791927259E-04 3.263797653E-06 8.237490616E-04 9.950411904E-02 1.124622603E-06
290 1.541365964E-05 2.187035864E-06 2.757730905E-02 5.739405204E+00 1.575238461E-01 4.898108634E-03 2.551786696E+04 1.006941753E+05 1.551786696E+00 5.672367108E-05 1.885429827E-08 7.694755830E-05 2.725229651E+00 6.142673861E-03 4.007580539E-04 3.239626365E+03 2.479126967E+00 1.407960767E-04 3.936120209E+01 3.694593712E+00 1.596994767E-02 9.896318573E-04 2.239886771E-06 3.718613547E-04 9.950414736E-02 1.704685273E-06
300 1.534322404E-05 1.860546609E-06 2.288160268E-02 5.544484027E+00 1.264010562E-01 4.244669418E-03 2.141577350E+04 7.995447336E+04 1.141577350E+00 9.666373743E-05 3.136361059E-08 5.687471246E-05 2.668246425E+00 8.706980084E-03 5.924091911E-04 2.115064062E+03 2.571470284E+00 2.213484231E-04 4.938227036E+01 3.348531848E+00 1.235459279E-02 9.997004584E-04 1.598532894E-06 2.995415510E-04 9.950419196E-02 2.663946240E-06
310 1.564163964E-05 3.343325962E-06 4.277597576E-02 5.383082955E+00 2.063375732E-01 7.511263721E-03 2.869648082E+04 1.253507022E+05 1.869648082E+00 1.592441083E-04 6.162572042E-07 5.816143133E-04 2.622480987E+00 5.739962954E-02 3.665562882E-03 1.421011115E+03 1.224684041E+01 1.446252351E-03 5.843748910E+01 8.560917095E+00 2.604184830E-02 1.009612398E-03 1.896627467E-06 3.837640245E-04 9.950568737E-02 1.076093254E-05
320 1.395757339E-05 4.616324837E-06 6.949510736E-02 5.641216904E+00 2.978000712E+00 8.988310589E-02 1.116979146E+04 1.438671364E+04 1.169791463E-01 2.385678082E-04 6.032224046E-05 6.078555709E-02 3.363788669E+00 4.026519277E+00 3.126980170E-01 9.327337987E+02 1.530188921E+02 4.453042177E-02 7.135979134E+01 3.712128601E+01 1.942559057E-02 1.212999728E-03 8.923683954E-04 1.892154195E-01 1.525021707E-01 2.138854275E-01
330 1.620282077E-05 4.337900665E-06 8.018805102E-02 5.089917132E+00 2.531106354E-01 1.410236460E-02 6.210546500E+04 2.092743359E+05 5.210546500E+00 3.957094409E-04 8.239709952E-06 4.149406366E-03 2.567965711E+00 2.296957142E-01 2.099841519E-02 6.941328173E+02 3.143807826E+01 1.038415152E-02 7.651143232E+01 1.341786429E+01 4.360709597E-02 1.029263689E-03 2.588322744E-06 7.148647630E-04 9.950780404E-02 1.536983960E-05
340 1.538380394E-05 2.687288331E-06 2.558692953E-02 4.892798440E+00 1.572375703E-01 4.369199823E-03 1.257038937E+04 1.844035611E+04 2.570389372E-01 6.153853297E-04 1.165169082E-04 3.289823556E-02 2.642187474E+00 9.778349952E-01 6.945683485E-02 6.404229073E+02 9.978516113E+02 2.975378265E-01 8.707056967E+01 1.749711123E+01 3.254922589E-02 1.039803192E-03 1.613841774E-06 1.892383673E-04 9.950452017E-02 4.149759718E-06
350 1.567302147E-05 3.250429166E-06 4.486809785E-02 4.762337881E+00 2.515940204E-01 6.341523314E-03 1.084407275E+04 2.688103753E+03 8.440727460E-02 1.035959375E-03 3.743431578E-04 1.776043360E-01 3.206170135E+00 1.956422327E+00 3.201877022E-01 3.320550371E+03 9.485783052E+03 8.188957077E+00 9.262850661E+01 2.735699117E+01 7.371493393E-02 1.049864783E-03 3.856596088E-06 1.287783940E-04 9.950921901E-02 2.348524950E-05
